cell_type	gene	avg_logFC	p_val	p_val_adj	de_family	de_method	de_type
1	Astrocytes	0610010K14Rik	0.67102449296388	0.00456874686698839	0.0489465681772359	singlecell	wilcox	singlecell
2	Astrocytes	1110038F14Rik	1.62259312131669	5.15228399360663e-07	3.3184374575423e-05	singlecell	wilcox	singlecell
3	Astrocytes	1110059G10Rik	0.996821514156514	0.000262799558327775	0.00607421106801573	singlecell	wilcox	singlecell
4	Astrocytes	1810055G02Rik	0.916194492687408	0.000593942592226549	0.0112669342830701	singlecell	wilcox	singlecell
5	Astrocytes	2210016L21Rik	1.16873743842048	5.3076845903903e-06	0.000248253524307515	singlecell	wilcox	singlecell
6	Astrocytes	2310022B05Rik	0.322749787080532	0.00129660508027623	0.0207139017481384	singlecell	wilcox	singlecell
7	Astrocytes	3110082I17Rik	0.515368182896526	0.00118052826206671	0.0192174905398372	singlecell	wilcox	singlecell
8	Astrocytes	4932438H23Rik	0.359448248909378	0.00349933790218679	0.0411709105531652	singlecell	wilcox	singlecell
9	Astrocytes	5031439G07Rik	0.414590052083963	1.81340468841461e-05	0.000687196032505023	singlecell	wilcox	singlecell
10	Astrocytes	6430548M08Rik	1.22125844908979	1.07427291102535e-05	0.000438728928951391	singlecell	wilcox	singlecell
11	Astrocytes	9330159F19Rik	-0.469937659837982	0.00169872407988053	0.0251186106004113	singlecell	wilcox	singlecell
12	Astrocytes	AW011738	0.699023910707809	0.000995464748232866	0.016949945739242	singlecell	wilcox	singlecell
13	Astrocytes	Aamp	0.874626025836248	7.2565575986027e-05	0.00214992011034965	singlecell	wilcox	singlecell
14	Astrocytes	Aarsd1	2.02058192918303	3.34515081912926e-10	5.04715116645475e-08	singlecell	wilcox	singlecell
15	Astrocytes	Aatk	0.339060077280146	0.000972217131066167	0.0166585469513388	singlecell	wilcox	singlecell
16	Astrocytes	Abat	0.302852645428552	4.90491330102895e-06	0.000233700474386745	singlecell	wilcox	singlecell
17	Astrocytes	Abca1	0.31927262493389	1.74530803726891e-07	1.3289623582849e-05	singlecell	wilcox	singlecell
18	Astrocytes	Abca2	0.684293841781933	0.000450413689792669	0.00914008851204425	singlecell	wilcox	singlecell
19	Astrocytes	Abcb8	0.700772157759628	0.00198215853534798	0.0277246981403394	singlecell	wilcox	singlecell
20	Astrocytes	Abcc5	0.318051134713846	3.29696368155424e-06	0.000163792753630873	singlecell	wilcox	singlecell
21	Astrocytes	Abcd4	0.694591332482885	8.42130697823896e-06	0.000363029622249745	singlecell	wilcox	singlecell
22	Astrocytes	Abcg4	0.851886317622895	0.00145550218105088	0.0226000440947349	singlecell	wilcox	singlecell
23	Astrocytes	Abhd14a	0.86170745159627	0.000408348851479502	0.00858586391594644	singlecell	wilcox	singlecell
24	Astrocytes	Abhd8	0.593859589769475	0.00456874686698839	0.0489465681772359	singlecell	wilcox	singlecell
25	Astrocytes	Abt1	-0.814303591313228	0.000725467751469927	0.0134182712942139	singlecell	wilcox	singlecell
