cell_type	gene	avg_logFC	p_val	p_val_adj	de_family	de_method	de_type
1	Interneurons_Pnoc+	4930595D18Rik	-0.825019228903221	1.06152356383465e-05	0.00910396130141348	singlecell	wilcox	singlecell
2	Interneurons_Pnoc+	9130008F23Rik	-0.302067104290658	0.000319835614088784	0.0308385877608091	singlecell	wilcox	singlecell
3	Interneurons_Pnoc+	A4galt	-0.3236417503563	0.000319835614088784	0.0308385877608091	singlecell	wilcox	singlecell
4	Interneurons_Pnoc+	AW011738	-0.38154281197592	3.52344876410598e-07	0.000637939973456744	singlecell	wilcox	singlecell
5	Interneurons_Pnoc+	Acy1	-0.339236316921653	0.000319835614088784	0.0308385877608091	singlecell	wilcox	singlecell
6	Interneurons_Pnoc+	Adgrf3	-0.238130525005601	0.000319835614088784	0.0308385877608091	singlecell	wilcox	singlecell
7	Interneurons_Pnoc+	Adprhl1	-0.436733012506551	3.52344876410598e-07	0.000637939973456744	singlecell	wilcox	singlecell
8	Interneurons_Pnoc+	Akt2	-0.908030148939149	4.81722261349575e-05	0.0222503557919104	singlecell	wilcox	singlecell
9	Interneurons_Pnoc+	Alas2	-0.687514797692643	1.7405293111592e-05	0.0128917841478814	singlecell	wilcox	singlecell
10	Interneurons_Pnoc+	Anxa1	-0.22902369199095	0.000319835614088784	0.0308385877608091	singlecell	wilcox	singlecell
11	Interneurons_Pnoc+	Arhgap25	-0.330507576179675	3.52344876410598e-07	0.000637939973456744	singlecell	wilcox	singlecell
12	Interneurons_Pnoc+	Arl14ep	-0.807841275214743	5.63262425280634e-05	0.0222503557919104	singlecell	wilcox	singlecell
13	Interneurons_Pnoc+	Atp8b3	-0.49372212839316	6.43313687659686e-05	0.0222503557919104	singlecell	wilcox	singlecell
14	Interneurons_Pnoc+	Aunip	-0.519264441718303	6.34739779204184e-05	0.0222503557919104	singlecell	wilcox	singlecell
15	Interneurons_Pnoc+	B3gntl1	-0.570792996995214	0.000433838924835483	0.0401670754556488	singlecell	wilcox	singlecell
16	Interneurons_Pnoc+	Baz1a	-1.07011790526125	2.32488292054318e-06	0.00252559781268341	singlecell	wilcox	singlecell
17	Interneurons_Pnoc+	Bdh2	-0.262961329648936	0.000319835614088784	0.0308385877608091	singlecell	wilcox	singlecell
18	Interneurons_Pnoc+	Bloc1s3	-0.412737416603532	6.43313687659686e-05	0.0222503557919104	singlecell	wilcox	singlecell
19	Interneurons_Pnoc+	Brms1l	-0.66311333383943	0.000418502666524938	0.0391925342012866	singlecell	wilcox	singlecell
20	Interneurons_Pnoc+	Btd	-0.435303065363168	0.000245947860772016	0.0308385877608091	singlecell	wilcox	singlecell
21	Interneurons_Pnoc+	Ccdc127	-0.573839831366816	0.00044400296671067	0.040419152751678	singlecell	wilcox	singlecell
22	Interneurons_Pnoc+	Cct4	-0.804284229234552	0.000192217811319731	0.0308385877608091	singlecell	wilcox	singlecell
23	Interneurons_Pnoc+	Cd81	-0.757759524241315	0.000238043580838004	0.0308385877608091	singlecell	wilcox	singlecell
24	Interneurons_Pnoc+	Cdc42bpg	-0.739198374663018	4.35514834466146e-06	0.00417453778095639	singlecell	wilcox	singlecell
25	Interneurons_Pnoc+	Cdk5r2	-0.389232288935732	0.000319835614088784	0.0308385877608091	singlecell	wilcox	singlecell
26	Interneurons_Pnoc+	Cfap99	-0.58365228906914	0.000541866721430905	0.0464722011879821	singlecell	wilcox	singlecell
27	Interneurons_Pnoc+	Chek1	-0.904884308745523	0.000554240011327059	0.0470382342946585	singlecell	wilcox	singlecell
28	Interneurons_Pnoc+	Chp2	-0.217891951027889	0.000319835614088784	0.0308385877608091	singlecell	wilcox	singlecell
29	Interneurons_Pnoc+	Cldn3	-0.602271754950861	0.000319835614088784	0.0308385877608091	singlecell	wilcox	singlecell
30	Interneurons_Pnoc+	Cldn34c3	-0.239732817540558	0.000319835614088784	0.0308385877608091	singlecell	wilcox	singlecell
31	Interneurons_Pnoc+	Cst6	-0.236588824024708	0.000319835614088784	0.0308385877608091	singlecell	wilcox	singlecell
32	Interneurons_Pnoc+	D6Ertd527e	-0.289415129799474	0.000319835614088784	0.0308385877608091	singlecell	wilcox	singlecell
33	Interneurons_Pnoc+	Dapk2	-0.295970791008807	3.52344876410598e-07	0.000637939973456744	singlecell	wilcox	singlecell
34	Interneurons_Pnoc+	Dip2c	-0.319314914079965	0.000524922256288166	0.045740004310273	singlecell	wilcox	singlecell
35	Interneurons_Pnoc+	Dnph1	-0.277837733647049	0.000319835614088784	0.0308385877608091	singlecell	wilcox	singlecell
36	Interneurons_Pnoc+	Doc2g	-0.773034706401888	0.000148111913405856	0.0308385877608091	singlecell	wilcox	singlecell
37	Interneurons_Pnoc+	Dstyk	-0.767812537036882	6.46868979012916e-05	0.0222503557919104	singlecell	wilcox	singlecell
38	Interneurons_Pnoc+	Dusp22	-0.590991058943265	0.000146663516806011	0.0308385877608091	singlecell	wilcox	singlecell
39	Interneurons_Pnoc+	Eepd1	-1.16149149705195	0.000260721961182695	0.0308385877608091	singlecell	wilcox	singlecell
40	Interneurons_Pnoc+	Eif4g1	-0.503466581511579	0.000118047144522338	0.0308385877608091	singlecell	wilcox	singlecell
41	Interneurons_Pnoc+	Ercc1	-1.06805211756784	0.000287371925286546	0.0308385877608091	singlecell	wilcox	singlecell
42	Interneurons_Pnoc+	Erfe	-0.436303349976951	3.52344876410598e-07	0.000637939973456744	singlecell	wilcox	singlecell
43	Interneurons_Pnoc+	Exoc6	-0.55642891026753	0.000318142905848861	0.0308385877608091	singlecell	wilcox	singlecell
44	Interneurons_Pnoc+	F830045P16Rik	-0.27708088184382	0.000319835614088784	0.0308385877608091	singlecell	wilcox	singlecell
45	Interneurons_Pnoc+	Fam3c	-0.706355945940797	5.04622254338244e-05	0.0222503557919104	singlecell	wilcox	singlecell
46	Interneurons_Pnoc+	Fam43b	-0.844619378101408	7.8631945609377e-07	0.00108511720619352	singlecell	wilcox	singlecell
47	Interneurons_Pnoc+	Fgd6	-0.49485551041746	0.000390138244859698	0.0367474144508022	singlecell	wilcox	singlecell
48	Interneurons_Pnoc+	Fmr1	-0.557189631290455	1.94744972793479e-05	0.0137972579637815	singlecell	wilcox	singlecell
49	Interneurons_Pnoc+	Fndc3c1	-0.289415129799474	0.000319835614088784	0.0308385877608091	singlecell	wilcox	singlecell
50	Interneurons_Pnoc+	Fos	-0.485742466714875	6.26274116319328e-05	0.0222503557919104	singlecell	wilcox	singlecell
51	Interneurons_Pnoc+	Fut11	-0.694839553438839	0.000443002064399279	0.040419152751678	singlecell	wilcox	singlecell
52	Interneurons_Pnoc+	Ghitm	-0.831441337580755	0.000450978277166456	0.04082606125793	singlecell	wilcox	singlecell
53	Interneurons_Pnoc+	Glp2r	-0.755369349080541	0.000138492901050746	0.0308385877608091	singlecell	wilcox	singlecell
54	Interneurons_Pnoc+	Glt6d1	-0.216963509378951	0.000319835614088784	0.0308385877608091	singlecell	wilcox	singlecell
55	Interneurons_Pnoc+	Gm10130	-0.813256697062537	6.69080965819951e-05	0.0222503557919104	singlecell	wilcox	singlecell
56	Interneurons_Pnoc+	Gm11733	-0.41961667504934	0.000319835614088784	0.0308385877608091	singlecell	wilcox	singlecell
57	Interneurons_Pnoc+	Gm14444	-0.633454685424863	1.37234263702422e-07	0.000637939973456744	singlecell	wilcox	singlecell
