Gene	cell_type
CLDND1	Interneurons_Chat+
CTHRC1	Interneurons_Chat+
DDX20	Interneurons_Chat+
FOXJ2	Interneurons_Chat+
HTATSF1	Interneurons_Chat+
IDH2	Interneurons_Chat+
MEX3B	Interneurons_Chat+
NPAS4	Interneurons_Chat+
POLR1A	Interneurons_Chat+
POP4	Interneurons_Chat+
PRKX	Interneurons_Chat+
SLC41A1	Interneurons_Chat+
ABCA13	Interneurons_Pnoc+
ABCA2	Interneurons_Pnoc+
ACTB	Interneurons_Pnoc+
ACTG1	Interneurons_Pnoc+
ADARB2	Interneurons_Pnoc+
ANKRD45	Interneurons_Pnoc+
ANO1	Interneurons_Pnoc+
AP1S1	Interneurons_Pnoc+
APOLD1	Interneurons_Pnoc+
ARC	Interneurons_Pnoc+
ARL5B	Interneurons_Pnoc+
ARMH2	Interneurons_Pnoc+
ASB11	Interneurons_Pnoc+
ATF4	Interneurons_Pnoc+
ATG5	Interneurons_Pnoc+
ATP1A1	Interneurons_Pnoc+
ATP2A2	Interneurons_Pnoc+
ATP2B1	Interneurons_Pnoc+
ATP6AP2	Interneurons_Pnoc+
C6orf62	Interneurons_Pnoc+
BMT2	Interneurons_Pnoc+
BOLA2	Interneurons_Pnoc+
BOLA2B	Interneurons_Pnoc+
BTG2	Interneurons_Pnoc+
BTG3	Interneurons_Pnoc+
C1orf115	Interneurons_Pnoc+
C2CD5	Interneurons_Pnoc+
CACNA2D3	Interneurons_Pnoc+
CARTPT	Interneurons_Pnoc+
CCNL1	Interneurons_Pnoc+
CDHR3	Interneurons_Pnoc+
CELF2	Interneurons_Pnoc+
CFAP45	Interneurons_Pnoc+
CGNL1	Interneurons_Pnoc+
CITED2	Interneurons_Pnoc+
CKB	Interneurons_Pnoc+
CLIC4	Interneurons_Pnoc+
CLSTN3	Interneurons_Pnoc+
CLTC	Interneurons_Pnoc+
CNGA3	Interneurons_Pnoc+
COL13A1	Interneurons_Pnoc+
COL6A6	Interneurons_Pnoc+
COQ10B	Interneurons_Pnoc+
CPSF3	Interneurons_Pnoc+
CREM	Interneurons_Pnoc+
CRHR2	Interneurons_Pnoc+
CTTNBP2NL	Interneurons_Pnoc+
DKK2	Interneurons_Pnoc+
DKKL1	Interneurons_Pnoc+
DLG2	Interneurons_Pnoc+
DLGAP1	Interneurons_Pnoc+
DNAH11	Interneurons_Pnoc+
DPY19L1	Interneurons_Pnoc+
DUSP1	Interneurons_Pnoc+
DYDC2	Interneurons_Pnoc+
DYNLL1	Interneurons_Pnoc+
EGR1	Interneurons_Pnoc+
EGR3	Interneurons_Pnoc+
EGR4	Interneurons_Pnoc+
EIF4EBP2	Interneurons_Pnoc+
ELMO1	Interneurons_Pnoc+
ELP5	Interneurons_Pnoc+
EPHA10	Interneurons_Pnoc+
EPHA7	Interneurons_Pnoc+
ETS2	Interneurons_Pnoc+
FAM107B	Interneurons_Pnoc+
FAM174B	Interneurons_Pnoc+
FAM81A	Interneurons_Pnoc+
FBXO33	Interneurons_Pnoc+
FERMT2	Interneurons_Pnoc+
FHDC1	Interneurons_Pnoc+
FOS	Interneurons_Pnoc+
FOSB	Interneurons_Pnoc+
FOSL2	Interneurons_Pnoc+
GADD45B	Interneurons_Pnoc+
GALR1	Interneurons_Pnoc+
GBGT1	Interneurons_Pnoc+
GCH1	Interneurons_Pnoc+
GEM	Interneurons_Pnoc+
GMEB1	Interneurons_Pnoc+
GOLM1	Interneurons_Pnoc+
GOLPH3	Interneurons_Pnoc+
GOPC	Interneurons_Pnoc+
GPR141	Interneurons_Pnoc+
GRIA3	Interneurons_Pnoc+
GRIK2	Interneurons_Pnoc+
GUCY1A1	Interneurons_Pnoc+
HAS1	Interneurons_Pnoc+
HCRTR1	Interneurons_Pnoc+
HNRNPLL	Interneurons_Pnoc+
HOMER1	Interneurons_Pnoc+
HPRT1	Interneurons_Pnoc+
HS3ST2	Interneurons_Pnoc+
HSPA4	Interneurons_Pnoc+
HTR1F	Interneurons_Pnoc+
IER2	Interneurons_Pnoc+
ILDR2	Interneurons_Pnoc+
INA	Interneurons_Pnoc+
IRF1	Interneurons_Pnoc+
IRS2	Interneurons_Pnoc+
ITPRIP	Interneurons_Pnoc+
JOSD1	Interneurons_Pnoc+
JUN	Interneurons_Pnoc+
JUNB	Interneurons_Pnoc+
KANK3	Interneurons_Pnoc+
KLHL15	Interneurons_Pnoc+
KLHL3	Interneurons_Pnoc+
LEPR	Interneurons_Pnoc+
LRIG3	Interneurons_Pnoc+
LY96	Interneurons_Pnoc+
LZTS1	Interneurons_Pnoc+
MAN1A1	Interneurons_Pnoc+
MED7	Interneurons_Pnoc+
MGAT4C	Interneurons_Pnoc+
MGRN1	Interneurons_Pnoc+
MIDN	Interneurons_Pnoc+
MMD	Interneurons_Pnoc+
MMP9	Interneurons_Pnoc+
MUC15	Interneurons_Pnoc+
MYO10	Interneurons_Pnoc+
NCDN	Interneurons_Pnoc+
NEUROD6	Interneurons_Pnoc+
NFE2L3	Interneurons_Pnoc+
NPAS2	Interneurons_Pnoc+
