Gene	cell_type
Cldnd1	Interneurons_Chat+
Cthrc1	Interneurons_Chat+
Ddx20	Interneurons_Chat+
Foxj2	Interneurons_Chat+
Htatsf1	Interneurons_Chat+
Idh2	Interneurons_Chat+
Mex3b	Interneurons_Chat+
Npas4	Interneurons_Chat+
Polr1a	Interneurons_Chat+
Pop4	Interneurons_Chat+
Prkx	Interneurons_Chat+
Rusc1	Interneurons_Chat+
Slc41a1	Interneurons_Chat+
Zfp119b	Interneurons_Chat+
Abca13	Interneurons_Pnoc+
Abca2	Interneurons_Pnoc+
Actb	Interneurons_Pnoc+
Actg1	Interneurons_Pnoc+
Adarb2	Interneurons_Pnoc+
Ankrd45	Interneurons_Pnoc+
Ano1	Interneurons_Pnoc+
Ap1s1	Interneurons_Pnoc+
Apold1	Interneurons_Pnoc+
Arc	Interneurons_Pnoc+
Arl5b	Interneurons_Pnoc+
Armh2	Interneurons_Pnoc+
Asb11	Interneurons_Pnoc+
Atf4	Interneurons_Pnoc+
Atg5	Interneurons_Pnoc+
Atp1a1	Interneurons_Pnoc+
Atp2a2	Interneurons_Pnoc+
Atp2b1	Interneurons_Pnoc+
Atp6ap2	Interneurons_Pnoc+
BC005537	Interneurons_Pnoc+
Bmt2	Interneurons_Pnoc+
Bola2	Interneurons_Pnoc+
Btg2	Interneurons_Pnoc+
Btg3	Interneurons_Pnoc+
C130074G19Rik	Interneurons_Pnoc+
C2cd5	Interneurons_Pnoc+
Cacna2d3	Interneurons_Pnoc+
Car15	Interneurons_Pnoc+
Cartpt	Interneurons_Pnoc+
Ccnl1	Interneurons_Pnoc+
Cdhr3	Interneurons_Pnoc+
Celf2	Interneurons_Pnoc+
Cfap45	Interneurons_Pnoc+
Cgnl1	Interneurons_Pnoc+
Cited2	Interneurons_Pnoc+
Ckb	Interneurons_Pnoc+
Clic4	Interneurons_Pnoc+
Clstn3	Interneurons_Pnoc+
Cltc	Interneurons_Pnoc+
Cnga3	Interneurons_Pnoc+
Col13a1	Interneurons_Pnoc+
Col6a6	Interneurons_Pnoc+
Col9a3	Interneurons_Pnoc+
Coq10b	Interneurons_Pnoc+
Cpsf3	Interneurons_Pnoc+
Crem	Interneurons_Pnoc+
Crhr2	Interneurons_Pnoc+
Cttnbp2nl	Interneurons_Pnoc+
Dkk2	Interneurons_Pnoc+
Dkkl1	Interneurons_Pnoc+
Dlg2	Interneurons_Pnoc+
Dlgap1	Interneurons_Pnoc+
Dnah11	Interneurons_Pnoc+
Dpy19l1	Interneurons_Pnoc+
Dusp1	Interneurons_Pnoc+
Dydc2	Interneurons_Pnoc+
Dynll1	Interneurons_Pnoc+
Egr1	Interneurons_Pnoc+
Egr3	Interneurons_Pnoc+
Egr4	Interneurons_Pnoc+
Eif4ebp2	Interneurons_Pnoc+
Elmo1	Interneurons_Pnoc+
Elp5	Interneurons_Pnoc+
Epha10	Interneurons_Pnoc+
Epha7	Interneurons_Pnoc+
Ets2	Interneurons_Pnoc+
Fam107b	Interneurons_Pnoc+
Fam174b	Interneurons_Pnoc+
Fam81a	Interneurons_Pnoc+
Fbxo33	Interneurons_Pnoc+
Fermt2	Interneurons_Pnoc+
Fhdc1	Interneurons_Pnoc+
Fos	Interneurons_Pnoc+
Fosb	Interneurons_Pnoc+
Fosl2	Interneurons_Pnoc+
Gadd45b	Interneurons_Pnoc+
Galr1	Interneurons_Pnoc+
Gbgt1	Interneurons_Pnoc+
Gch1	Interneurons_Pnoc+
Gem	Interneurons_Pnoc+
Gmeb1	Interneurons_Pnoc+
Golm1	Interneurons_Pnoc+
Golph3	Interneurons_Pnoc+
Gopc	Interneurons_Pnoc+
Gpr141	Interneurons_Pnoc+
Gria3	Interneurons_Pnoc+
Grik2	Interneurons_Pnoc+
Gucy1a1	Interneurons_Pnoc+
Has1	Interneurons_Pnoc+
Hcrtr1	Interneurons_Pnoc+
Hnrnpll	Interneurons_Pnoc+
Homer1	Interneurons_Pnoc+
Hprt	Interneurons_Pnoc+
Hs3st2	Interneurons_Pnoc+
Hsf3	Interneurons_Pnoc+
Hspa4	Interneurons_Pnoc+
Htr1f	Interneurons_Pnoc+
Ier2	Interneurons_Pnoc+
Ildr2	Interneurons_Pnoc+
Ina	Interneurons_Pnoc+
Irf1	Interneurons_Pnoc+
Irs2	Interneurons_Pnoc+
Itprip	Interneurons_Pnoc+
Josd1	Interneurons_Pnoc+
Jun	Interneurons_Pnoc+
Junb	Interneurons_Pnoc+
Kank3	Interneurons_Pnoc+
Klhl15	Interneurons_Pnoc+
Klhl3	Interneurons_Pnoc+
Lepr	Interneurons_Pnoc+
Lrig3	Interneurons_Pnoc+
Ly96	Interneurons_Pnoc+
Lzts1	Interneurons_Pnoc+
Man1a	Interneurons_Pnoc+
Med7	Interneurons_Pnoc+
Mgat4c	Interneurons_Pnoc+
Mgrn1	Interneurons_Pnoc+
Midn	Interneurons_Pnoc+
Mmd	Interneurons_Pnoc+
Mmp9	Interneurons_Pnoc+
Muc15	Interneurons_Pnoc+
Myo10	Interneurons_Pnoc+
