Gene	Cluster
Oprk1	Cluster_0
Jph1	Cluster_0
Rnf149	Cluster_0
Myo1b	Cluster_0
Ica1l	Cluster_0
Ccnyl1	Cluster_0
Smarcal1	Cluster_0
Speg	Cluster_0
Slc4a3	Cluster_0
Ramp1	Cluster_0
Ppp1r7	Cluster_0
Dsel	Cluster_0
Rgs8	Cluster_0
Ankrd45	Cluster_0
Cadm3	Cluster_0
Pld5	Cluster_0
Adss	Cluster_0
Kif26b	Cluster_0
Cnst	Cluster_0
Angel2	Cluster_0
Camsap1	Cluster_0
Ptpa	Cluster_0
Fubp3	Cluster_0
Acvr1c	Cluster_0
Dcaf17	Cluster_0
Gpr155	Cluster_0
Itgav	Cluster_0
C1qtnf4	Cluster_0
Dgkz	Cluster_0
Cry2	Cluster_0
Chst1	Cluster_0
Ext2	Cluster_0
Muc15	Cluster_0
Katnbl1	Cluster_0
Aqr	Cluster_0
Itpka	Cluster_0
Tyro3	Cluster_0
Secisbp2l	Cluster_0
Gabpb1	Cluster_0
Lzts3	Cluster_0
Slx4ip	Cluster_0
Esf1	Cluster_0
Zfp831	Cluster_0
Cyp7b1	Cluster_0
Nceh1	Cluster_0
Gnb4	Cluster_0
P2ry12	Cluster_0
Rap2b	Cluster_0
Smg5	Cluster_0
Arhgef2	Cluster_0
Phtf1	Cluster_0
Pifo	Cluster_0
Vav3	Cluster_0
Gpr88	Cluster_0
Dnajb4	Cluster_0
Nexn	Cluster_0
Ubxn2b	Cluster_0
Calb1	Cluster_0
Ndufaf4	Cluster_0
Gpr63	Cluster_0
Cnr1	Cluster_0
Ubap2	Cluster_0
Reck	Cluster_0
Tdrd7	Cluster_0
Tmod1	Cluster_0
Zkscan16	Cluster_0
Ror1	Cluster_0
Tmem59	Cluster_0
Ppt1	Cluster_0
Cap1	Cluster_0
Hpca	Cluster_0
Ptp4a2	Cluster_0
Adgrb2	Cluster_0
Sh2d5	Cluster_0
Kif17	Cluster_0
Ajap1	Cluster_0
Gabrd	Cluster_0
Reln	Cluster_0
Nub1	Cluster_0
Ociad2	Cluster_0
Ccni	Cluster_0
Hnrnpd	Cluster_0
Lrrc8b	Cluster_0
Lrrc8c	Cluster_0
Tgfbr3	Cluster_0
Brdt	Cluster_0
Ephx4	Cluster_0
Zfp932	Cluster_0
Tesc	Cluster_0
Tpst1	Cluster_0
Muc3a	Cluster_0
Agfg2	Cluster_0
Zfp157	Cluster_0
Ttyh3	Cluster_0
Arpc1a	Cluster_0
Hsph1	Cluster_0
Tac1	Cluster_0
