Gene	Cluster	avgExpr	logFC	statistic	auc	pval	padj	pct_in	pct_out
Sulf1	Cluster_0	0.334533609752906	0.0930059930116762	32059243	0.529176905474691	1.27543511480861e-18	1.21895690297984e-17	20.1610663704527	14.1583452211127
Slco5a1	Cluster_0	0.299048189042333	0.112854753906051	32856294.5	0.542333212573831	5.0288836842368e-41	9.3438608477353e-40	20.8275479033602	12.0244888254874
Gdap1	Cluster_0	0.314606056404722	0.0333300434039467	31121376	0.513696266808118	0.00020434420897774	0.000730857964287154	22.299361288531	19.2641464574418
Tsga10	Cluster_0	0.351874861437213	0.0558225882076236	31651726.5	0.522450348631166	2.06062323701667e-09	1.20350737086691e-08	24.7431269091919	19.7158820732287
Myo1b	Cluster_0	0.417018591437666	0.110914061695336	32673589	0.539317435466954	2.20013986547091e-25	2.63612346381239e-24	27.8256039988892	19.5791726105563
Ica1l	Cluster_0	0.290672520064554	0.0486274818225299	31393824	0.518193353328308	2.33297324100693e-07	1.15374200188795e-06	20.7164676478756	16.9400855920114
Ccnyl1	Cluster_0	0.345989260749225	0.130102741747312	33130564	0.546860365173039	4.74729777116126e-43	9.24220038005648e-42	24.187725631769	14.5803613884926
Speg	Cluster_0	0.328988833124839	0.0689681545353937	31846285.5	0.525661782212185	1.45213665405562e-12	1.03104866134363e-11	23.3823937795057	18.0099857346648
Slc4a3	Cluster_0	0.322623615515196	0.0665952053433865	31829681.5	0.525387712941787	1.54467577062114e-12	1.09389359766499e-11	22.9380727575673	17.5641940085592
Ramp1	Cluster_0	0.309066409283315	0.0910263487390866	32393723.5	0.53469791406281	4.24254294092348e-25	5.02779907071623e-24	21.6884198833657	14.3723252496434
Ppp1r7	Cluster_0	0.33371530372431	0.159814720041653	33720140.5	0.556592044358682	1.49984536133474e-69	4.45985039469883e-68	23.4934740349903	12.1255349500713
Lrrn2	Cluster_0	0.361222276099082	0.0763860505717013	31973251	0.527757502638024	1.28603995345293e-13	9.62335426339147e-13	25.3818383782283	19.5970042796006
