Gene	Cluster
Sulf1	Cluster_0
Slco5a1	Cluster_0
Gdap1	Cluster_0
Tsga10	Cluster_0
Myo1b	Cluster_0
Ica1l	Cluster_0
Ccnyl1	Cluster_0
Speg	Cluster_0
Slc4a3	Cluster_0
Ramp1	Cluster_0
Ppp1r7	Cluster_0
Lrrn2	Cluster_0
Pik3c2b	Cluster_0
Rgs8	Cluster_0
Stx6	Cluster_0
Ankrd45	Cluster_0
Nme7	Cluster_0
Fam78b	Cluster_0
Adss	Cluster_0
Cnst	Cluster_0
H3f3a	Cluster_0
Angel2	Cluster_0
Cd46	Cluster_0
Med27	Cluster_0
Tank	Cluster_0
Dcaf17	Cluster_0
Gpr155	Cluster_0
Zc3h15	Cluster_0
Itgav	Cluster_0
C1qtnf4	Cluster_0
Ext2	Cluster_0
Aqr	Cluster_0
Tyro3	Cluster_0
Secisbp2l	Cluster_0
Gabpb1	Cluster_0
Lzts3	Cluster_0
Slx4ip	Cluster_0
Esf1	Cluster_0
Blcap	Cluster_0
Ncoa3	Cluster_0
Ptpn1	Cluster_0
Zfp831	Cluster_0
Cyp7b1	Cluster_0
Dcun1d1	Cluster_0
P2ry12	Cluster_0
Rap2b	Cluster_0
Gpr149	Cluster_0
Serpini1	Cluster_0
Gucy1a1	Cluster_0
Arhgef2	Cluster_0
Trim46	Cluster_0
Setdb1	Cluster_0
Atp1a1	Cluster_0
Pifo	Cluster_0
Vav3	Cluster_0
Gpr88	Cluster_0
Ndst3	Cluster_0
Lmo4	Cluster_0
Dnajb4	Cluster_0
Nexn	Cluster_0
Penk	Cluster_0
Calb1	Cluster_0
Gpr63	Cluster_0
Ubap2	Cluster_0
Tmod1	Cluster_0
Patj	Cluster_0
Ppt1	Cluster_0
Cap1	Cluster_0
Grik3	Cluster_0
Hpca	Cluster_0
Ptp4a2	Cluster_0
Adgrb2	Cluster_0
Oprd1	Cluster_0
Dhdds	Cluster_0
Sh2d5	Cluster_0
Kif17	Cluster_0
Ajap1	Cluster_0
Gabrd	Cluster_0
Sema3e	Cluster_0
Reln	Cluster_0
Uso1	Cluster_0
Ccni	Cluster_0
Hnrnpd	Cluster_0
Lrrc8b	Cluster_0
Tgfbr3	Cluster_0
Tmem175	Cluster_0
Zfp932	Cluster_0
Wscd2	Cluster_0
Tesc	Cluster_0
Ptpn11	Cluster_0
Ppp1cc	Cluster_0
Pptc7	Cluster_0
Muc3a	Cluster_0
Zfp157	Cluster_0
Arpc1a	Cluster_0
Hsph1	Cluster_0
Wipf3	Cluster_0
Rnf103	Cluster_0
Chmp3	Cluster_0
St3gal5	Cluster_0
Tgfa	Cluster_0
Eefsec	Cluster_0
Mgll	Cluster_0
Prmt8	Cluster_0
Fgfr1op2	Cluster_0
Far2	Cluster_0
Ergic2	Cluster_0
Shisa7	Cluster_0
Arhgap33	Cluster_0
Dpy19l3	Cluster_0
Car11	Cluster_0
Nipa1	Cluster_0
Sv2b	Cluster_0
Abhd2	Cluster_0
Stard5	Cluster_0
Nars2	Cluster_0
Ppme1	Cluster_0
Crym	Cluster_0
Arhgap17	Cluster_0
Chst15	Cluster_0
Dhx32	Cluster_0
Adam12	Cluster_0
Inpp5a	Cluster_0
Galnt7	Cluster_0
Mfap3l	Cluster_0
Crtc1	Cluster_0
Rpgrip1l	Cluster_0
Cx3cl1	Cluster_0
Csnk2a2	Cluster_0
Sntb2	Cluster_0
Sf3b3	Cluster_0
Zfp1	Cluster_0
Mbtps1	Cluster_0
Birc2	Cluster_0
Cep126	Cluster_0
Icam5	Cluster_0
Ilf3	Cluster_0
B3gat1	Cluster_0
Ncapd3	Cluster_0
Prdm10	Cluster_0
Scn3b	Cluster_0
Clmp	Cluster_0
Scn4b	Cluster_0
Pcsk7	Cluster_0
Usp28	Cluster_0
Drd2	Cluster_0
Smad3	Cluster_0
Clpx	Cluster_0
Car12	Cluster_0
Tpm1	Cluster_0
Arpp19	Cluster_0
Gnb5	Cluster_0
Mlip	Cluster_0
Lrrc1	Cluster_0
Gclc	Cluster_0
Filip1	Cluster_0
Mei4	Cluster_0
Mrpl3	Cluster_0
Cacna2d2	Cluster_0
Traip	Cluster_0
Usp4	Cluster_0
Dclk3	Cluster_0
Ctnnb1	Cluster_0
Fyco1	Cluster_0
Cdc40	Cluster_0
Fig4	Cluster_0
Ccdc6	Cluster_0
Adora2a	Cluster_0
Col6a1	Cluster_0
Pttg1ip	Cluster_0
Matk	Cluster_0
Ccm2	Cluster_0
Mdh1	Cluster_0
Gabra1	Cluster_0
Rnf145	Cluster_0
Vdac1	Cluster_0
Glp2r	Cluster_0
Ntn1	Cluster_0
Sgsm2	Cluster_0
Crk	Cluster_0
Ywhae	Cluster_0
Hlf	Cluster_0
Socs7	Cluster_0
Mllt6	Cluster_0
Ddx42	Cluster_0
Cacng4	Cluster_0
Map2k6	Cluster_0
Rab40b	Cluster_0
Dnajc27	Cluster_0
Ldah	Cluster_0
Pxdn	Cluster_0
Tspan13	Cluster_0
Frmd6	Cluster_0
Timm9	Cluster_0
Hif1a	Cluster_0
Akap5	Cluster_0
Sptb	Cluster_0
Rab15	Cluster_0
Atp6v1d	Cluster_0
Vti1b	Cluster_0
