Gene	cell_type
RNASEK-C17orf49	Astrocytes
C17orf49	Astrocytes
C8orf33	Astrocytes
KIAA1143	Astrocytes
C11orf24	Astrocytes
C12orf43	Astrocytes
C1orf198	Astrocytes
C7orf50	Astrocytes
C21orf62	Astrocytes
KIAA0930	Astrocytes
KIAA0513	Astrocytes
KIAA0408	Astrocytes
AAMP	Astrocytes
AARSD1	Astrocytes
PTGES3L-AARSD1	Astrocytes
AATK	Astrocytes
ABAT	Astrocytes
ABCA1	Astrocytes
ABCA2	Astrocytes
ABCB8	Astrocytes
ABCC5	Astrocytes
ABCD4	Astrocytes
ABCG4	Astrocytes
ABHD14A	Astrocytes
ABHD8	Astrocytes
ABT1	Astrocytes
ACACB	Astrocytes
ACADL	Astrocytes
ACADM	Astrocytes
ACADS	Astrocytes
ACBD3	Astrocytes
ACKR3	Astrocytes
ACOT13	Astrocytes
ACRBP	Astrocytes
ACSL1	Astrocytes
ACSL4	Astrocytes
ACTR3B	Astrocytes
ACTR3C	Astrocytes
ACVR1C	Astrocytes
ADAM15	Astrocytes
ADAM22	Astrocytes
ADAM23	Astrocytes
ADCY2	Astrocytes
ADCY8	Astrocytes
ADCYAP1R1	Astrocytes
ADGRA1	Astrocytes
ADGRB1	Astrocytes
ADGRB2	Astrocytes
ADGRB3	Astrocytes
ADGRG1	Astrocytes
ADGRG6	Astrocytes
ADGRL1	Astrocytes
ADGRL3	Astrocytes
ADORA1	Astrocytes
ADRB1	Astrocytes
ADRM1	Astrocytes
AFAP1L2	Astrocytes
AGFG2	Astrocytes
AGT	Astrocytes
AHI1	Astrocytes
AHSA1	Astrocytes
AIMP1	Astrocytes
AJM1	Astrocytes
AKR1B10	Astrocytes
AKT1	Astrocytes
AKT3	Astrocytes
ALDH4A1	Astrocytes
ALDH6A1	Astrocytes
AMER1	Astrocytes
AMIGO1	Astrocytes
AMOTL2	Astrocytes
AMPH	Astrocytes
ANAPC16	Astrocytes
ANAPC5	Astrocytes
ANGPTL4	Astrocytes
ANKH	Astrocytes
ANKRD16	Astrocytes
ANKRD49	Astrocytes
ANP32A	Astrocytes
ANP32D	Astrocytes
ANTXR1	Astrocytes
AP1M1	Astrocytes
AP1S2	Astrocytes
AP2A1	Astrocytes
AP2M1	Astrocytes
AP2S1	Astrocytes
APBB1	Astrocytes
APLF	Astrocytes
APLP1	Astrocytes
APLP2	Astrocytes
APOBEC3H	Astrocytes
APOE	Astrocytes
APPL2	Astrocytes
ARAF	Astrocytes
ARF1	Astrocytes
ARHGAP17	Astrocytes
ARHGAP21	Astrocytes
ARHGAP44	Astrocytes
ARHGEF10L	Astrocytes
ARHGEF2	Astrocytes
ARHGEF28	Astrocytes
ARHGEF37	Astrocytes
ARHGEF7	Astrocytes
ARL15	Astrocytes
ARL4A	Astrocytes
ARL6IP4	Astrocytes
ARMCX2	Astrocytes
ARPC1A	Astrocytes
ARPC2	Astrocytes
ARRB2	Astrocytes
ARSA	Astrocytes
ASB13	Astrocytes
ASIC2	Astrocytes
ASTN2	Astrocytes
ATF1	Astrocytes
ATF6B	Astrocytes
ATG10	Astrocytes
ATG101	Astrocytes
ATG13	Astrocytes
ATG14	Astrocytes
ATG16L2	Astrocytes
ATG2B	Astrocytes
ATG4A	Astrocytes
ATG5	Astrocytes
ATG9A	Astrocytes
ATL1	Astrocytes
ATP13A2	Astrocytes
ATP13A4	Astrocytes
ATP1A2	Astrocytes
ATP1B3	Astrocytes
ATP2A2	Astrocytes
ATP2B2	Astrocytes
ATP2B4	Astrocytes
ATP5F1A	Astrocytes
ATP5MF	Astrocytes
ATP5MG	Astrocytes
ATP5MGL	Astrocytes
ATP6AP1	Astrocytes
ATP6V0B	Astrocytes
ATP6V0E1	Astrocytes
ATP6V1A	Astrocytes
ATP6V1D	Astrocytes
ATP6V1E1	Astrocytes
ATP6V1G2-DDX39B	Astrocytes
ATP5IF1	Astrocytes
ATR	Astrocytes
ATXN2L	Astrocytes
ATXN7L3B	Astrocytes
AVEN	Astrocytes
AXIN2	Astrocytes
AXL	Astrocytes
B2M	Astrocytes
B3GALT1	Astrocytes
B4GALT3	Astrocytes
B4GALT5	Astrocytes
B4GALT7	Astrocytes
B9D1	Astrocytes
BABAM2	Astrocytes
BAG6	Astrocytes
BAHCC1	Astrocytes
BCAN	Astrocytes
BCAS1	Astrocytes
BCAS2	Astrocytes
BCAT2	Astrocytes
BCL2L1	Astrocytes
BCL7A	Astrocytes
BHLHB9	Astrocytes
BIN1	Astrocytes
BMP6	Astrocytes
BMP7	Astrocytes
BMPER	Astrocytes
BNIP3	Astrocytes
BOD1L1	Astrocytes
BOP1	Astrocytes
BORCS6	Astrocytes
BORCS8	Astrocytes
BRD9	Astrocytes
BRI3	Astrocytes
BRINP2	Astrocytes
BTG3	Astrocytes
BUD23	Astrocytes
BZW1	Astrocytes
C1GALT1C1	Astrocytes
CABIN1	Astrocytes
CABLES1	Astrocytes
CACNA1A	Astrocytes
CACNB2	Astrocytes
CACNG4	Astrocytes
CACNG5	Astrocytes
CACNG7	Astrocytes
CADPS2	Astrocytes
CALCOCO1	Astrocytes
CALR	Astrocytes
CAMK1D	Astrocytes
CAMKK1	Astrocytes
CAMKK2	Astrocytes
CANX	Astrocytes
CAPZA1	Astrocytes
CARHSP1	Astrocytes
CARMIL1	Astrocytes
CARNS1	Astrocytes
CBSL	Astrocytes
CBS	Astrocytes
CBX4	Astrocytes
CBX6	Astrocytes
CCDC115	Astrocytes
CCDC12	Astrocytes
CCDC124	Astrocytes
CCDC152	Astrocytes
CCDC157	Astrocytes
CCDC47	Astrocytes
CCDC71L	Astrocytes
CCDC85C	Astrocytes
CCN1	Astrocytes
CCND1	Astrocytes
CCND3	Astrocytes
CCNG2	Astrocytes
CCNL2	Astrocytes
CCNQ	Astrocytes
CCSER1	Astrocytes
CCT2	Astrocytes
CCT5	Astrocytes
CD320	Astrocytes
CD63	Astrocytes
CDH13	Astrocytes
CDH22	Astrocytes
CDH4	Astrocytes
CDH6	Astrocytes
CDK16	Astrocytes
CDK17	Astrocytes
CDK9	Astrocytes
CDKL3	Astrocytes
CDKL5	Astrocytes
CELF2	Astrocytes
CELSR2	Astrocytes
CENPB	Astrocytes
CENPV	Astrocytes
CEP164	Astrocytes
CEP97	Astrocytes
CERS4	Astrocytes
CFL2	Astrocytes
CHCHD4	Astrocytes
CHD4	Astrocytes
CHL1	Astrocytes
CHN1	Astrocytes
CHPF2	Astrocytes
CHRFAM7A	Astrocytes
CHRNA7	Astrocytes
CHST1	Astrocytes
CIAO2B	Astrocytes
CIT	Astrocytes
CKB	Astrocytes
CLDN12	Astrocytes
CLDND1	Astrocytes
CLIC4	Astrocytes
CLINT1	Astrocytes
CLSTN1	Astrocytes
CLUH	Astrocytes
CMAS	Astrocytes
CMPK2	Astrocytes
CNIH1	Astrocytes
CNNM3	Astrocytes
CNOT11	Astrocytes
CNTN1	Astrocytes
COA6	Astrocytes
COL11A1	Astrocytes
COLEC12	Astrocytes
COPB2	Astrocytes
COQ10A	Astrocytes
COQ10B	Astrocytes
COQ7	Astrocytes
COTL1	Astrocytes
COX11	Astrocytes
COX4I1	Astrocytes
COX6A1	Astrocytes
COX6C	Astrocytes
COX7A2	Astrocytes
COX8A	Astrocytes
CPE	Astrocytes
CPEB3	Astrocytes
CPLX2	Astrocytes
CPNE8	Astrocytes
CPT1A	Astrocytes
CPT1C	Astrocytes
CREB3	Astrocytes
CREBZF	Astrocytes
CRELD1	Astrocytes
CRY2	Astrocytes
CRYM	Astrocytes
CRYZL1	Astrocytes
CSDC2	Astrocytes
CSMD1	Astrocytes
CSMD2	Astrocytes
CSPG5	Astrocytes
CSRP1	Astrocytes
CSRP2	Astrocytes
CST3	Astrocytes
CTDNEP1	Astrocytes
CTNNA2	Astrocytes
CTNNB1	Astrocytes
CTPS1	Astrocytes
CTSB	Astrocytes
CTSD	Astrocytes
CTSF	Astrocytes
CTTNBP2	Astrocytes
CUEDC2	Astrocytes
CUX1	Astrocytes
CXCL14	Astrocytes
CYP2D6	Astrocytes
C9orf40	Astrocytes
C19orf53	Astrocytes
DAB2	Astrocytes
DACH1	Astrocytes
DAZAP2	Astrocytes
DBN1	Astrocytes
DBT	Astrocytes
DCAF1	Astrocytes
DCLK1	Astrocytes
DDIT3	Astrocytes
DDO	Astrocytes
DDRGK1	Astrocytes
DDX24	Astrocytes
DDX41	Astrocytes
DDX51	Astrocytes
DDX54	Astrocytes
DEDD2	Astrocytes
DEGS1	Astrocytes
DENND2A	Astrocytes
DENND6B	Astrocytes
DERL1	Astrocytes
DGKE	Astrocytes
DIO2	Astrocytes
DISC1	Astrocytes
DKK3	Astrocytes
DLG5	Astrocytes
DMAC2	Astrocytes
DMD	Astrocytes
DNAJA2	Astrocytes
DNAJB9	Astrocytes
DNAJC11	Astrocytes
DNAJC16	Astrocytes
DNAJC27	Astrocytes
DNAJC30	Astrocytes
DNASE1L1	Astrocytes
DNTTIP1	Astrocytes
DOK3	Astrocytes
DOK6	Astrocytes
DOK7	Astrocytes
DOLPP1	Astrocytes
DPAGT1	Astrocytes
DPM2	Astrocytes
DPP9	Astrocytes
DPY19L1	Astrocytes
DRAP1	Astrocytes
DTWD1	Astrocytes
DTX1	Astrocytes
DYM	Astrocytes
DYNC1H1	Astrocytes
DYNLRB1	Astrocytes
DYNLT1	Astrocytes
DYNLT3	Astrocytes
DYRK1B	Astrocytes
DZIP1L	Astrocytes
ECE1	Astrocytes
ECI1	Astrocytes
EDC4	Astrocytes
EEF1A1	Astrocytes
EEF1G	Astrocytes
EEF2	Astrocytes
EFHD2	Astrocytes
EHD1	Astrocytes
EHMT2	Astrocytes
EID1	Astrocytes
EID2	Astrocytes
EIF1AD	Astrocytes
EIF2AK4	Astrocytes
EIF3F	Astrocytes
EIF3I	Astrocytes
EIF3L	Astrocytes
EIF3M	Astrocytes
EIF4A1	Astrocytes
ELAVL3	Astrocytes
ELF2	Astrocytes
ELMO2	Astrocytes
ELOVL4	Astrocytes
EMC1	Astrocytes
EMC10	Astrocytes
EMC4	Astrocytes
EMC6	Astrocytes
EML5	Astrocytes
EML6	Astrocytes
EMSY	Astrocytes
ENHO	Astrocytes
ENO1	Astrocytes
ENO3	Astrocytes
ENPP4	Astrocytes
ENSA	Astrocytes
ENTPD2	Astrocytes
EPB41	Astrocytes
EPHA4	Astrocytes
EPHA5	Astrocytes
EPHB1	Astrocytes
EPHB3	Astrocytes
EPM2AIP1	Astrocytes
ERBB4	Astrocytes
ERGIC1	Astrocytes
ERLIN1	Astrocytes
ERLIN2	Astrocytes
ESRRG	Astrocytes
ETNPPL	Astrocytes
ETV4	Astrocytes
EXD2	Astrocytes
EXOSC7	Astrocytes
FAAP20	Astrocytes
FABP3	Astrocytes
FAM107A	Astrocytes
FAM136A	Astrocytes
FAM13C	Astrocytes
FAM169A	Astrocytes
FAM3C	Astrocytes
FAM76B	Astrocytes
FAM8A1	Astrocytes
FAM98B	Astrocytes
FAM98C	Astrocytes
FAN1	Astrocytes
FAR2	Astrocytes
FASTK	Astrocytes
FASTKD1	Astrocytes
FASTKD3	Astrocytes
FAT3	Astrocytes
