Gene	cell_type
0610010K14Rik	Astrocytes
1110038F14Rik	Astrocytes
1110059G10Rik	Astrocytes
1810055G02Rik	Astrocytes
2210016L21Rik	Astrocytes
2310022B05Rik	Astrocytes
3110082I17Rik	Astrocytes
4932438H23Rik	Astrocytes
5031439G07Rik	Astrocytes
6430548M08Rik	Astrocytes
9330159F19Rik	Astrocytes
AW011738	Astrocytes
Aamp	Astrocytes
Aarsd1	Astrocytes
Aatk	Astrocytes
Abat	Astrocytes
Abca1	Astrocytes
Abca2	Astrocytes
Abcb8	Astrocytes
Abcc5	Astrocytes
Abcd4	Astrocytes
Abcg4	Astrocytes
Abhd14a	Astrocytes
Abhd8	Astrocytes
Abt1	Astrocytes
Acacb	Astrocytes
Acadl	Astrocytes
Acadm	Astrocytes
Acads	Astrocytes
Acbd3	Astrocytes
Ackr3	Astrocytes
Acot13	Astrocytes
Acrbp	Astrocytes
Acsl1	Astrocytes
Acsl4	Astrocytes
Actr3b	Astrocytes
Acvr1c	Astrocytes
Adam15	Astrocytes
Adam22	Astrocytes
Adam23	Astrocytes
Adcy2	Astrocytes
Adcy8	Astrocytes
Adcyap1r1	Astrocytes
Adgra1	Astrocytes
Adgrb1	Astrocytes
Adgrb2	Astrocytes
Adgrb3	Astrocytes
Adgrg1	Astrocytes
Adgrg6	Astrocytes
Adgrl1	Astrocytes
Adgrl3	Astrocytes
Adora1	Astrocytes
Adrb1	Astrocytes
Adrm1	Astrocytes
Afap1l2	Astrocytes
Agfg2	Astrocytes
Agt	Astrocytes
Ahi1	Astrocytes
Ahsa1	Astrocytes
Aimp1	Astrocytes
Ajm1	Astrocytes
Akr1b10	Astrocytes
Akt1	Astrocytes
Akt3	Astrocytes
Aldh4a1	Astrocytes
Aldh6a1	Astrocytes
Amer1	Astrocytes
Amigo1	Astrocytes
Amotl2	Astrocytes
Amph	Astrocytes
Anapc16	Astrocytes
Anapc5	Astrocytes
Angptl4	Astrocytes
Ank	Astrocytes
Ankrd16	Astrocytes
Ankrd49	Astrocytes
Anp32a	Astrocytes
Antxr1	Astrocytes
Ap1m1	Astrocytes
Ap1s2	Astrocytes
Ap2a1	Astrocytes
Ap2m1	Astrocytes
Ap2s1	Astrocytes
Apbb1	Astrocytes
Aplf	Astrocytes
Aplp1	Astrocytes
Aplp2	Astrocytes
Apobec3	Astrocytes
Apoe	Astrocytes
Appl2	Astrocytes
Araf	Astrocytes
Arf1	Astrocytes
Arhgap17	Astrocytes
Arhgap21	Astrocytes
Arhgap44	Astrocytes
Arhgef10l	Astrocytes
Arhgef2	Astrocytes
Arhgef28	Astrocytes
Arhgef37	Astrocytes
Arhgef7	Astrocytes
Arl15	Astrocytes
Arl4a	Astrocytes
Arl6ip4	Astrocytes
Armcx2	Astrocytes
Arpc1a	Astrocytes
Arpc2	Astrocytes
Arrb2	Astrocytes
Arsa	Astrocytes
Asb13	Astrocytes
Asic2	Astrocytes
Astn2	Astrocytes
Atf1	Astrocytes
Atf6b	Astrocytes
Atg10	Astrocytes
Atg101	Astrocytes
Atg13	Astrocytes
Atg14	Astrocytes
Atg16l2	Astrocytes
Atg2b	Astrocytes
Atg4a	Astrocytes
Atg5	Astrocytes
Atg9a	Astrocytes
Atl1	Astrocytes
Atp13a2	Astrocytes
Atp13a4	Astrocytes
Atp1a2	Astrocytes
Atp1b3	Astrocytes
Atp2a2	Astrocytes
Atp2b2	Astrocytes
Atp2b4	Astrocytes
Atp5a1	Astrocytes
Atp5j2	Astrocytes
Atp5l	Astrocytes
Atp6ap1	Astrocytes
Atp6v0b	Astrocytes
Atp6v0e	Astrocytes
Atp6v1a	Astrocytes
Atp6v1d	Astrocytes
Atp6v1e1	Astrocytes
Atp6v1g2	Astrocytes
Atpif1	Astrocytes
Atr	Astrocytes
Atxn2l	Astrocytes
Atxn7l3b	Astrocytes
Aven	Astrocytes
Axin2	Astrocytes
Axl	Astrocytes
B230217C12Rik	Astrocytes
B2m	Astrocytes
B3galt1	Astrocytes
B4galt3	Astrocytes
B4galt5	Astrocytes
B4galt7	Astrocytes
B9d1	Astrocytes
Babam2	Astrocytes
Bag6	Astrocytes
Bahcc1	Astrocytes
Bcan	Astrocytes
Bcas1	Astrocytes
Bcas2	Astrocytes
Bcat2	Astrocytes
Bcl2l1	Astrocytes
Bcl7a	Astrocytes
Bhlhb9	Astrocytes
Bin1	Astrocytes
Bmp6	Astrocytes
Bmp7	Astrocytes
Bmper	Astrocytes
Bmyc	Astrocytes
Bnip3	Astrocytes
Bod1l	Astrocytes
Bop1	Astrocytes
Borcs6	Astrocytes
Borcs8	Astrocytes
Brd9	Astrocytes
Bri3	Astrocytes
Brinp2	Astrocytes
Btg3	Astrocytes
Bud23	Astrocytes
Bzw1	Astrocytes
C1galt1c1	Astrocytes
Cabin1	Astrocytes
Cables1	Astrocytes
Cacna1a	Astrocytes
Cacnb2	Astrocytes
Cacng4	Astrocytes
Cacng5	Astrocytes
Cacng7	Astrocytes
Cadps2	Astrocytes
Calcoco1	Astrocytes
Calr	Astrocytes
Camk1d	Astrocytes
Camkk1	Astrocytes
Camkk2	Astrocytes
Canx	Astrocytes
Capza1	Astrocytes
Carhsp1	Astrocytes
Carmil1	Astrocytes
Carns1	Astrocytes
Cbs	Astrocytes
Cbx4	Astrocytes
Cbx6	Astrocytes
Ccdc115	Astrocytes
Ccdc12	Astrocytes
Ccdc124	Astrocytes
Ccdc152	Astrocytes
Ccdc157	Astrocytes
Ccdc162	Astrocytes
Ccdc47	Astrocytes
Ccdc71l	Astrocytes
Ccdc85c	Astrocytes
