Gene	cell_type	Direction
ARGLU1	MSN_Drd2+_1	DownReg
BRINP3	MSN_Drd2+_1	DownReg
CELF3	MSN_Drd2+_1	DownReg
COX7C	MSN_Drd2+_1	DownReg
DPM1	MSN_Drd2+_1	DownReg
EIF3K	MSN_Drd2+_1	DownReg
KIAA1217	MSN_Drd2+_1	DownReg
LZTS3	MSN_Drd2+_1	DownReg
NDUFA6	MSN_Drd2+_1	DownReg
PISD	MSN_Drd2+_1	DownReg
PSMA7	MSN_Drd2+_1	DownReg
RELN	MSN_Drd2+_1	DownReg
RNF150	MSN_Drd2+_1	DownReg
SELENOM	MSN_Drd2+_1	DownReg
STXBP6	MSN_Drd2+_1	DownReg
ATG16L2	MSN_Drd2+_1	UpReg
CARTPT	MSN_Drd2+_1	UpReg
CHGA	MSN_Drd2+_1	UpReg
CTNNA3	MSN_Drd2+_1	UpReg
DNAJB6	MSN_Drd2+_1	UpReg
FILIP1L	MSN_Drd2+_1	UpReg
GNAS	MSN_Drd2+_1	UpReg
GUCY1A1	MSN_Drd2+_1	UpReg
KCNA1	MSN_Drd2+_1	UpReg
LRRC4	MSN_Drd2+_1	UpReg
LRTM1	MSN_Drd2+_1	UpReg
LYSMD4	MSN_Drd2+_1	UpReg
NPAS3	MSN_Drd2+_1	UpReg
OPRM1	MSN_Drd2+_1	UpReg
PEG3	MSN_Drd2+_1	UpReg
RPS29	MSN_Drd2+_1	UpReg
RRAGD	MSN_Drd2+_1	UpReg
SCG2	MSN_Drd2+_1	UpReg
SHISA9	MSN_Drd2+_1	UpReg
SLC8A1	MSN_Drd2+_1	UpReg
SLIT2	MSN_Drd2+_1	UpReg
SUGT1	MSN_Drd2+_1	UpReg
TESC	MSN_Drd2+_1	UpReg
ACP1	MSN_Drd1+_1	DownReg
ANKRD33B	MSN_Drd1+_1	DownReg
ANO3	MSN_Drd1+_1	DownReg
ARF5	MSN_Drd1+_1	DownReg
ATP5MF	MSN_Drd1+_1	DownReg
ATP6V1E1	MSN_Drd1+_1	DownReg
C1QTNF4	MSN_Drd1+_1	DownReg
CELF3	MSN_Drd1+_1	DownReg
CLK1	MSN_Drd1+_1	DownReg
CNTN4	MSN_Drd1+_1	DownReg
COX7C	MSN_Drd1+_1	DownReg
DACH1	MSN_Drd1+_1	DownReg
EBF1	MSN_Drd1+_1	DownReg
FRMD4B	MSN_Drd1+_1	DownReg
HSPE1	MSN_Drd1+_1	DownReg
IL1RAPL2	MSN_Drd1+_1	DownReg
KCTD16	MSN_Drd1+_1	DownReg
LDHB	MSN_Drd1+_1	DownReg
LZTS3	MSN_Drd1+_1	DownReg
MSRA	MSN_Drd1+_1	DownReg
NDUFA6	MSN_Drd1+_1	DownReg
NRGN	MSN_Drd1+_1	DownReg
OAZ1	MSN_Drd1+_1	DownReg
PISD	MSN_Drd1+_1	DownReg
PNMA8B	MSN_Drd1+_1	DownReg
PSMA7	MSN_Drd1+_1	DownReg
PTCHD4	MSN_Drd1+_1	DownReg
RELN	MSN_Drd1+_1	DownReg
ROBO2	MSN_Drd1+_1	DownReg
SNTG2	MSN_Drd1+_1	DownReg
SUB1	MSN_Drd1+_1	DownReg
SYNE1	MSN_Drd1+_1	DownReg
TCF4	MSN_Drd1+_1	DownReg
UCHL1	MSN_Drd1+_1	DownReg
ALDOA	MSN_Drd1+_1	UpReg
CALM1	MSN_Drd1+_1	UpReg
CARTPT	MSN_Drd1+_1	UpReg
CSPG5	MSN_Drd1+_1	UpReg
CTNNA3	MSN_Drd1+_1	UpReg
FILIP1L	MSN_Drd1+_1	UpReg
GUCY1A1	MSN_Drd1+_1	UpReg
ITGBL1	MSN_Drd1+_1	UpReg
KIFAP3	MSN_Drd1+_1	UpReg
LAMP1	MSN_Drd1+_1	UpReg
LRRC4	MSN_Drd1+_1	UpReg
LRTM1	MSN_Drd1+_1	UpReg
LYSMD4	MSN_Drd1+_1	UpReg
NRP1	MSN_Drd1+_1	UpReg
P2RY12	MSN_Drd1+_1	UpReg
PCSK1N	MSN_Drd1+_1	UpReg
PDE4D	MSN_Drd1+_1	UpReg
RAB14	MSN_Drd1+_1	UpReg
RPS27	MSN_Drd1+_1	UpReg
SCG2	MSN_Drd1+_1	UpReg
SLIT2	MSN_Drd1+_1	UpReg
ZNF804A	MSN_Drd1+_1	UpReg
C1orf53	Astrocytes	DownReg
C16orf87	Astrocytes	DownReg
KIAA1109	Astrocytes	DownReg
KIAA0408	Astrocytes	DownReg
AAMP	Astrocytes	DownReg
ABCF1	Astrocytes	DownReg
ACTR10	Astrocytes	DownReg
ADAR	Astrocytes	DownReg
ADPRH	Astrocytes	DownReg
AFF3	Astrocytes	DownReg
AGAP3	Astrocytes	DownReg
AHSA1	Astrocytes	DownReg
AKAP11	Astrocytes	DownReg
AP1S2	Astrocytes	DownReg
APBB3	Astrocytes	DownReg
ARGLU1	Astrocytes	DownReg
ARMCX5	Astrocytes	DownReg
ARPC2	Astrocytes	DownReg
ATOX1	Astrocytes	DownReg
ATP5F1A	Astrocytes	DownReg
ATP5F1C	Astrocytes	DownReg
ATP6V1B2	Astrocytes	DownReg
ATXN2L	Astrocytes	DownReg
ATXN7L3B	Astrocytes	DownReg
C5orf24	Astrocytes	DownReg
BACE1	Astrocytes	DownReg
C9orf78	Astrocytes	DownReg
BCAN	Astrocytes	DownReg
BCL6	Astrocytes	DownReg
BCL7A	Astrocytes	DownReg
BICRAL	Astrocytes	DownReg
BMP6	Astrocytes	DownReg
BNIP3L	Astrocytes	DownReg
BRD9	Astrocytes	DownReg
BRDT	Astrocytes	DownReg
BRSK2	Astrocytes	DownReg
BTBD8	Astrocytes	DownReg
BZW1	Astrocytes	DownReg
BZW2	Astrocytes	DownReg
C1D	Astrocytes	DownReg
CACNA1A	Astrocytes	DownReg
CACNB1	Astrocytes	DownReg
CADPS2	Astrocytes	DownReg
CAMK2N1	Astrocytes	DownReg
CAMTA1	Astrocytes	DownReg
CAPZA2	Astrocytes	DownReg
CASC3	Astrocytes	DownReg
CCDC25	Astrocytes	DownReg
CCDC28A	Astrocytes	DownReg
CCT3	Astrocytes	DownReg
CDC37	Astrocytes	DownReg
CDC42	Astrocytes	DownReg
CDH4	Astrocytes	DownReg
CELF2	Astrocytes	DownReg
CELSR2	Astrocytes	DownReg
CENPV	Astrocytes	DownReg
CHMP1A	Astrocytes	DownReg
RNF103-CHMP3	Astrocytes	DownReg
CHMP3	Astrocytes	DownReg
CHMP5	Astrocytes	DownReg
CLCN4	Astrocytes	DownReg
CLDND1	Astrocytes	DownReg
CLTB	Astrocytes	DownReg
CLTC	Astrocytes	DownReg
CNIH1	Astrocytes	DownReg
COA6	Astrocytes	DownReg
COPG1	Astrocytes	DownReg
COX7C	Astrocytes	DownReg
CPSF2	Astrocytes	DownReg
CTNNB1	Astrocytes	DownReg
CTNNBIP1	Astrocytes	DownReg
CUTA	Astrocytes	DownReg
CWC25	Astrocytes	DownReg
CYC1	Astrocytes	DownReg
CYLD	Astrocytes	DownReg
DBNL	Astrocytes	DownReg
DDX18	Astrocytes	DownReg
DDX55	Astrocytes	DownReg
DEK	Astrocytes	DownReg
DLGAP4	Astrocytes	DownReg
DMXL2	Astrocytes	DownReg
DNAJA2	Astrocytes	DownReg
DNAJB6	Astrocytes	DownReg
DNAJC10	Astrocytes	DownReg
DNAJC5	Astrocytes	DownReg
DNAJC8	Astrocytes	DownReg
DOLK	Astrocytes	DownReg
DPM2	Astrocytes	DownReg
DPYSL2	Astrocytes	DownReg
DRAP1	Astrocytes	DownReg
DTD1	Astrocytes	DownReg
DYNC1I2	Astrocytes	DownReg
DYNC1LI2	Astrocytes	DownReg
DYNC2LI1	Astrocytes	DownReg
EDF1	Astrocytes	DownReg
EEF1D	Astrocytes	DownReg
EGLN2	Astrocytes	DownReg
EID2B	Astrocytes	DownReg
EIF1AX	Astrocytes	DownReg
EIF2B5	Astrocytes	DownReg
EIF2S2	Astrocytes	DownReg
EIF3A	Astrocytes	DownReg
EIF3E	Astrocytes	DownReg
ELOC	Astrocytes	DownReg
EMC1	Astrocytes	DownReg
EPN1	Astrocytes	DownReg
EPRS1	Astrocytes	DownReg
ERF	Astrocytes	DownReg
ERH	Astrocytes	DownReg
ETNPPL	Astrocytes	DownReg
EVA1A	Astrocytes	DownReg
FABP5	Astrocytes	DownReg
FAM107A	Astrocytes	DownReg
FAM117B	Astrocytes	DownReg
FAM126B	Astrocytes	DownReg
FAM171B	Astrocytes	DownReg
FAM184A	Astrocytes	DownReg
FAM214A	Astrocytes	DownReg
FAM98B	Astrocytes	DownReg
FARP1	Astrocytes	DownReg
FBXO21	Astrocytes	DownReg
FBXO34	Astrocytes	DownReg
FBXO9	Astrocytes	DownReg
FBXW7	Astrocytes	DownReg
FEM1B	Astrocytes	DownReg
FEZ1	Astrocytes	DownReg
FH	Astrocytes	DownReg
FKBP5	Astrocytes	DownReg
FLYWCH1	Astrocytes	DownReg
FOXP1	Astrocytes	DownReg
G3BP2	Astrocytes	DownReg
GABARAP	Astrocytes	DownReg
GATD1	Astrocytes	DownReg
GID8	Astrocytes	DownReg
GIPC1	Astrocytes	DownReg
GJB6	Astrocytes	DownReg
GMFB	Astrocytes	DownReg
GNA11	Astrocytes	DownReg
GNL3L	Astrocytes	DownReg
GPI	Astrocytes	DownReg
GPRASP1	Astrocytes	DownReg
GPS1	Astrocytes	DownReg
GRPEL1	Astrocytes	DownReg
GTF2F1	Astrocytes	DownReg
GTF2H5	Astrocytes	DownReg
H3-3A	Astrocytes	DownReg
HAGH	Astrocytes	DownReg
HDAC2	Astrocytes	DownReg
HIF3A	Astrocytes	DownReg
HNRNPAB	Astrocytes	DownReg
HNRNPD	Astrocytes	DownReg
HNRNPK	Astrocytes	DownReg
HNRNPUL2-BSCL2	Astrocytes	DownReg
HNRNPUL2	Astrocytes	DownReg
HP1BP3	Astrocytes	DownReg
HSPA4	Astrocytes	DownReg
HSPA9	Astrocytes	DownReg
HTATSF1	Astrocytes	DownReg
ICE1	Astrocytes	DownReg
IDH3G	Astrocytes	DownReg
IFT22	Astrocytes	DownReg
IGIP	Astrocytes	DownReg
IK	Astrocytes	DownReg
IMPA1	Astrocytes	DownReg
INTS1	Astrocytes	DownReg
ITGAV	Astrocytes	DownReg
ITPR1	Astrocytes	DownReg
IVNS1ABP	Astrocytes	DownReg
JADE1	Astrocytes	DownReg
JAGN1	Astrocytes	DownReg
JOSD1	Astrocytes	DownReg
KCTD1	Astrocytes	DownReg
KHSRP	Astrocytes	DownReg
KIF1A	Astrocytes	DownReg
KIF2A	Astrocytes	DownReg
KIF3A	Astrocytes	DownReg
KIFAP3	Astrocytes	DownReg
KLC1	Astrocytes	DownReg
KLF13	Astrocytes	DownReg
KLHDC2	Astrocytes	DownReg
KLHL2	Astrocytes	DownReg
