gene	cell_type	Direction
Atg16l2	MSN_Drd2+_1	UpReg
Cartpt	MSN_Drd2+_1	UpReg
Chga	MSN_Drd2+_1	UpReg
Ctnna3	MSN_Drd2+_1	UpReg
Dnajb6	MSN_Drd2+_1	UpReg
Egfp	MSN_Drd2+_1	UpReg
Filip1l	MSN_Drd2+_1	UpReg
Gnas	MSN_Drd2+_1	UpReg
Gucy1a1	MSN_Drd2+_1	UpReg
Kcna1	MSN_Drd2+_1	UpReg
Lrrc4	MSN_Drd2+_1	UpReg
Lrtm1	MSN_Drd2+_1	UpReg
Lysmd4	MSN_Drd2+_1	UpReg
Nnat	MSN_Drd2+_1	UpReg
Npas3	MSN_Drd2+_1	UpReg
Oprm1	MSN_Drd2+_1	UpReg
Peg3	MSN_Drd2+_1	UpReg
Rps29	MSN_Drd2+_1	UpReg
Rragd	MSN_Drd2+_1	UpReg
Scg2	MSN_Drd2+_1	UpReg
Shisa9	MSN_Drd2+_1	UpReg
Slc8a1	MSN_Drd2+_1	UpReg
Slit2	MSN_Drd2+_1	UpReg
Sugt1	MSN_Drd2+_1	UpReg
Tesc	MSN_Drd2+_1	UpReg
Ubl5	MSN_Drd2+_1	UpReg
Aldoa	MSN_Drd1+_1	UpReg
Calm1	MSN_Drd1+_1	UpReg
Cartpt	MSN_Drd1+_1	UpReg
Cspg5	MSN_Drd1+_1	UpReg
Ctnna3	MSN_Drd1+_1	UpReg
Egfp	MSN_Drd1+_1	UpReg
Filip1l	MSN_Drd1+_1	UpReg
Gucy1a1	MSN_Drd1+_1	UpReg
Itgbl1	MSN_Drd1+_1	UpReg
Kifap3	MSN_Drd1+_1	UpReg
Lamp1	MSN_Drd1+_1	UpReg
Lrrc4	MSN_Drd1+_1	UpReg
Lrtm1	MSN_Drd1+_1	UpReg
Lysmd4	MSN_Drd1+_1	UpReg
Npm1	MSN_Drd1+_1	UpReg
Nrp1	MSN_Drd1+_1	UpReg
P2ry12	MSN_Drd1+_1	UpReg
Pcsk1n	MSN_Drd1+_1	UpReg
Pde4d	MSN_Drd1+_1	UpReg
Ptprg	MSN_Drd1+_1	UpReg
Rab14	MSN_Drd1+_1	UpReg
Rps27	MSN_Drd1+_1	UpReg
Scg2	MSN_Drd1+_1	UpReg
Slit2	MSN_Drd1+_1	UpReg
Ubl5	MSN_Drd1+_1	UpReg
Zfp804a	MSN_Drd1+_1	UpReg
9330182L06Rik	Astrocytes	UpReg
9530068E07Rik	Astrocytes	UpReg
Adam22	Astrocytes	UpReg
Adcyap1r1	Astrocytes	UpReg
Ahi1	Astrocytes	UpReg
Amigo1	Astrocytes	UpReg
Arl6ip5	Astrocytes	UpReg
Atp1b3	Astrocytes	UpReg
Atp6v1g2	Astrocytes	UpReg
BC031181	Astrocytes	UpReg
Bsg	Astrocytes	UpReg
C1ql3	Astrocytes	UpReg
Cachd1	Astrocytes	UpReg
Casd1	Astrocytes	UpReg
Ccdc73	Astrocytes	UpReg
Cdh13	Astrocytes	UpReg
Cdk9	Astrocytes	UpReg
Cers4	Astrocytes	UpReg
Clu	Astrocytes	UpReg
Cpne8	Astrocytes	UpReg
Creld1	Astrocytes	UpReg
Crym	Astrocytes	UpReg
Cst3	Astrocytes	UpReg
Ctsb	Astrocytes	UpReg
Ctsd	Astrocytes	UpReg
Ddrgk1	Astrocytes	UpReg
Degs1	Astrocytes	UpReg
Dip2c	Astrocytes	UpReg
Dusp16	Astrocytes	UpReg
Filip1l	Astrocytes	UpReg
Gabrg3	Astrocytes	UpReg
Gfod1	Astrocytes	UpReg
Gm11146	Astrocytes	UpReg
Gpc6	Astrocytes	UpReg
Grm3	Astrocytes	UpReg
Gstm5	Astrocytes	UpReg
H2-D1	Astrocytes	UpReg
Hgsnat	Astrocytes	UpReg
Hnrnph1	Astrocytes	UpReg
Hnrnpr	Astrocytes	UpReg
Itm2b	Astrocytes	UpReg
Kcnn3	Astrocytes	UpReg
Kif3b	Astrocytes	UpReg
Kiz	Astrocytes	UpReg
Klhl7	Astrocytes	UpReg
Lamp1	Astrocytes	UpReg
Lrrc4	Astrocytes	UpReg
Lrrc45	Astrocytes	UpReg
Lrrc4c	Astrocytes	UpReg
Maf	Astrocytes	UpReg
Mef2c	Astrocytes	UpReg
Mgst1	Astrocytes	UpReg
Mid1ip1	Astrocytes	UpReg
Mllt6	Astrocytes	UpReg
Myef2	Astrocytes	UpReg
Myh6	Astrocytes	UpReg
Ncam2	Astrocytes	UpReg
Nrcam	Astrocytes	UpReg
Oat	Astrocytes	UpReg
Pam	Astrocytes	UpReg
Pbx3	Astrocytes	UpReg
Pcdh10	Astrocytes	UpReg
Pde1c	Astrocytes	UpReg
Pde4b	Astrocytes	UpReg
Pdia3	Astrocytes	UpReg
Phkb	Astrocytes	UpReg
Pitpnm1	Astrocytes	UpReg
Plekha5	Astrocytes	UpReg
Plscr4	Astrocytes	UpReg
Ppp2r2b	Astrocytes	UpReg
Prdx1	Astrocytes	UpReg
Ptn	Astrocytes	UpReg
Ptprt	Astrocytes	UpReg
Rasa1	Astrocytes	UpReg
Rbms3	Astrocytes	UpReg
Rce1	Astrocytes	UpReg
Rgs7	Astrocytes	UpReg
Rims2	Astrocytes	UpReg
Robo1	Astrocytes	UpReg
Rtraf	Astrocytes	UpReg
Scd2	Astrocytes	UpReg
Selenos	Astrocytes	UpReg
Serinc3	Astrocytes	UpReg
Sh3kbp1	Astrocytes	UpReg
Shisa9	Astrocytes	UpReg
Slc1a4	Astrocytes	UpReg
Slc22a23	Astrocytes	UpReg
Slc35c2	Astrocytes	UpReg
Slc36a1	Astrocytes	UpReg
Slc39a6	Astrocytes	UpReg
Slc8a1	Astrocytes	UpReg
Slco1c1	Astrocytes	UpReg
Sntb1	Astrocytes	UpReg
Sntg2	Astrocytes	UpReg
Sox9	Astrocytes	UpReg
Srgap1	Astrocytes	UpReg
Srsf9	Astrocytes	UpReg
Ssbp2	Astrocytes	UpReg
Syn3	Astrocytes	UpReg
Tenm4	Astrocytes	UpReg
Tgoln1	Astrocytes	UpReg
Tmem176b	Astrocytes	UpReg
Tmem178b	Astrocytes	UpReg
Tmem222	Astrocytes	UpReg
Tnfaip8	Astrocytes	UpReg
Unc13c	Astrocytes	UpReg
Unc79	Astrocytes	UpReg
Vcan	Astrocytes	UpReg
Vim	Astrocytes	UpReg
Vopp1	Astrocytes	UpReg
Wdr17	Astrocytes	UpReg
Xpnpep1	Astrocytes	UpReg
Aatk	MSN_Drd1+_2	UpReg
Adra1a	MSN_Drd1+_2	UpReg
Aldoa	MSN_Drd1+_2	UpReg
Atp1b1	MSN_Drd1+_2	UpReg
Atp6v1a	MSN_Drd1+_2	UpReg
Bcap31	MSN_Drd1+_2	UpReg
Brd3	MSN_Drd1+_2	UpReg
Cct3	MSN_Drd1+_2	UpReg
Ckb	MSN_Drd1+_2	UpReg
Ctnna3	MSN_Drd1+_2	UpReg
Dbp	MSN_Drd1+_2	UpReg
Eif3f	MSN_Drd1+_2	UpReg
Enc1	MSN_Drd1+_2	UpReg
Filip1l	MSN_Drd1+_2	UpReg
Gm10135	MSN_Drd1+_2	UpReg
Gnb5	MSN_Drd1+_2	UpReg
Gpi1	MSN_Drd1+_2	UpReg
Hspa5	MSN_Drd1+_2	UpReg
Inpp4b	MSN_Drd1+_2	UpReg
Kcna1	MSN_Drd1+_2	UpReg
Kif1a	MSN_Drd1+_2	UpReg
Lmo4	MSN_Drd1+_2	UpReg
Lrrc4	MSN_Drd1+_2	UpReg
Lrtm1	MSN_Drd1+_2	UpReg
Nat8l	MSN_Drd1+_2	UpReg
Nedd4	MSN_Drd1+_2	UpReg
Nme7	MSN_Drd1+_2	UpReg
Npdc1	MSN_Drd1+_2	UpReg
Pcp4	MSN_Drd1+_2	UpReg
Pgm2l1	MSN_Drd1+_2	UpReg
Podxl2	MSN_Drd1+_2	UpReg
Prkacb	MSN_Drd1+_2	UpReg
Tmem151a	MSN_Drd1+_2	UpReg
Tmem243	MSN_Drd1+_2	UpReg
Tmx2	MSN_Drd1+_2	UpReg
Top1	MSN_Drd1+_2	UpReg
Ubl5	MSN_Drd1+_2	UpReg
Uchl4	MSN_Drd1+_2	UpReg
Wwp1	MSN_Drd1+_2	UpReg
2300009A05Rik	Oligodendrocytes	UpReg
Abhd3	Oligodendrocytes	UpReg
Actb	Oligodendrocytes	UpReg
Acvr1	Oligodendrocytes	UpReg
Adarb2	Oligodendrocytes	UpReg
Aff2	Oligodendrocytes	UpReg
Agpat4	Oligodendrocytes	UpReg
Agpat5	Oligodendrocytes	UpReg
Akr7a5	Oligodendrocytes	UpReg
Alcam	Oligodendrocytes	UpReg
Alg3	Oligodendrocytes	UpReg
Alyref	Oligodendrocytes	UpReg
Ampd2	Oligodendrocytes	UpReg
Anp32e	Oligodendrocytes	UpReg
Aplp1	Oligodendrocytes	UpReg
Aplp2	Oligodendrocytes	UpReg
Apod	Oligodendrocytes	UpReg
Apoe	Oligodendrocytes	UpReg
Arhgef19	Oligodendrocytes	UpReg
Arl6ip1	Oligodendrocytes	UpReg
Asrgl1	Oligodendrocytes	UpReg
Atad1	Oligodendrocytes	UpReg
Atf4	Oligodendrocytes	UpReg
Atf6b	Oligodendrocytes	UpReg
Atp8a2	Oligodendrocytes	UpReg
Atraid	Oligodendrocytes	UpReg
Aup1	Oligodendrocytes	UpReg
B3gat1	Oligodendrocytes	UpReg
B3gat2	Oligodendrocytes	UpReg
Banp	Oligodendrocytes	UpReg
Btf3	Oligodendrocytes	UpReg
Cacna2d1	Oligodendrocytes	UpReg
Cadps	Oligodendrocytes	UpReg
Canx	Oligodendrocytes	UpReg
Car2	Oligodendrocytes	UpReg
Ccdc24	Oligodendrocytes	UpReg
Cd81	Oligodendrocytes	UpReg
Cdipt	Oligodendrocytes	UpReg
Cdon	Oligodendrocytes	UpReg
Cfl1	Oligodendrocytes	UpReg
Cggbp1	Oligodendrocytes	UpReg
Ckb	Oligodendrocytes	UpReg
Clcn3	Oligodendrocytes	UpReg
Clip3	Oligodendrocytes	UpReg
Cmss1	Oligodendrocytes	UpReg
Cnp	Oligodendrocytes	UpReg
Cox6c	Oligodendrocytes	UpReg
Cpt1c	Oligodendrocytes	UpReg
Crtac1	Oligodendrocytes	UpReg
Cryab	Oligodendrocytes	UpReg
Cryzl1	Oligodendrocytes	UpReg
Csnk1g2	Oligodendrocytes	UpReg
Ctsl	Oligodendrocytes	UpReg
Ctsz	Oligodendrocytes	UpReg
D8Ertd738e	Oligodendrocytes	UpReg
Dbi	Oligodendrocytes	UpReg
Dcaf11	Oligodendrocytes	UpReg
Dclk2	Oligodendrocytes	UpReg
Degs1	Oligodendrocytes	UpReg
Dhx9	Oligodendrocytes	UpReg
Dmd	Oligodendrocytes	UpReg
