cell_type	gene	avg_logFC	p_val	p_val_adj	de_family	de_method	de_type
1	MSN_Drd2+_1	Actb	0.540014486048629	3.24337317407936e-43	2.10858176793248e-40	singlecell	MAST	singlecell
2	MSN_Drd2+_1	Actg1	0.390856808107258	9.72878791205441e-29	2.87494527153855e-26	singlecell	MAST	singlecell
3	MSN_Drd2+_1	Aldoa	0.515750892747497	1.70845469346403e-42	1.06798131280272e-39	singlecell	MAST	singlecell
4	MSN_Drd2+_1	Arglu1	-0.213257242055608	4.8668538116363e-21	7.06258705361828e-19	singlecell	MAST	singlecell
5	MSN_Drd2+_1	Arl6ip1	0.2560582802573	5.54988410269485e-24	9.80459416533688e-22	singlecell	MAST	singlecell
6	MSN_Drd2+_1	Atg16l2	0.232073339329183	2.76439795086179e-15	1.97060350418231e-13	singlecell	MAST	singlecell
7	MSN_Drd2+_1	Atp1b1	0.330063629061905	1.53693414421409e-26	3.56854152084451e-24	singlecell	MAST	singlecell
8	MSN_Drd2+_1	Atp5d	0.221473967288055	5.7857735303421e-17	5.00192431854522e-15	singlecell	MAST	singlecell
9	MSN_Drd2+_1	Atp5g3	0.230342779286344	6.49507104233403e-21	9.26003417991711e-19	singlecell	MAST	singlecell
10	MSN_Drd2+_1	Atp6ap2	0.348972840870408	6.80993771144952e-26	1.49570158951607e-23	singlecell	MAST	singlecell
11	MSN_Drd2+_1	Atp6v0c	0.444227024544735	8.28187311828795e-61	1.34605283791534e-57	singlecell	MAST	singlecell
12	MSN_Drd2+_1	Atp6v1d	0.201082027168524	9.59483815009514e-10	2.06276328642191e-08	singlecell	MAST	singlecell
13	MSN_Drd2+_1	Bex2	0.275658673456179	2.13876564321294e-16	1.74680190950451e-14	singlecell	MAST	singlecell
14	MSN_Drd2+_1	Brinp3	-0.213143165286813	1.27607701370022e-09	2.67269068346258e-08	singlecell	MAST	singlecell
15	MSN_Drd2+_1	Calm1	0.618708428303874	9.21527715163508e-61	1.3615990867775e-57	singlecell	MAST	singlecell
16	MSN_Drd2+_1	Capza2	0.224483900575421	5.12035546681784e-12	2.07017754731817e-10	singlecell	MAST	singlecell
17	MSN_Drd2+_1	Cartpt	0.219690090531331	5.28622469194117e-10	1.24517405678435e-08	singlecell	MAST	singlecell
