Gene	cell_type
C12orf43	Astrocytes
C1orf53	Astrocytes
C16orf87	Astrocytes
KIAA1109	Astrocytes
KIAA0408	Astrocytes
C5orf15	Astrocytes
AAMP	Astrocytes
AATK	Astrocytes
ABCF1	Astrocytes
ABHD13	Astrocytes
ABHD14A	Astrocytes
ACOT7	Astrocytes
ACTR10	Astrocytes
ADAM22	Astrocytes
ADAR	Astrocytes
ADCYAP1R1	Astrocytes
ADGRB1	Astrocytes
ADGRB3	Astrocytes
ADGRL2	Astrocytes
ADPRH	Astrocytes
AFF3	Astrocytes
AGAP3	Astrocytes
AHI1	Astrocytes
AHSA1	Astrocytes
AKAP11	Astrocytes
ALDH1A1	Astrocytes
AMIGO1	Astrocytes
ANGPT1	Astrocytes
AP1S2	Astrocytes
AP2A2	Astrocytes
AP3B2	Astrocytes
APBB3	Astrocytes
APLP2	Astrocytes
APMAP	Astrocytes
APOE	Astrocytes
ARGLU1	Astrocytes
ARL6IP1	Astrocytes
ARL6IP5	Astrocytes
ARMCX5	Astrocytes
ARPC2	Astrocytes
ARPC4	Astrocytes
ATOX1	Astrocytes
ATP1B3	Astrocytes
ATP2B2	Astrocytes
ATP5F1A	Astrocytes
ATP5F1C	Astrocytes
ATP6V1A	Astrocytes
ATP6V1B2	Astrocytes
ATP6V1G2-DDX39B	Astrocytes
ATXN2L	Astrocytes
ATXN7L3B	Astrocytes
AZIN1	Astrocytes
C5orf24	Astrocytes
BACE1	Astrocytes
BAX	Astrocytes
C9orf78	Astrocytes
C18orf32	Astrocytes
BCAN	Astrocytes
BCAS2	Astrocytes
BCL6	Astrocytes
BCL7A	Astrocytes
BICRAL	Astrocytes
BMP6	Astrocytes
BNIP3L	Astrocytes
BRD9	Astrocytes
BRDT	Astrocytes
BRSK2	Astrocytes
BSG	Astrocytes
BTBD8	Astrocytes
BZW1	Astrocytes
BZW2	Astrocytes
C1D	Astrocytes
C1QL3	Astrocytes
CACHD1	Astrocytes
CACNA1A	Astrocytes
CACNA1D	Astrocytes
CACNB1	Astrocytes
CACNB2	Astrocytes
CADPS2	Astrocytes
CAMK2N1	Astrocytes
CAMTA1	Astrocytes
CAPNS1	Astrocytes
CAPZA2	Astrocytes
CA10	Astrocytes
CASC3	Astrocytes
CASD1	Astrocytes
CCDC25	Astrocytes
CCDC28A	Astrocytes
CCDC73	Astrocytes
CCT3	Astrocytes
CD81	Astrocytes
CDC37	Astrocytes
CDC42	Astrocytes
CDH13	Astrocytes
CDH4	Astrocytes
CDK17	Astrocytes
