Gene	cell_type
1500009C09Rik	Astrocytes
2210016L21Rik	Astrocytes
2310009B15Rik	Astrocytes
4921524J17Rik	Astrocytes
4932438A13Rik	Astrocytes
6330403K07Rik	Astrocytes
9330159F19Rik	Astrocytes
9330182L06Rik	Astrocytes
9530068E07Rik	Astrocytes
Aamp	Astrocytes
Aatk	Astrocytes
Abcf1	Astrocytes
Abhd13	Astrocytes
Abhd14a	Astrocytes
Acot7	Astrocytes
Actr10	Astrocytes
Adam22	Astrocytes
Adar	Astrocytes
Adcyap1r1	Astrocytes
Adgrb1	Astrocytes
Adgrb3	Astrocytes
Adgrl2	Astrocytes
Adprh	Astrocytes
Aff3	Astrocytes
Agap3	Astrocytes
Ahi1	Astrocytes
Ahsa1	Astrocytes
Akap11	Astrocytes
Aldh1a1	Astrocytes
Amigo1	Astrocytes
Angpt1	Astrocytes
Ap1s2	Astrocytes
Ap2a2	Astrocytes
Ap3b2	Astrocytes
Apbb3	Astrocytes
Aplp2	Astrocytes
Apmap	Astrocytes
Apoe	Astrocytes
Arglu1	Astrocytes
Arl6ip1	Astrocytes
Arl6ip5	Astrocytes
Armcx5	Astrocytes
Arpc2	Astrocytes
Arpc4	Astrocytes
Atox1	Astrocytes
Atp1b3	Astrocytes
Atp2b2	Astrocytes
Atp5a1	Astrocytes
Atp5c1	Astrocytes
Atp6v1a	Astrocytes
Atp6v1b2	Astrocytes
Atp6v1g2	Astrocytes
Atxn2l	Astrocytes
Atxn7l3b	Astrocytes
Azin1	Astrocytes
B230219D22Rik	Astrocytes
Bace1	Astrocytes
Bax	Astrocytes
BC005624	Astrocytes
BC031181	Astrocytes
Bcan	Astrocytes
Bcas2	Astrocytes
Bcl6	Astrocytes
Bcl7a	Astrocytes
Bet1l	Astrocytes
Bicral	Astrocytes
Bmp6	Astrocytes
Bnip3l	Astrocytes
Brd9	Astrocytes
Brdt	Astrocytes
Brsk2	Astrocytes
Bsg	Astrocytes
Btbd8	Astrocytes
Bzw1	Astrocytes
Bzw2	Astrocytes
C1d	Astrocytes
C1ql3	Astrocytes
Cachd1	Astrocytes
Cacna1a	Astrocytes
Cacna1d	Astrocytes
Cacnb1	Astrocytes
Cacnb2	Astrocytes
Cadps2	Astrocytes
Camk2n1	Astrocytes
Camta1	Astrocytes
Capns1	Astrocytes
Capza2	Astrocytes
Car10	Astrocytes
Casc3	Astrocytes
Casd1	Astrocytes
Ccdc25	Astrocytes
Ccdc28a	Astrocytes
Ccdc73	Astrocytes
Cct3	Astrocytes
Cd81	Astrocytes
Cdc37	Astrocytes
Cdc42	Astrocytes
Cdh13	Astrocytes
Cdh4	Astrocytes
Cdk17	Astrocytes
Cdk5	Astrocytes
Cdk9	Astrocytes
Celf2	Astrocytes
Celsr2	Astrocytes
Cenpv	Astrocytes
Cers4	Astrocytes
Chchd6	Astrocytes
Chmp1a	Astrocytes
Chmp3	Astrocytes
Chmp5	Astrocytes
Chn1	Astrocytes
Chst1	Astrocytes
Cit	Astrocytes
Clcn4	Astrocytes
Cldn10	Astrocytes
Cldnd1	Astrocytes
Cltb	Astrocytes
Cltc	Astrocytes
Clu	Astrocytes
Cmas	Astrocytes
Cnih1	Astrocytes
Cntfr	Astrocytes
Coa6	Astrocytes
Copb2	Astrocytes
Cope	Astrocytes
Copg1	Astrocytes
Cox18	Astrocytes
Cox7b	Astrocytes
Cox7c	Astrocytes
Cox8a	Astrocytes
Cpne8	Astrocytes
Cpsf2	Astrocytes
Creld1	Astrocytes
Crym	Astrocytes
Csmd1	Astrocytes
Cst3	Astrocytes
Ctnnb1	Astrocytes
Ctnnbip1	Astrocytes
Ctsb	Astrocytes
Ctsd	Astrocytes
Cuta	Astrocytes
Cwc25	Astrocytes
Cyc1	Astrocytes
Cycs	Astrocytes
Cyld	Astrocytes
Dab2	Astrocytes
Dapk1	Astrocytes
Dbi	Astrocytes
Dbnl	Astrocytes
Dclk1	Astrocytes
Dctn1	Astrocytes
Dcun1d4	Astrocytes
Ddrgk1	Astrocytes
Ddx18	Astrocytes
Ddx55	Astrocytes
Degs1	Astrocytes
Dek	Astrocytes
Dhrs7	Astrocytes
Dip2c	Astrocytes
Dlg3	Astrocytes
Dlgap4	Astrocytes
Dmxl2	Astrocytes
Dnaja1	Astrocytes
Dnaja2	Astrocytes
Dnajb6	Astrocytes
Dnajc10	Astrocytes
Dnajc30	Astrocytes
Dnajc5	Astrocytes
Dnajc8	Astrocytes
Dnm3	Astrocytes
Dok6	Astrocytes
Dolk	Astrocytes
Dpm2	Astrocytes
Dpysl2	Astrocytes
Drap1	Astrocytes
Dtd1	Astrocytes
Dtnb	Astrocytes
Dusp16	Astrocytes
Dync1i2	Astrocytes
Dync1li2	Astrocytes
Dync2li1	Astrocytes
Edf1	Astrocytes
Ednrb	Astrocytes
Eef1a1	Astrocytes
Eef1d	Astrocytes
Eef1g	Astrocytes
Egln2	Astrocytes
Eid1	Astrocytes
Eid2b	Astrocytes
Eif1ax	Astrocytes
Eif2b5	Astrocytes
Eif2s2	Astrocytes
Eif3a	Astrocytes
Eif3e	Astrocytes
Eif3l	Astrocytes
Eif3m	Astrocytes
Eif4a2	Astrocytes
Eloc	Astrocytes
Emc1	Astrocytes
Epha5	Astrocytes
Epn1	Astrocytes
Eprs	Astrocytes
Erbb4	Astrocytes
Erf	Astrocytes
Erh	Astrocytes
Ero1l	Astrocytes
Etnppl	Astrocytes
Eva1a	Astrocytes
Faap20	Astrocytes
Fabp5	Astrocytes
Fahd1	Astrocytes
Fam107a	Astrocytes
Fam117b	Astrocytes
Fam126b	Astrocytes
Fam131a	Astrocytes
Fam171b	Astrocytes
Fam184a	Astrocytes
Fam214a	Astrocytes
Fam49a	Astrocytes
Fam98b	Astrocytes
Farp1	Astrocytes
Fbxo21	Astrocytes
Fbxo34	Astrocytes
Fbxo9	Astrocytes
Fbxw7	Astrocytes
Fem1b	Astrocytes
Fez1	Astrocytes
Fgf14	Astrocytes
Fh1	Astrocytes
Filip1l	Astrocytes
Fkbp5	Astrocytes
Flywch1	Astrocytes
Foxp1	Astrocytes
Fry	Astrocytes
G3bp2	Astrocytes
Gabarap	Astrocytes
Gabrg3	Astrocytes
Gatd1	Astrocytes
Gfod1	Astrocytes
Gid8	Astrocytes
Gipc1	Astrocytes
Gjb6	Astrocytes
Glrx2	Astrocytes
Gls	Astrocytes
Gm11146	Astrocytes
Gm16286	Astrocytes
Gm21860	Astrocytes
Gm4491	Astrocytes
Gm47283	Astrocytes
Gm4951	Astrocytes
Gm9925	Astrocytes
Gmfb	Astrocytes
Gna11	Astrocytes
Gnl3l	Astrocytes
Gpam	Astrocytes
Gpc6	Astrocytes
Gpi1	Astrocytes
Gprasp1	Astrocytes
Gps1	Astrocytes
Gria1	Astrocytes
Grm3	Astrocytes
Grpel1	Astrocytes
Gstm5	Astrocytes
Gtf2f1	Astrocytes
Gtf2h5	Astrocytes
H2-D1	Astrocytes
H3f3a	Astrocytes
Hagh	Astrocytes
Hdac2	Astrocytes
Hgsnat	Astrocytes
Hif3a	Astrocytes
Hmgn1	Astrocytes
Hnrnpab	Astrocytes
Hnrnpd	Astrocytes
Hnrnph1	Astrocytes
Hnrnpk	Astrocytes
Hnrnpr	Astrocytes
Hnrnpul2	Astrocytes
Homer1	Astrocytes
Hp1bp3	Astrocytes
Hs3st3a1	Astrocytes
Hspa12a	Astrocytes
Hspa4	Astrocytes
Hspa5	Astrocytes
Hspa9	Astrocytes
Htatsf1	Astrocytes
Ice1	Astrocytes
Idh3g	Astrocytes
Ift22	Astrocytes
Igip	Astrocytes
Ik	Astrocytes
Il1rapl1	Astrocytes
Impa1	Astrocytes
Insyn1	Astrocytes
Ints1	Astrocytes
Irs2	Astrocytes
Iscu	Astrocytes
Itgav	Astrocytes
Itgb1bp1	Astrocytes
Itm2b	Astrocytes
Itpr1	Astrocytes
Ivns1abp	Astrocytes
Jade1	Astrocytes
Jagn1	Astrocytes
Josd1	Astrocytes
Kcnd2	Astrocytes
Kcnj3	Astrocytes
Kcnn3	Astrocytes
Kcnq3	Astrocytes
