Category	ID	Name	Source	p-value	q-value Bonferroni	q-value FDR B&H	q-value FDR B&Y	Hit Count in Query List	Hit Count in Genome	Hit in Query List
GO: Molecular Function	GO:0015078	proton transmembrane transporter activity	 	1.440E-6	7.576E-4	4.465E-4	3.056E-3	8	135	ATP5F1D,ATP5MC3,ATP6V0C,COX6C,COX7C,SLC32A1,COX5A,ATP6V1D
GO: Molecular Function	GO:0003735	structural constituent of ribosome	 	2.200E-6	1.157E-3	4.465E-4	3.056E-3	9	192	RPL37,RPS8,RPS12,RPS21,RPS27,RPS29,FAU,RPL11,RPL13
GO: Molecular Function	GO:0023026	MHC class II protein complex binding	 	2.650E-6	1.394E-3	4.465E-4	3.056E-3	4	17	ATP1B1,HSPA8,HSP90AA1,HSP90AB1
GO: Molecular Function	GO:0031625	ubiquitin protein ligase binding	 	3.395E-6	1.786E-3	4.465E-4	3.056E-3	11	321	ATP6V0C,SLC25A5,TUBB,ACTG1,CKB,UBB,UBC,HSPA8,RPL11,HSP90AA1,HSP90AB1
GO: Molecular Function	GO:0097718	disordered domain specific binding	 	4.842E-6	2.547E-3	5.094E-4	3.486E-3	5	42	CALM1,GAPDH,KCNA1,HSP90AA1,HSP90AB1
GO: Molecular Function	GO:0044389	ubiquitin-like protein ligase binding	 	6.209E-6	3.266E-3	5.443E-4	3.725E-3	11	342	ATP6V0C,SLC25A5,TUBB,ACTG1,CKB,UBB,UBC,HSPA8,RPL11,HSP90AA1,HSP90AB1
GO: Molecular Function	GO:0022890	inorganic cation transmembrane transporter activity	 	1.583E-5	8.327E-3	1.190E-3	8.141E-3	15	695	ATP5F1D,ATP5MC3,ATP6V0C,CALM1,COX6C,COX7C,YWHAH,OPRM1,SLC32A1,SLC8A1,KCNA1,COX5A,ATP6V1D,KCNK1,ATP1B1
GO: Molecular Function	GO:0030235	nitric-oxide synthase regulator activity	 	2.377E-5	1.250E-2	1.463E-3	1.001E-2	3	10	CALM1,HSP90AA1,HSP90AB1
GO: Molecular Function	GO:0050998	nitric-oxide synthase binding	 	2.503E-5	1.317E-2	1.463E-3	1.001E-2	4	29	CALM1,ACTB,HSP90AA1,HSP90AB1
GO: Molecular Function	GO:0008324	cation transmembrane transporter activity	 	3.432E-5	1.805E-2	1.512E-3	1.035E-2	15	743	ATP5F1D,ATP5MC3,ATP6V0C,CALM1,COX6C,COX7C,YWHAH,OPRM1,SLC32A1,SLC8A1,KCNA1,COX5A,ATP6V1D,KCNK1,ATP1B1
GO: Molecular Function	GO:0015207	adenine transmembrane transporter activity	 	3.518E-5	1.850E-2	1.512E-3	1.035E-2	2	2	SLC25A4,SLC25A5
GO: Molecular Function	GO:0004609	phosphatidylserine decarboxylase activity	 	3.518E-5	1.850E-2	1.512E-3	1.035E-2	2	2	PISD,GOT1
GO: Molecular Function	GO:0023023	MHC protein complex binding	 	3.738E-5	1.966E-2	1.512E-3	1.035E-2	4	32	ATP1B1,HSPA8,HSP90AA1,HSP90AB1
GO: Molecular Function	GO:0005198	structural molecule activity	 	5.307E-5	2.792E-2	1.961E-3	1.342E-2	15	772	RELN,RPL37,RPS8,ACTB,RPS12,TUBB,ACTG1,RPS21,RPS27,RPS29,TUBB2A,SLIT2,FAU,RPL11,RPL13
GO: Molecular Function	GO:0031386	protein tag	 	5.592E-5	2.941E-2	1.961E-3	1.342E-2	3	13	UBB,UBC,UBL5
GO: Molecular Function	GO:0044183	protein folding chaperone	 	6.710E-5	3.529E-2	2.193E-3	1.500E-2	4	37	DNAJB6,HSPA8,HSP90AA1,HSP90AB1
GO: Molecular Function	GO:0004517	nitric-oxide synthase activity	 	7.086E-5	3.727E-2	2.193E-3	1.500E-2	3	14	CALM1,HSP90AA1,HSP90AB1
GO: Molecular Function	GO:0002135	CTP binding	 	1.045E-4	5.497E-2	2.893E-3	1.980E-2	2	3	HSP90AA1,HSP90AB1
GO: Molecular Function	GO:0017098	sulfonylurea receptor binding	 	1.045E-4	5.497E-2	2.893E-3	1.980E-2	2	3	HSP90AA1,HSP90AB1
GO: Molecular Function	GO:0051082	unfolded protein binding	 	1.494E-4	7.856E-2	3.928E-3	2.688E-2	6	134	NPM1,DNAJB6,PPIA,HSPA8,HSP90AA1,HSP90AB1
GO: Molecular Function	GO:0002134	UTP binding	 	2.082E-4	1.095E-1	4.978E-3	3.407E-2	2	4	HSP90AA1,HSP90AB1
GO: Molecular Function	GO:0005471	ATP:ADP antiporter activity	 	2.082E-4	1.095E-1	4.978E-3	3.407E-2	2	4	SLC25A4,SLC25A5
GO: Molecular Function	GO:0015075	ion transmembrane transporter activity	 	2.404E-4	1.264E-1	5.497E-3	3.762E-2	17	1090	ATP5F1D,ATP5MC3,ATP6V0C,CALM1,SLC25A4,SLC25A5,COX6C,COX7C,YWHAH,OPRM1,SLC32A1,SLC8A1,KCNA1,COX5A,ATP6V1D,KCNK1,ATP1B1
GO: Molecular Function	GO:0008092	cytoskeletal protein binding	 	3.131E-4	1.647E-1	6.862E-3	4.696E-2	17	1115	CALM1,KIF1A,GAPDH,ACTB,CAPZA2,RAB14,YWHAH,OPRM1,KIFAP3,SLC8A1,STMN3,PAFAH1B1,CTNNA3,GNAS,ALDOA,HSP90AA1,HSP90AB1
