Category	ID	Name	Source	p-value	q-value Bonferroni	q-value FDR B&H	q-value FDR B&Y	Hit Count in Query List	Hit Count in Genome	Hit in Query List
GO: Molecular Function	GO:0030235	nitric-oxide synthase regulator activity	 	5.154E-6	2.077E-3	2.077E-3	1.366E-2	3	10	CALM2,DYNLL1,HSP90AB1
GO: Molecular Function	GO:0004517	nitric-oxide synthase activity	 	1.547E-5	6.236E-3	3.118E-3	2.051E-2	3	14	CALM2,DYNLL1,HSP90AB1
GO: Molecular Function	GO:0050998	nitric-oxide synthase binding	 	1.495E-4	6.023E-2	1.885E-2	1.240E-1	3	29	CALM2,DYNLL1,HSP90AB1
GO: Molecular Function	GO:0047238	glucuronosyl-N-acetylgalactosaminyl-proteoglycan 4-beta-N-acetylgalactosaminyltransferase activity	 	1.871E-4	7.540E-2	1.885E-2	1.240E-1	2	6	CHSY3,CSGALNACT1
GO: Molecular Function	GO:0097718	disordered domain specific binding	 	4.542E-4	1.830E-1	3.542E-2	2.330E-1	3	42	CALM2,GAPDH,HSP90AB1
GO: Molecular Function	GO:0008121	ubiquinol-cytochrome-c reductase activity	 	5.562E-4	2.241E-1	3.542E-2	2.330E-1	2	10	UQCRQ,UQCR10
GO: Molecular Function	GO:0003735	structural constituent of ribosome	 	6.213E-4	2.504E-1	3.542E-2	2.330E-1	5	192	RPL31,RPL36,RPL41,RPS15A,RPL22L1
GO: Molecular Function	GO:0016491	oxidoreductase activity	 	7.032E-4	2.834E-1	3.542E-2	2.330E-1	10	830	CALM2,GAPDH,DYNLL1,UQCRQ,KDM5D,UQCR10,NDUFB10,YWHAH,PRDX6,HSP90AB1
GO: Biological Process	GO:0007399	nervous system development	 	1.294E-5	2.845E-2	2.845E-2	2.354E-1	27	3443	PCP4,PTN,RPL36,SLC8A1,OLFM3,PTPRG,CALM2,MAP6,NFE2L1,CAMK2A,NTM,CSPG5,LRRTM4,PENK,TMEM132A,LRTM1,RPS15A,DYNLL1,ZFHX3,UQCRQ,ACVR1C,BEX2,YWHAH,UNC5D,XRCC6,EEF1A1,HSP90AB1
GO: Biological Process	GO:0007417	central nervous system development	 	4.529E-5	9.960E-2	4.710E-2	3.896E-1	17	1694	PTN,RPL36,SLC8A1,PTPRG,CALM2,NFE2L1,NTM,TMEM132A,RPS15A,DYNLL1,ZFHX3,UQCRQ,ACVR1C,YWHAH,UNC5D,XRCC6,HSP90AB1
GO: Biological Process	GO:0030901	midbrain development	 	9.818E-5	2.159E-1	4.710E-2	3.896E-1	5	134	CALM2,DYNLL1,UQCRQ,ACVR1C,YWHAH
GO: Biological Process	GO:0007420	brain development	 	1.057E-4	2.324E-1	4.710E-2	3.896E-1	14	1289	PTN,RPL36,SLC8A1,PTPRG,CALM2,NTM,TMEM132A,RPS15A,DYNLL1,ZFHX3,UQCRQ,ACVR1C,YWHAH,XRCC6
GO: Biological Process	GO:0030206	chondroitin sulfate biosynthetic process	 	1.071E-4	2.355E-1	4.710E-2	3.896E-1	3	27	CSPG5,CHSY3,CSGALNACT1
GO: Cellular Component	GO:0035976	transcription factor AP-1 complex	 	6.956E-5	2.316E-2	1.526E-2	9.746E-2	2	4	JUNB,JUND
GO: Cellular Component	GO:0022626	cytosolic ribosome	 	9.165E-5	3.052E-2	1.526E-2	9.746E-2	5	132	RPL31,RPL36,RPL41,RPS15A,EIF1
GO: Cellular Component	GO:0042788	polysomal ribosome	 	2.353E-4	7.834E-2	2.611E-2	1.668E-1	3	35	RPL31,RPL36,RPL41
GO: Cellular Component	GO:0101002	ficolin-1-rich granule	 	4.403E-4	1.466E-1	2.737E-2	1.748E-1	5	185	DYNLL1,XRCC6,GAA,EEF1A1,HSP90AB1
GO: Cellular Component	GO:0045202	synapse	 	4.425E-4	1.474E-1	2.737E-2	1.748E-1	15	1662	PTN,RPL31,RPL36,SLC8A1,OLFM3,CALM2,GAPDH,CAMK2A,NTM,CSPG5,LRRTM4,PENK,DYNLL2,PCBP2,YWHAH
GO: Cellular Component	GO:0005840	ribosome	 	4.932E-4	1.642E-1	2.737E-2	1.748E-1	6	291	RPL31,RPL36,RPL41,RPS15A,RPL22L1,EIF1
GO: Cellular Component	GO:0140268	endoplasmic reticulum-plasma membrane contact site	 	6.278E-4	2.091E-1	2.986E-2	1.907E-1	2	11	GRAMD1B,C2CD2L
GO: Cellular Component	GO:0044391	ribosomal subunit	 	9.244E-4	3.078E-1	3.436E-2	2.194E-1	5	218	RPL31,RPL36,RPL41,RPS15A,EIF1
GO: Cellular Component	GO:0005750	mitochondrial respiratory chain complex III	 	1.032E-3	3.436E-1	3.436E-2	2.194E-1	2	14	UQCRQ,UQCR10
GO: Cellular Component	GO:0045275	respiratory chain complex III	 	1.032E-3	3.436E-1	3.436E-2	2.194E-1	2	14	UQCRQ,UQCR10
GO: Cellular Component	GO:0022625	cytosolic large ribosomal subunit	 	1.214E-3	4.041E-1	3.470E-2	2.216E-1	3	61	RPL31,RPL36,RPL41
GO: Cellular Component	GO:0098984	neuron to neuron synapse	 	1.276E-3	4.248E-1	3.470E-2	2.216E-1	7	479	SLC8A1,GAPDH,CAMK2A,LRRTM4,PENK,DYNLL2,PCBP2
GO: Cellular Component	GO:0098992	neuronal dense core vesicle	 	1.355E-3	4.511E-1	3.470E-2	2.216E-1	2	16	SCG2,PENK
GO: Cellular Component	GO:0014704	intercalated disc	 	1.732E-3	5.769E-1	4.121E-2	2.632E-1	3	69	SLC8A1,CTNNA3,YWHAH
GO: Cellular Component	GO:0099503	secretory vesicle	 	2.456E-3	8.180E-1	4.899E-2	3.129E-1	11	1197	CALM2,MAP6,SCG2,PENK,DYNLL1,STK31,XRCC6,GAA,PRDX6,EEF1A1,HSP90AB1
