Category	ID	Name	Source	p-value	q-value Bonferroni	q-value FDR B&H	q-value FDR B&Y	Hit Count in Query List	Hit Count in Genome	Hit in Query List
GO: Molecular Function	GO:0044389	ubiquitin-like protein ligase binding	 	1.990E-8	1.210E-5	1.210E-5	8.455E-5	15	342	ATP6V0C,SLC25A5,BAG1,ACTG1,CKB,UBB,PTPRN,SYT11,RRAGA,UCHL1,PCBP2,HSPA5,HSPA8,HSP90AA1,HSP90AB1
GO: Molecular Function	GO:0031625	ubiquitin protein ligase binding	 	6.501E-8	3.953E-5	1.894E-5	1.324E-4	14	321	ATP6V0C,SLC25A5,BAG1,ACTG1,CKB,UBB,SYT11,RRAGA,UCHL1,PCBP2,HSPA5,HSPA8,HSP90AA1,HSP90AB1
GO: Molecular Function	GO:0023026	MHC class II protein complex binding	 	9.345E-8	5.682E-5	1.894E-5	1.324E-4	5	17	PKM,ATP1B1,HSPA8,HSP90AA1,HSP90AB1
GO: Molecular Function	GO:0097718	disordered domain specific binding	 	4.679E-7	2.845E-4	5.835E-5	4.077E-4	6	42	CALM1,CALM2,GAPDH,KCNA1,HSP90AA1,HSP90AB1
GO: Molecular Function	GO:0030235	nitric-oxide synthase regulator activity	 	4.798E-7	2.917E-4	5.835E-5	4.077E-4	4	10	CALM1,CALM2,HSP90AA1,HSP90AB1
GO: Molecular Function	GO:0016887	ATP hydrolysis activity	 	7.911E-7	4.810E-4	8.016E-5	5.602E-4	17	584	ATP5PF,ATP6V0C,ATP6V1E1,ATP5PO,BAG1,ACSL3,TMEM30A,ATP1A1,ATP1A3,ATP1B1,ATP2A2,RAB3A,HSPA5,HSPA8,XRCC6,HSP90AA1,ATP5F1B
GO: Molecular Function	GO:0050998	nitric-oxide synthase binding	 	1.676E-6	1.019E-3	1.455E-4	1.017E-3	5	29	CALM1,CALM2,ACTB,HSP90AA1,HSP90AB1
GO: Molecular Function	GO:0015662	P-type ion transporter activity	 	1.999E-6	1.216E-3	1.512E-4	1.056E-3	5	30	ATP6V0C,ATP6V1E1,ATP1A1,ATP1A3,ATP2A2
GO: Molecular Function	GO:0004517	nitric-oxide synthase activity	 	2.238E-6	1.360E-3	1.512E-4	1.056E-3	4	14	CALM1,CALM2,HSP90AA1,HSP90AB1
GO: Molecular Function	GO:0023023	MHC protein complex binding	 	2.793E-6	1.698E-3	1.640E-4	1.146E-3	5	32	PKM,ATP1B1,HSPA8,HSP90AA1,HSP90AB1
