Gene	cell_type
C12orf43	Astrocytes
KIAA0408	Astrocytes
KIAA2026	Astrocytes
AAMP	Astrocytes
ABHD13	Astrocytes
ABHD14A	Astrocytes
ABHD16A	Astrocytes
ABHD18	Astrocytes
ABR	Astrocytes
ADCY3	Astrocytes
ADGRL2	Astrocytes
ADPRH	Astrocytes
AGTPBP1	Astrocytes
AHCYL1	Astrocytes
AHNAK	Astrocytes
AKAP7	Astrocytes
ALCAM	Astrocytes
ALDH1A1	Astrocytes
ANAPC13	Astrocytes
ANKRD46	Astrocytes
ANO10	Astrocytes
AP2A2	Astrocytes
AP3B2	Astrocytes
AP3M1	Astrocytes
APMAP	Astrocytes
APOE	Astrocytes
ARCN1	Astrocytes
ARHGAP18	Astrocytes
ARHGEF7	Astrocytes
ARL6IP1	Astrocytes
ARL8A	Astrocytes
ARPC4	Astrocytes
ASIC2	Astrocytes
ASTN2	Astrocytes
ATF6B	Astrocytes
ATP2A2	Astrocytes
DONSON	Astrocytes
ATP5PO	Astrocytes
ATP6V1B2	Astrocytes
ATXN7L3B	Astrocytes
BAX	Astrocytes
C18orf32	Astrocytes
BCAS2	Astrocytes
BMPER	Astrocytes
BTG2	Astrocytes
C1GALT1C1	Astrocytes
C4B	Astrocytes
C4A	Astrocytes
CACNA2D2	Astrocytes
CACNG4	Astrocytes
CAMK1D	Astrocytes
CA10	Astrocytes
CASD1	Astrocytes
CCDC190	Astrocytes
CCDC50	Astrocytes
CCDC85A	Astrocytes
CCNQ	Astrocytes
CCT3	Astrocytes
CD27	Astrocytes
CD47	Astrocytes
CD81	Astrocytes
CD9	Astrocytes
CDC37	Astrocytes
CDK17	Astrocytes
CDK5	Astrocytes
CELSR2	Astrocytes
CENPV	Astrocytes
CEP112	Astrocytes
CHCHD6	Astrocytes
CHMP5	Astrocytes
CHN1	Astrocytes
CHST1	Astrocytes
CHST2	Astrocytes
CLDN10	Astrocytes
CLMN	Astrocytes
CLU	Astrocytes
CMAS	Astrocytes
CMSS1	Astrocytes
CMTM4	Astrocytes
CNIH4	Astrocytes
CNPY2	Astrocytes
CNTN1	Astrocytes
COPE	Astrocytes
COQ7	Astrocytes
CPEB1	Astrocytes
CROT	Astrocytes
CSMD1	Astrocytes
CST3	Astrocytes
CTHRC1	Astrocytes
CTSD	Astrocytes
CTSZ	Astrocytes
CTTNBP2	Astrocytes
CYB5A	Astrocytes
CYB5B	Astrocytes
CYCS	Astrocytes
CYHR1	Astrocytes
CYP51A1	Astrocytes
CYREN	Astrocytes
DALRD3	Astrocytes
DCBLD1	Astrocytes
DCC	Astrocytes
DCTN1	Astrocytes
DDAH1	Astrocytes
DDX21	Astrocytes
DDX3Y	Astrocytes
DDX60	Astrocytes
DEGS1	Astrocytes
DENR	Astrocytes
DGKI	Astrocytes
DHRS7	Astrocytes
DHX40	Astrocytes
DIO2	Astrocytes
DKK3	Astrocytes
DNM3	Astrocytes
DOCK3	Astrocytes
DOK6	Astrocytes
DPP9	Astrocytes
DPY19L4	Astrocytes
DRAP1	Astrocytes
EAPP	Astrocytes
EDNRB	Astrocytes
EEF1G	Astrocytes
EHD1	Astrocytes
EID1	Astrocytes
EIF1	Astrocytes
EIF1B	Astrocytes
EIF3L	Astrocytes
EIF3M	Astrocytes
ELOC	Astrocytes
EML5	Astrocytes
EMSY	Astrocytes
ENTR1	Astrocytes
EPB41L4B	Astrocytes
ERBB4	Astrocytes
ERGIC1	Astrocytes
EVL	Astrocytes
EYA1	Astrocytes
FABP5	Astrocytes
FAHD1	Astrocytes
FAM184A	Astrocytes
FARS2	Astrocytes
FBXO9	Astrocytes
FBXW7	Astrocytes
FDPS	Astrocytes
FGFR2	Astrocytes
FJX1	Astrocytes
FMO1	Astrocytes
FOCAD	Astrocytes
FOLH1	Astrocytes
FRY	Astrocytes
FTH1	Astrocytes
FTL	Astrocytes
G3BP2	Astrocytes
GABARAP	Astrocytes
GABRA2	Astrocytes
GABRA4	Astrocytes
GADD45G	Astrocytes
GALNT18	Astrocytes
GAS6	Astrocytes
GJA1	Astrocytes
GJB6	Astrocytes
GLS	Astrocytes
GLUL	Astrocytes
FAM205A	Astrocytes
GNA11	Astrocytes
GNL3L	Astrocytes
GPI	Astrocytes
GPM6A	Astrocytes
GPR37L1	Astrocytes
GPRASP1	Astrocytes
GRIA1	Astrocytes
GRIA2	Astrocytes
GRK6	Astrocytes
GRPEL1	Astrocytes
GSG1L	Astrocytes
HLA-E	Astrocytes
HLA-E	Astrocytes
HDAC11	Astrocytes
HDX	Astrocytes
HES1	Astrocytes
HEXD	Astrocytes
HIF3A	Astrocytes
HMGCR	Astrocytes
HOMER1	Astrocytes
HRH1	Astrocytes
HSBP1	Astrocytes
HSPA12A	Astrocytes
HSPA13	Astrocytes
HSPA5	Astrocytes
HYPK	Astrocytes
IFIT3	Astrocytes
IGDCC3	Astrocytes
IGIP	Astrocytes
IGSF11	Astrocytes
IL33	Astrocytes
IPO5	Astrocytes
IRGM	Astrocytes
ITM2B	Astrocytes
ITM2C	Astrocytes
ITPA	Astrocytes
ITPR1	Astrocytes
JOSD2	Astrocytes
KANK1	Astrocytes
KANSL1L	Astrocytes
KANSL2	Astrocytes
KCND2	Astrocytes
KCNH5	Astrocytes
KCNIP3	Astrocytes
KCNJ3	Astrocytes
KCNN2	Astrocytes
KCNQ3	Astrocytes
KDELR1	Astrocytes
KDELR2	Astrocytes
