Gene	cell_type
2210016L21Rik	Astrocytes
4930522L14Rik	Astrocytes
6330403K07Rik	Astrocytes
9330159F19Rik	Astrocytes
9930021J03Rik	Astrocytes
Aamp	Astrocytes
Abhd13	Astrocytes
Abhd14a	Astrocytes
Abhd16a	Astrocytes
Abhd18	Astrocytes
Abr	Astrocytes
Adcy3	Astrocytes
Adgrl2	Astrocytes
Adprh	Astrocytes
Agtpbp1	Astrocytes
Ahcyl1	Astrocytes
Ahnak	Astrocytes
Akap7	Astrocytes
Alcam	Astrocytes
Aldh1a1	Astrocytes
Anapc13	Astrocytes
Ankrd46	Astrocytes
Ano10	Astrocytes
Ap2a2	Astrocytes
Ap3b2	Astrocytes
Ap3m1	Astrocytes
Apmap	Astrocytes
Apoe	Astrocytes
Arcn1	Astrocytes
Arhgap18	Astrocytes
Arhgef7	Astrocytes
Arl6ip1	Astrocytes
Arl8a	Astrocytes
Arpc4	Astrocytes
Asic2	Astrocytes
Astn2	Astrocytes
Atf6b	Astrocytes
Atp2a2	Astrocytes
Atp5o	Astrocytes
Atp6v1b2	Astrocytes
Atxn7l3b	Astrocytes
Bax	Astrocytes
BC031181	Astrocytes
Bcas2	Astrocytes
Bet1l	Astrocytes
Bmper	Astrocytes
Btg2	Astrocytes
C1galt1c1	Astrocytes
C4b	Astrocytes
C730034F03Rik	Astrocytes
Cacna2d2	Astrocytes
Cacng4	Astrocytes
Camk1d	Astrocytes
Car10	Astrocytes
Casd1	Astrocytes
Ccdc190	Astrocytes
Ccdc50	Astrocytes
Ccdc85a	Astrocytes
Ccnq	Astrocytes
Cct3	Astrocytes
Cd27	Astrocytes
Cd47	Astrocytes
Cd81	Astrocytes
Cd9	Astrocytes
Cdc37	Astrocytes
Cdk17	Astrocytes
Cdk5	Astrocytes
Celsr2	Astrocytes
Cenpv	Astrocytes
Cenpx	Astrocytes
Cep112	Astrocytes
Chchd6	Astrocytes
Chmp5	Astrocytes
Chn1	Astrocytes
Chst1	Astrocytes
Chst2	Astrocytes
Cldn10	Astrocytes
Clmn	Astrocytes
Clu	Astrocytes
Cmas	Astrocytes
Cmss1	Astrocytes
Cmtm4	Astrocytes
Cnih4	Astrocytes
Cnpy2	Astrocytes
Cntn1	Astrocytes
Cope	Astrocytes
Coq7	Astrocytes
Cox7b	Astrocytes
Cpeb1	Astrocytes
Crot	Astrocytes
Csmd1	Astrocytes
Csnk2b	Astrocytes
Cst3	Astrocytes
Cthrc1	Astrocytes
Ctsd	Astrocytes
Ctsl	Astrocytes
Ctsz	Astrocytes
Cttnbp2	Astrocytes
Cyb5a	Astrocytes
Cyb5b	Astrocytes
Cycs	Astrocytes
Cyhr1	Astrocytes
Cyp51	Astrocytes
Cyren	Astrocytes
Dalrd3	Astrocytes
Dcbld1	Astrocytes
Dcc	Astrocytes
Dctn1	Astrocytes
Ddah1	Astrocytes
Ddx21	Astrocytes
Ddx3y	Astrocytes
Ddx60	Astrocytes
Degs1	Astrocytes
Denr	Astrocytes
Dgki	Astrocytes
Dhrs7	Astrocytes
Dhx40	Astrocytes
Dio2	Astrocytes
