cell_type	gene	avg_logFC	p_val	p_val_adj	de_family	de_method	de_type
1	MSN_Drd2+_1	6330403K07Rik	0.295374984432858	8.61798634247117e-15	4.9565645563312e-13	singlecell	MAST	singlecell
2	MSN_Drd2+_1	A830018L16Rik	0.240980241931592	3.66983684876964e-15	2.17230233029908e-13	singlecell	MAST	singlecell
3	MSN_Drd2+_1	Acp1	-0.21344634868359	9.66890919595646e-13	4.51930945963164e-11	singlecell	MAST	singlecell
4	MSN_Drd2+_1	Acsl3	0.420998672363603	7.18666255024925e-62	4.31705481120343e-59	singlecell	MAST	singlecell
5	MSN_Drd2+_1	Actb	0.712540826134416	4.03177847608632e-64	2.97233705016564e-61	singlecell	MAST	singlecell
6	MSN_Drd2+_1	Actg1	0.502214082990743	1.35002211137402e-37	2.99945323621579e-35	singlecell	MAST	singlecell
7	MSN_Drd2+_1	Actn2	-0.254482748482365	1.92218152510818e-13	9.6819447688601e-12	singlecell	MAST	singlecell
8	MSN_Drd2+_1	Acvr1c	-0.228745067337254	9.09587438705914e-11	3.49587646169934e-09	singlecell	MAST	singlecell
9	MSN_Drd2+_1	Adam12	0.233991994125765	7.49151853496941e-09	2.39654712265619e-07	singlecell	MAST	singlecell
10	MSN_Drd2+_1	Adk	0.202675400837545	1.17883474484808e-09	4.11172488746044e-08	singlecell	MAST	singlecell
11	MSN_Drd2+_1	Aff3	-0.217382230576722	1.36751129259508e-13	6.97473762723255e-12	singlecell	MAST	singlecell
12	MSN_Drd2+_1	Ahi1	0.226199789440319	4.60348759043147e-20	3.7900489964065e-18	singlecell	MAST	singlecell
13	MSN_Drd2+_1	Aldoa	0.577571747699317	5.85905509115534e-46	1.90056029046897e-43	singlecell	MAST	singlecell
14	MSN_Drd2+_1	Ano3	-0.223336927900251	9.4729412879e-17	6.14566538993801e-15	singlecell	MAST	singlecell
15	MSN_Drd2+_1	Aplp1	0.336651580750564	1.42109681712104e-22	1.34788124426235e-20	singlecell	MAST	singlecell
16	MSN_Drd2+_1	Arhgap6	0.20925206941195	8.33527371006127e-11	3.22648697621679e-09	singlecell	MAST	singlecell
17	MSN_Drd2+_1	Arl15	-0.207354557952809	1.64729102171712e-14	9.24838579262472e-13	singlecell	MAST	singlecell
18	MSN_Drd2+_1	Arl6ip1	0.555377787748498	1.93755879792608e-82	3.14252661435631e-79	singlecell	MAST	singlecell
19	MSN_Drd2+_1	Atp1a1	0.392300199959284	1.68144661246708e-30	2.70013689184193e-28	singlecell	MAST	singlecell
20	MSN_Drd2+_1	Atp1b1	0.615592581490064	2.5979088470837e-69	2.47855785828532e-66	singlecell	MAST	singlecell
21	MSN_Drd2+_1	Atp2a2	0.441293120473335	2.51368076289427e-40	6.47133147514001e-38	singlecell	MAST	singlecell
22	MSN_Drd2+_1	Atp5b	0.37415666828109	4.7433533605784e-29	6.99385892320191e-27	singlecell	MAST	singlecell
23	MSN_Drd2+_1	Atp5g3	0.579827065064982	2.70013345906064e-81	3.98122405204587e-78	singlecell	MAST	singlecell
24	MSN_Drd2+_1	Atp5h	0.206632174273905	4.49191055383979e-12	2.0070054345104e-10	singlecell	MAST	singlecell
25	MSN_Drd2+_1	Atp5j	0.415470213393148	1.05921881529194e-54	4.90841999006284e-52	singlecell	MAST	singlecell
26	MSN_Drd2+_1	Atp6ap2	0.543657719019515	2.43800134403024e-57	1.23568574371333e-54	singlecell	MAST	singlecell
27	MSN_Drd2+_1	Atp6v0c	0.558838012867234	6.53717448617226e-68	5.58033857848568e-65	singlecell	MAST	singlecell
28	MSN_Drd2+_1	Atp6v1d	0.300009011434596	1.6843399363263e-17	1.15755548420662e-15	singlecell	MAST	singlecell
29	MSN_Drd2+_1	Atp6v1e1	0.321468319267834	4.36184330998185e-23	4.31370345393876e-21	singlecell	MAST	singlecell
30	MSN_Drd2+_1	Atxn7l3b	0.353563303870758	5.35717847346277e-25	6.11887870852765e-23	singlecell	MAST	singlecell
31	MSN_Drd2+_1	Bex2	0.245758898871272	2.75178940873455e-09	9.25960008719203e-08	singlecell	MAST	singlecell
32	MSN_Drd2+_1	C1qtnf4	0.262067068724843	5.87027158874487e-13	2.81686197922642e-11	singlecell	MAST	singlecell
33	MSN_Drd2+_1	Cacna1h	-0.217823367528845	3.07307947761748e-11	1.25231849365522e-09	singlecell	MAST	singlecell
34	MSN_Drd2+_1	Calm1	0.889998826343223	1.57583315223303e-93	3.19480473700844e-90	singlecell	MAST	singlecell
35	MSN_Drd2+_1	Capza2	0.241274519966125	7.35680899044658e-11	2.87518277147116e-09	singlecell	MAST	singlecell
36	MSN_Drd2+_1	Car12	-0.26575747483248	2.85757637336739e-13	1.42168807360876e-11	singlecell	MAST	singlecell
37	MSN_Drd2+_1	Cct2	0.284891915624107	1.27965146169682e-24	1.41188211273883e-22	singlecell	MAST	singlecell
38	MSN_Drd2+_1	Cct5	0.257378041926462	3.72962990738826e-21	3.25219717569517e-19	singlecell	MAST	singlecell
39	MSN_Drd2+_1	Cct7	0.223202561082451	2.40130355966037e-14	1.31576832547742e-12	singlecell	MAST	singlecell
40	MSN_Drd2+_1	Cct8	0.205642424591143	5.37675688768742e-11	2.12696634052201e-09	singlecell	MAST	singlecell
41	MSN_Drd2+_1	Cdipt	0.294268761418912	3.13186833778323e-44	9.40662455009373e-42	singlecell	MAST	singlecell
42	MSN_Drd2+_1	Cdk5r1	0.224365619457043	2.13683275343126e-11	8.93229134739732e-10	singlecell	MAST	singlecell
43	MSN_Drd2+_1	Celf3	-0.447828279610906	1.34948733176695e-48	4.75811631172351e-46	singlecell	MAST	singlecell
44	MSN_Drd2+_1	Chchd10	0.339271372360627	1.08974578172992e-33	2.0315617050434e-31	singlecell	MAST	singlecell
45	MSN_Drd2+_1	Chchd2	0.323600139281406	5.64969299264533e-27	7.44978623152152e-25	singlecell	MAST	singlecell
46	MSN_Drd2+_1	Chrm3	0.201981042725937	5.51608248345047e-05	0.00093387621919711	singlecell	MAST	singlecell
47	MSN_Drd2+_1	Cisd1	0.252880699961113	5.36339649668554e-34	1.01149916022957e-31	singlecell	MAST	singlecell
48	MSN_Drd2+_1	Ckb	0.350800724259144	2.56419472612226e-23	2.59929214143606e-21	singlecell	MAST	singlecell
49	MSN_Drd2+_1	Cltc	0.203381007057539	3.299386649669e-09	1.10108543355929e-07	singlecell	MAST	singlecell
50	MSN_Drd2+_1	Cmss1	0.327377178148071	2.84521510225437e-35	5.84133465107134e-33	singlecell	MAST	singlecell
51	MSN_Drd2+_1	Cntn4	-0.415547909358001	4.55614361781994e-56	2.23927555567944e-53	singlecell	MAST	singlecell
52	MSN_Drd2+_1	Cntn5	-0.351640120931895	6.19664780396193e-40	1.5227792535221e-37	singlecell	MAST	singlecell
53	MSN_Drd2+_1	Cntnap5c	0.223596306871402	1.59113573276241e-07	4.25150419269746e-06	singlecell	MAST	singlecell
54	MSN_Drd2+_1	Cox5a	0.625313135942413	3.37032135294717e-71	3.41645262646563e-68	singlecell	MAST	singlecell
55	MSN_Drd2+_1	Cox6c	0.32921554965929	2.03148876317923e-24	2.2113232382553e-22	singlecell	MAST	singlecell
56	MSN_Drd2+_1	Cox8a	0.327032110491129	2.85137738862481e-23	2.87245278671465e-21	singlecell	MAST	singlecell
57	MSN_Drd2+_1	Cpne4	0.256833630888335	4.47198115931998e-16	2.77896790892762e-14	singlecell	MAST	singlecell
58	MSN_Drd2+_1	Cpne5	0.22752200340976	2.03567224712032e-14	1.13070438959056e-12	singlecell	MAST	singlecell
59	MSN_Drd2+_1	Crocc	-0.215497502726471	1.64793359274218e-14	9.24838579262472e-13	singlecell	MAST	singlecell
60	MSN_Drd2+_1	Cspg5	0.481622285331184	4.31391688063194e-60	2.33224726289898e-57	singlecell	MAST	singlecell
61	MSN_Drd2+_1	Cyp46a1	-0.204940840684904	2.36881248349215e-09	8.07138018272251e-08	singlecell	MAST	singlecell
62	MSN_Drd2+_1	Dad1	0.217251944478219	6.36881877710541e-28	8.82870698682672e-26	singlecell	MAST	singlecell
63	MSN_Drd2+_1	Dgki	-0.281825135513531	5.10820436879904e-36	1.07597359295521e-33	singlecell	MAST	singlecell
64	MSN_Drd2+_1	Dhx36	0.222682544585693	7.64949324559321e-12	3.37138942799664e-10	singlecell	MAST	singlecell
65	MSN_Drd2+_1	Dnajb11	0.329545766537169	1.76600949961106e-64	1.43214540370959e-61	singlecell	MAST	singlecell
66	MSN_Drd2+_1	Dner	0.217680853065625	3.38578383602258e-10	1.2452160552483e-08	singlecell	MAST	singlecell
67	MSN_Drd2+_1	Dusp14	-0.207924910660508	1.61491734837651e-10	6.11886336310228e-09	singlecell	MAST	singlecell
68	MSN_Drd2+_1	Eef1a1	0.22633325549099	1.47382923151625e-08	4.53587026678598e-07	singlecell	MAST	singlecell
69	MSN_Drd2+_1	Eef1a2	0.201837811650419	1.38598441088877e-14	7.85988851755419e-13	singlecell	MAST	singlecell
70	MSN_Drd2+_1	Egfp	0.762037327139097	1.15015991269934e-51	4.54986429855382e-49	singlecell	MAST	singlecell
71	MSN_Drd2+_1	Eif1	0.66269398579199	3.00571929012648e-60	1.68102624712281e-57	singlecell	MAST	singlecell
72	MSN_Drd2+_1	Eif3c	0.299973404215513	3.67850150116222e-19	2.80101482851408e-17	singlecell	MAST	singlecell
73	MSN_Drd2+_1	Ell2	-0.217777620412342	8.55984727460579e-14	4.49295025717901e-12	singlecell	MAST	singlecell
74	MSN_Drd2+_1	Emc7	0.387382952177557	4.42815000392978e-40	1.10492561405749e-37	singlecell	MAST	singlecell
75	MSN_Drd2+_1	Enc1	0.268736838402877	8.19379595398017e-39	1.92601705184934e-36	singlecell	MAST	singlecell
76	MSN_Drd2+_1	Epb41	-0.236851316128249	4.13525555175545e-16	2.5895640847074e-14	singlecell	MAST	singlecell
77	MSN_Drd2+_1	Fam155a	0.287133498650888	3.04514428284066e-11	1.24406033056405e-09	singlecell	MAST	singlecell
78	MSN_Drd2+_1	Fau	0.399755364182283	6.5151488900715e-46	2.07194509506019e-43	singlecell	MAST	singlecell
79	MSN_Drd2+_1	Fgf10	0.231629001864742	6.19956409803541e-10	2.20023479444281e-08	singlecell	MAST	singlecell
80	MSN_Drd2+_1	Fig4	-0.209948004523518	1.34548822502503e-09	4.68293423212038e-08	singlecell	MAST	singlecell
81	MSN_Drd2+_1	Fkbp1a	0.326340076694551	7.30028862981602e-19	5.48163802254565e-17	singlecell	MAST	singlecell
82	MSN_Drd2+_1	Frmd4b	-0.202084504148027	3.84454930522836e-09	1.27776117175202e-07	singlecell	MAST	singlecell
83	MSN_Drd2+_1	Fth1	0.773614097427458	6.55264773723397e-95	1.51824848071711e-91	singlecell	MAST	singlecell
84	MSN_Drd2+_1	Gaa	0.421790054525351	1.76976110903885e-44	5.41580291084926e-42	singlecell	MAST	singlecell
85	MSN_Drd2+_1	Galntl6	-0.228040182404059	2.7151744948535e-17	1.85031156016928e-15	singlecell	MAST	singlecell
86	MSN_Drd2+_1	Gapdh	0.677487622970904	2.48809697325074e-60	1.44123017175549e-57	singlecell	MAST	singlecell
87	MSN_Drd2+_1	Garem1	-0.39259250292036	1.99764923620589e-29	3.08570218685937e-27	singlecell	MAST	singlecell
88	MSN_Drd2+_1	Gde1	0.551984788963115	5.72126818114113e-97	1.85586497259856e-93	singlecell	MAST	singlecell
89	MSN_Drd2+_1	Ghitm	0.357291024443991	2.98985965887987e-31	4.94821773544618e-29	singlecell	MAST	singlecell
90	MSN_Drd2+_1	Gkap1	0.229029602481584	2.65555581301952e-09	8.95435753250801e-08	singlecell	MAST	singlecell
91	MSN_Drd2+_1	Got1	0.451015066333237	4.05296608954704e-36	8.76467426751513e-34	singlecell	MAST	singlecell
92	MSN_Drd2+_1	Gpcpd1	-0.213722389333921	3.74928465578082e-11	1.50892426382405e-09	singlecell	MAST	singlecell
93	MSN_Drd2+_1	Gpm6b	-0.24699763191164	1.99743803989442e-18	1.44626998076105e-16	singlecell	MAST	singlecell
94	MSN_Drd2+_1	Gpr27	0.202752987522266	3.10673662430832e-16	1.96062884473372e-14	singlecell	MAST	singlecell
95	MSN_Drd2+_1	Gpr88	0.370771436886346	4.42727540864168e-26	5.56635502734569e-24	singlecell	MAST	singlecell
96	MSN_Drd2+_1	Gprasp1	0.217655617690011	2.00677962239002e-12	9.16843906916723e-11	singlecell	MAST	singlecell
97	MSN_Drd2+_1	Greb1l	0.358335063131655	3.62814778291612e-22	3.36256736520666e-20	singlecell	MAST	singlecell
98	MSN_Drd2+_1	Grm1	-0.268929031606893	4.84177948320044e-17	3.23163874230567e-15	singlecell	MAST	singlecell
99	MSN_Drd2+_1	H3f3b	0.241993989293489	3.74768394207827e-14	2.00606223949067e-12	singlecell	MAST	singlecell
100	MSN_Drd2+_1	Hmgb1	0.200645503161671	1.55129382531223e-07	4.15874951284944e-06	singlecell	MAST	singlecell
101	MSN_Drd2+_1	Hsp90aa1	0.808606920193466	2.87520588764084e-118	2.33164821458234e-114	singlecell	MAST	singlecell
102	MSN_Drd2+_1	Hsp90ab1	0.880945504856885	1.23066381822951e-76	1.66334470565537e-73	singlecell	MAST	singlecell
103	MSN_Drd2+_1	Hsp90b1	0.456115526876832	7.39041400833415e-52	3.15434538950452e-49	singlecell	MAST	singlecell
104	MSN_Drd2+_1	Hspa5	0.33741349984031	6.05711815316902e-63	3.92961597304994e-60	singlecell	MAST	singlecell
105	MSN_Drd2+_1	Hspa8	0.869084248909704	1.57416259089203e-106	6.38283576541944e-103	singlecell	MAST	singlecell
106	MSN_Drd2+_1	Hspd1	0.285940149424201	5.22889891512103e-19	3.96296782730598e-17	singlecell	MAST	singlecell
107	MSN_Drd2+_1	Htr4	0.205462523428511	1.08532475893597e-06	2.57728876503404e-05	singlecell	MAST	singlecell
