Gene	cell_type
KIAA0825	Astrocytes
C6orf136	Astrocytes
AAMP	Astrocytes
AATK	Astrocytes
ABCA3	Astrocytes
ABCC5	Astrocytes
ABCD2	Astrocytes
ABCG4	Astrocytes
ABHD16A	Astrocytes
ACOT7	Astrocytes
ACTR1B	Astrocytes
ADAM23	Astrocytes
ADAMTSL5	Astrocytes
ADCY8	Astrocytes
ADGRB1	Astrocytes
ADGRB2	Astrocytes
ADGRB3	Astrocytes
ADH5	Astrocytes
AHSA1	Astrocytes
AKAP11	Astrocytes
ALCAM	Astrocytes
ALK	Astrocytes
ANGPT1	Astrocytes
AP1S2	Astrocytes
AP3B2	Astrocytes
APBB2	Astrocytes
APLP2	Astrocytes
APOE	Astrocytes
ARHGAP32	Astrocytes
ARHGAP42	Astrocytes
ARHGEF7	Astrocytes
ARMC8	Astrocytes
ARMCX5	Astrocytes
ARPC4	Astrocytes
ARRDC3	Astrocytes
SPCS3	Astrocytes
ASIC2	Astrocytes
ASPA	Astrocytes
ASTN2	Astrocytes
ATP13A4	Astrocytes
ATP2A2	Astrocytes
ATP2B4	Astrocytes
ATP6V1G2-DDX39B	Astrocytes
ATXN7L3B	Astrocytes
B3GALT2	Astrocytes
BAG4	Astrocytes
BCAN	Astrocytes
BCR	Astrocytes
BLCAP	Astrocytes
BMPER	Astrocytes
BNIP3L	Astrocytes
BOLA3	Astrocytes
BRINP3	Astrocytes
BRSK2	Astrocytes
BUB3	Astrocytes
BZW1	Astrocytes
CACNA2D2	Astrocytes
CACNB2	Astrocytes
CADPS2	Astrocytes
CAMSAP1	Astrocytes
CAPNS1	Astrocytes
CAPZA2	Astrocytes
CA8	Astrocytes
CBR1	Astrocytes
CCDC25	Astrocytes
CCDC47	Astrocytes
CCDC85A	Astrocytes
CCSER1	Astrocytes
CCT4	Astrocytes
CDH13	Astrocytes
CDH2	Astrocytes
CDH22	Astrocytes
CDK17	Astrocytes
CDK5	Astrocytes
CDK9	Astrocytes
CEBPZOS	Astrocytes
CEP126	Astrocytes
CFLAR	Astrocytes
CHL1	Astrocytes
CIT	Astrocytes
CLCN4	Astrocytes
CLIP3	Astrocytes
CLYBL	Astrocytes
CMSS1	Astrocytes
CNPY2	Astrocytes
CNTFR	Astrocytes
CNTN1	Astrocytes
COL11A1	Astrocytes
COLEC12	Astrocytes
COMMD4	Astrocytes
COPB2	Astrocytes
COQ7	Astrocytes
COX8A	Astrocytes
CRLF3	Astrocytes
CRYM	Astrocytes
CSMD1	Astrocytes
CTHRC1	Astrocytes
CTNNB1	Astrocytes
CTSB	Astrocytes
CTTNBP2	Astrocytes
KIAA1549	Astrocytes
DAB1	Astrocytes
DACH1	Astrocytes
DAPK1	Astrocytes
DCLK1	Astrocytes
DCUN1D4	Astrocytes
DDA1	Astrocytes
DDIT3	Astrocytes
DDX10	Astrocytes
DEGS1	Astrocytes
DEK	Astrocytes
DENR	Astrocytes
DGKI	Astrocytes
DHCR24	Astrocytes
DKK3	Astrocytes
DLD	Astrocytes
DLGAP1	Astrocytes
DNAJC16	Astrocytes
DOCK3	Astrocytes
DOCK4	Astrocytes
DOK6	Astrocytes
DPYD	Astrocytes
DPYSL2	Astrocytes
DRP2	Astrocytes
DTD1	Astrocytes
DZIP1L	Astrocytes
EDF1	Astrocytes
EEF1A1	Astrocytes
EEF1D	Astrocytes
EEF1G	Astrocytes
EGLN2	Astrocytes
EHMT2	Astrocytes
EID1	Astrocytes
EIF1	Astrocytes
EIF1B	Astrocytes
EIF3M	Astrocytes
ELOC	Astrocytes
ELP1	Astrocytes
EMSY	Astrocytes
ENAH	Astrocytes
ENOX1	Astrocytes
EPHA4	Astrocytes
EPHA5	Astrocytes
EPHB1	Astrocytes
EPN1	Astrocytes
EPS8	Astrocytes
ERBB4	Astrocytes
ERGIC1	Astrocytes
ESRRG	Astrocytes
ESYT2	Astrocytes
EWSR1	Astrocytes
EXD2	Astrocytes
