Gene	cell_type
2210408I21Rik	Astrocytes
2310061I04Rik	Astrocytes
6330403K07Rik	Astrocytes
9330182L06Rik	Astrocytes
Aamp	Astrocytes
Aatk	Astrocytes
Abca3	Astrocytes
Abcc5	Astrocytes
Abcd2	Astrocytes
Abcg4	Astrocytes
Abhd16a	Astrocytes
Acot7	Astrocytes
Actr1b	Astrocytes
Adam23	Astrocytes
Adamtsl5	Astrocytes
Adcy8	Astrocytes
Adgrb1	Astrocytes
Adgrb2	Astrocytes
Adgrb3	Astrocytes
Adh5	Astrocytes
Ahsa1	Astrocytes
Akap11	Astrocytes
Alcam	Astrocytes
Alk	Astrocytes
Angpt1	Astrocytes
Ap1s2	Astrocytes
Ap3b2	Astrocytes
Apbb2	Astrocytes
Aplp2	Astrocytes
Apoe	Astrocytes
Arhgap32	Astrocytes
Arhgap42	Astrocytes
Arhgef4	Astrocytes
Arhgef7	Astrocytes
Armc8	Astrocytes
Armcx5	Astrocytes
Arpc4	Astrocytes
Arrdc3	Astrocytes
Arxes2	Astrocytes
Asic2	Astrocytes
Aspa	Astrocytes
Astn2	Astrocytes
Atp13a4	Astrocytes
Atp2a2	Astrocytes
Atp2b4	Astrocytes
Atp6v1g2	Astrocytes
Atxn7l3b	Astrocytes
AW011738	Astrocytes
B3galt2	Astrocytes
Bag4	Astrocytes
Bcan	Astrocytes
Bcr	Astrocytes
Bet1l	Astrocytes
Blcap	Astrocytes
Bmper	Astrocytes
Bnip3l	Astrocytes
Bola3	Astrocytes
Brinp3	Astrocytes
Brsk2	Astrocytes
Bub3	Astrocytes
Bzw1	Astrocytes
Cacna2d2	Astrocytes
Cacnb2	Astrocytes
Cadps2	Astrocytes
Camsap1	Astrocytes
Capns1	Astrocytes
Capza2	Astrocytes
Car8	Astrocytes
Cbr1	Astrocytes
Ccdc25	Astrocytes
Ccdc47	Astrocytes
Ccdc85a	Astrocytes
Ccser1	Astrocytes
Cct4	Astrocytes
Cdh13	Astrocytes
Cdh2	Astrocytes
Cdh22	Astrocytes
Cdk17	Astrocytes
Cdk5	Astrocytes
Cdk9	Astrocytes
Cebpzos	Astrocytes
Cep126	Astrocytes
Cflar	Astrocytes
Chl1	Astrocytes
Cit	Astrocytes
Clcn4	Astrocytes
Clip3	Astrocytes
Clybl	Astrocytes
Cmss1	Astrocytes
Cnpy2	Astrocytes
Cntfr	Astrocytes
Cntn1	Astrocytes
Col11a1	Astrocytes
Colec12	Astrocytes
Commd4	Astrocytes
Copb2	Astrocytes
Coq7	Astrocytes
Cox7b	Astrocytes
Cox8a	Astrocytes
Crlf3	Astrocytes
Crym	Astrocytes
Csmd1	Astrocytes
Csnk2b	Astrocytes
Cthrc1	Astrocytes
Ctnnb1	Astrocytes
Ctsb	Astrocytes
Cttnbp2	Astrocytes
D630045J12Rik	Astrocytes
Dab1	Astrocytes
Dach1	Astrocytes
Dapk1	Astrocytes
Dclk1	Astrocytes
Dcun1d4	Astrocytes
Dda1	Astrocytes
Ddit3	Astrocytes
Ddx10	Astrocytes
Degs1	Astrocytes
Dek	Astrocytes
Denr	Astrocytes
Dgki	Astrocytes
Dhcr24	Astrocytes
Dkk3	Astrocytes
Dld	Astrocytes
Dlgap1	Astrocytes
Dnajc16	Astrocytes
Dock3	Astrocytes
Dock4	Astrocytes
Dok6	Astrocytes
Dpyd	Astrocytes
Dpysl2	Astrocytes
Drp2	Astrocytes
Dtd1	Astrocytes
Dtnb	Astrocytes
Dzip1l	Astrocytes
Edf1	Astrocytes
Eef1a1	Astrocytes
Eef1d	Astrocytes
Eef1g	Astrocytes
Egln2	Astrocytes
Ehmt2	Astrocytes
Eid1	Astrocytes
Eif1	Astrocytes
Eif1b	Astrocytes
Eif3m	Astrocytes
Eloc	Astrocytes
Elp1	Astrocytes
Emsy	Astrocytes
Enah	Astrocytes
Enox1	Astrocytes
Epha4	Astrocytes
Epha5	Astrocytes
Ephb1	Astrocytes
Epn1	Astrocytes
Eps8	Astrocytes
Erbb4	Astrocytes
Ergic1	Astrocytes
Ero1l	Astrocytes
Esrrg	Astrocytes
Esyt2	Astrocytes
Ewsr1	Astrocytes
Exd2	Astrocytes
Fam107a	Astrocytes
Fam120c	Astrocytes
Fam131a	Astrocytes
Fbxo34	Astrocytes
Fbxo45	Astrocytes
Fdft1	Astrocytes
Fgf14	Astrocytes
Fgfr1	Astrocytes
Fis1	Astrocytes
Fmnl2	Astrocytes
Folh1	Astrocytes
Foxg1	Astrocytes
Foxp1	Astrocytes
Frem2	Astrocytes
Fry	Astrocytes
Ftl1	Astrocytes
Fut9	Astrocytes
Gab1	Astrocytes
Gabbr2	Astrocytes
Gabra4	Astrocytes
Gadd45g	Astrocytes
Galnt18	Astrocytes
Gas6	Astrocytes
Gdpd1	Astrocytes
Ghr	Astrocytes
Gls	Astrocytes
Glud1	Astrocytes
Glul	Astrocytes
Gm12353	Astrocytes
Gm16286	Astrocytes
Gm44511	Astrocytes
Gm4491	Astrocytes
Gm45844	Astrocytes
Gm47283	Astrocytes
Gm49336	Astrocytes
Gm5089	Astrocytes
Gm9925	Astrocytes
Gmfb	Astrocytes
Gpc5	Astrocytes
Gpcpd1	Astrocytes
Gpm6a	Astrocytes
Gpr137c	Astrocytes
Gpr37l1	Astrocytes
Gprasp1	Astrocytes
Gpsm1	Astrocytes
Gria1	Astrocytes
Gria2	Astrocytes
Grik2	Astrocytes
Grin2c	Astrocytes
Grina	Astrocytes
Gsdme	Astrocytes
H3f3a	Astrocytes
Hagh	Astrocytes
Hdgf	Astrocytes
Heatr5b	Astrocytes
Herc6	Astrocytes
Hgf	Astrocytes
Hibch	Astrocytes
Higd1a	Astrocytes
Hint2	Astrocytes
Hivep3	Astrocytes
Hmgcr	Astrocytes
Hmgn1	Astrocytes
Hnrnpa1	Astrocytes
Hnrnpa2b1	Astrocytes
Hnrnpk	Astrocytes
Hnrnpu	Astrocytes
Hrh1	Astrocytes
Hs3st3a1	Astrocytes
Hsbp1	Astrocytes
Htra2	Astrocytes
Hunk	Astrocytes
Hypk	Astrocytes
Idh3a	Astrocytes
Idh3b	Astrocytes
Idh3g	Astrocytes
Ift22	Astrocytes
Igsf11	Astrocytes
Ikzf2	Astrocytes
Il1rapl1	Astrocytes
Impa1	Astrocytes
Inf2	Astrocytes
Inhba	Astrocytes
Iqgap1	Astrocytes
Isca1	Astrocytes
Iscu	Astrocytes
Itgb1bp1	Astrocytes
Itpa	Astrocytes
Itpr1	Astrocytes
Jade1	Astrocytes
Jazf1	Astrocytes
Josd2	Astrocytes
Kank1	Astrocytes
Kansl1l	Astrocytes
Kcnd2	Astrocytes
