cell_type	gene	avg_logFC	p_val	p_val_adj	de_family	de_method	de_type
1	MSN_Drd2+_1	1700037C18Rik	0.226380595250906	5.16475512035115e-15	5.11811581653707e-13	singlecell	MAST	singlecell
2	MSN_Drd2+_1	3110021N24Rik	0.226801519483883	3.83200379041214e-11	2.10966646387302e-09	singlecell	MAST	singlecell
3	MSN_Drd2+_1	5530401A14Rik	0.233116662662526	2.88004358034382e-15	2.88905475964428e-13	singlecell	MAST	singlecell
4	MSN_Drd2+_1	6330403K07Rik	-0.390547411385462	2.06085689497473e-30	1.02112336635551e-27	singlecell	MAST	singlecell
5	MSN_Drd2+_1	Acsl3	-0.312157666491908	7.23509815371058e-34	4.9292120796384e-31	singlecell	MAST	singlecell
6	MSN_Drd2+_1	Actb	-0.358237717196247	2.3542564494046e-19	4.05204707412786e-17	singlecell	MAST	singlecell
7	MSN_Drd2+_1	Actg1	-0.285523183394348	2.85227136236998e-14	2.46759201302177e-12	singlecell	MAST	singlecell
8	MSN_Drd2+_1	Ahi1	-0.321627705791816	1.39509160787242e-46	3.80185714672033e-43	singlecell	MAST	singlecell
9	MSN_Drd2+_1	Aldoa	-0.253314605520045	8.54938743886579e-11	4.39594446581429e-09	singlecell	MAST	singlecell
10	MSN_Drd2+_1	Aplp1	-0.22221013625152	5.3459359582199e-13	3.93745039877719e-11	singlecell	MAST	singlecell
11	MSN_Drd2+_1	Arl6ip1	-0.324857394410168	5.36915453403252e-29	2.31029067857805e-26	singlecell	MAST	singlecell
12	MSN_Drd2+_1	Atp1a1	-0.204041840775838	2.65391892239131e-10	1.30705506927772e-08	singlecell	MAST	singlecell
13	MSN_Drd2+_1	Atp1a3	-0.279456219892985	2.3582461899623e-28	9.6399208630184e-26	singlecell	MAST	singlecell
14	MSN_Drd2+_1	Atp1b1	-0.372220502182489	1.34186352038661e-37	1.29063590716714e-34	singlecell	MAST	singlecell
15	MSN_Drd2+_1	Atp2a2	-0.330130271694982	2.59545810573826e-33	1.63224367257408e-30	singlecell	MAST	singlecell
16	MSN_Drd2+_1	Atp5b	-0.350667523327225	5.10169029628051e-29	2.25453346039142e-26	singlecell	MAST	singlecell
17	MSN_Drd2+_1	Atp5g3	-0.341327820119519	5.08006644597758e-26	1.76732269059956e-23	singlecell	MAST	singlecell
18	MSN_Drd2+_1	Atp5j	-0.234331679862498	1.00389526144784e-18	1.59365936115861e-16	singlecell	MAST	singlecell
19	MSN_Drd2+_1	Atp5o	0.223431032771383	1.55807719299325e-09	6.7219314466049e-08	singlecell	MAST	singlecell
20	MSN_Drd2+_1	Atp6v0c	-0.219814583400029	8.015563376613e-13	5.64924468840514e-11	singlecell	MAST	singlecell
21	MSN_Drd2+_1	Atp6v1e1	-0.351353252998655	1.01093538783116e-31	5.50993484214242e-29	singlecell	MAST	singlecell
22	MSN_Drd2+_1	Atxn7l3b	-0.324276675094119	1.58744363131029e-23	3.93277133569007e-21	singlecell	MAST	singlecell
23	MSN_Drd2+_1	Bag1	-0.215983986729899	1.10779702176381e-38	1.39335300791231e-35	singlecell	MAST	singlecell
24	MSN_Drd2+_1	Bex2	-0.2880129974564	1.45426579759003e-15	1.50498101622751e-13	singlecell	MAST	singlecell
25	MSN_Drd2+_1	Bex3	-0.205184227114424	6.57486070345387e-09	2.57807068014806e-07	singlecell	MAST	singlecell
26	MSN_Drd2+_1	Bmyc	-0.213569396884602	8.37555334111125e-12	5.07217306224111e-10	singlecell	MAST	singlecell
27	MSN_Drd2+_1	Calm1	-0.386574838950121	5.3596850515844e-26	1.82575438080118e-23	singlecell	MAST	singlecell
28	MSN_Drd2+_1	Calm2	-0.368236462295914	2.48200695384324e-39	4.05832957022907e-36	singlecell	MAST	singlecell
29	MSN_Drd2+_1	Camk2n1	-0.320111508568303	7.14202298193949e-39	9.73160148147438e-36	singlecell	MAST	singlecell
30	MSN_Drd2+_1	Camkv	0.235007331508354	1.08290030812809e-18	1.68633361316213e-16	singlecell	MAST	singlecell
31	MSN_Drd2+_1	Cartpt	0.247922534471171	6.34813011761715e-05	0.0011221435194936	singlecell	MAST	singlecell
32	MSN_Drd2+_1	Ccdc73	0.203483852921656	1.4137934272608e-13	1.11139116967025e-11	singlecell	MAST	singlecell
33	MSN_Drd2+_1	Ccsap	-0.200127532612339	1.58292832798935e-09	6.81117397130364e-08	singlecell	MAST	singlecell
34	MSN_Drd2+_1	Cdh18	0.21666469009287	5.29542378295583e-12	3.30478909446988e-10	singlecell	MAST	singlecell
35	MSN_Drd2+_1	Cdipt	-0.241043436330529	3.62442303267866e-29	1.69322688592368e-26	singlecell	MAST	singlecell
36	MSN_Drd2+_1	Ckb	-0.218665855179575	2.00935168550994e-20	3.84123603385184e-18	singlecell	MAST	singlecell
37	MSN_Drd2+_1	Clk4	0.206225935742068	3.43783466108839e-11	1.89905522106271e-09	singlecell	MAST	singlecell
38	MSN_Drd2+_1	Cmss1	-0.231017921649846	3.21582902653119e-20	5.97522959236494e-18	singlecell	MAST	singlecell
39	MSN_Drd2+_1	Cox5a	-0.260736035267696	1.01250850801261e-11	6.08659066710080e-10	singlecell	MAST	singlecell
40	MSN_Drd2+_1	Ctnna3	0.482413471501298	2.37180273324624e-120	3.87813464913092e-116	singlecell	MAST	singlecell
41	MSN_Drd2+_1	Eef1a1	-0.300982773909686	5.64116907686916e-20	1.02487506195431e-17	singlecell	MAST	singlecell
42	MSN_Drd2+_1	Egfem1	0.24888653151382	0.000377386271828021	0.00497632494408062	singlecell	MAST	singlecell
43	MSN_Drd2+_1	Eif1	-0.290559984251777	6.10320859380731e-15	5.97566249804451e-13	singlecell	MAST	singlecell
