Gene	cell_type
C6orf226	Astrocytes
C16orf87	Astrocytes
KIAA1109	Astrocytes
C5orf15	Astrocytes
ABCA2	Astrocytes
ABCF1	Astrocytes
ABHD16A	Astrocytes
ACTR10	Astrocytes
ACTR1B	Astrocytes
ACTR6	Astrocytes
ADAM22	Astrocytes
ADAMTS18	Astrocytes
ADAMTS20	Astrocytes
ADAR	Astrocytes
ADGRB2	Astrocytes
AHI1	Astrocytes
AIMP1	Astrocytes
ALG2	Astrocytes
ANKRD6	Astrocytes
AP2B1	Astrocytes
AP3M1	Astrocytes
APBB3	Astrocytes
APPL1	Astrocytes
ARL17A	Astrocytes
ARL17B	Astrocytes
ARL6IP5	Astrocytes
ARPC4	Astrocytes
SPCS3	Astrocytes
ASPA	Astrocytes
ATG16L2	Astrocytes
ATP13A4	Astrocytes
ATP1B3	Astrocytes
ATP5F1A	Astrocytes
ATP5F1C	Astrocytes
DONSON	Astrocytes
ATP5PO	Astrocytes
ATXN7L3B	Astrocytes
C5orf24	Astrocytes
C9orf78	Astrocytes
BCCIP	Astrocytes
BOLA3	Astrocytes
BRSK2	Astrocytes
BTBD8	Astrocytes
BUB3	Astrocytes
BZW1	Astrocytes
C1D	Astrocytes
CABLES1	Astrocytes
CACNB1	Astrocytes
CACNB2	Astrocytes
CACNG4	Astrocytes
CAMK2N1	Astrocytes
CAMSAP1	Astrocytes
CAMTA1	Astrocytes
CA10	Astrocytes
CCDC149	Astrocytes
CCDC25	Astrocytes
CCDC30	Astrocytes
CCDC47	Astrocytes
CCDC73	Astrocytes
CCND3	Astrocytes
CCT4	Astrocytes
CD47	Astrocytes
CDC42	Astrocytes
CDH22	Astrocytes
CDK5	Astrocytes
CDK9	Astrocytes
CELSR2	Astrocytes
CEP126	Astrocytes
CFAP74	Astrocytes
CHL1	Astrocytes
CHMP1A	Astrocytes
CHMP3	Astrocytes
RNF103-CHMP3	Astrocytes
CIAO1	Astrocytes
CLCN4	Astrocytes
CLDND1	Astrocytes
CLIP3	Astrocytes
CLMN	Astrocytes
CLTC	Astrocytes
