Gene	cell_type
0610009B22Rik	Astrocytes
1500009C09Rik	Astrocytes
2310039H08Rik	Astrocytes
4921524J17Rik	Astrocytes
4930595D18Rik	Astrocytes
4932438A13Rik	Astrocytes
9530068E07Rik	Astrocytes
Abca2	Astrocytes
Abcf1	Astrocytes
Abhd16a	Astrocytes
Actr10	Astrocytes
Actr1b	Astrocytes
Actr6	Astrocytes
Adam22	Astrocytes
Adamts18	Astrocytes
Adamts20	Astrocytes
Adar	Astrocytes
Adgrb2	Astrocytes
Ahi1	Astrocytes
Aimp1	Astrocytes
Alg2	Astrocytes
Ankrd6	Astrocytes
Ap2b1	Astrocytes
Ap3m1	Astrocytes
Apbb3	Astrocytes
Appl1	Astrocytes
Arf2	Astrocytes
Arl6ip5	Astrocytes
Arpc4	Astrocytes
Arxes2	Astrocytes
Aspa	Astrocytes
Atg16l2	Astrocytes
Atp13a4	Astrocytes
Atp1b3	Astrocytes
Atp5a1	Astrocytes
Atp5c1	Astrocytes
Atp5o	Astrocytes
Atxn7l3b	Astrocytes
B230219D22Rik	Astrocytes
BC005624	Astrocytes
Bccip	Astrocytes
Bet1l	Astrocytes
Bola3	Astrocytes
Brsk2	Astrocytes
Btbd8	Astrocytes
Bub3	Astrocytes
Bzw1	Astrocytes
C1d	Astrocytes
Cables1	Astrocytes
Cacnb1	Astrocytes
Cacnb2	Astrocytes
Cacng4	Astrocytes
Camk2n1	Astrocytes
Camsap1	Astrocytes
Camta1	Astrocytes
Car10	Astrocytes
Ccdc149	Astrocytes
Ccdc25	Astrocytes
Ccdc30	Astrocytes
Ccdc47	Astrocytes
Ccdc73	Astrocytes
Ccnd3	Astrocytes
Cct4	Astrocytes
Cd47	Astrocytes
Cdc42	Astrocytes
Cdh22	Astrocytes
Cdk5	Astrocytes
Cdk9	Astrocytes
Celsr2	Astrocytes
Cep126	Astrocytes
Cfap74	Astrocytes
Chl1	Astrocytes
Chmp1a	Astrocytes
Chmp3	Astrocytes
Ciao1	Astrocytes
Clcn4	Astrocytes
Cldnd1	Astrocytes
Clip3	Astrocytes
Clmn	Astrocytes
Cltc	Astrocytes
Cnih1	Astrocytes
Cntn1	Astrocytes
Col11a1	Astrocytes
Commd4	Astrocytes
Copg1	Astrocytes
Crebzf	Astrocytes
Creld1	Astrocytes
Crot	Astrocytes
Cry2	Astrocytes
Csmd1	Astrocytes
Csmd2	Astrocytes
Ctsd	Astrocytes
Cuta	Astrocytes
Cyc1	Astrocytes
Cyhr1	Astrocytes
Cyp51	Astrocytes
Cyren	Astrocytes
Dbnl	Astrocytes
Dcaf4	Astrocytes
Ddit3	Astrocytes
Ddr1	Astrocytes
Ddrgk1	Astrocytes
Ddx18	Astrocytes
Degs1	Astrocytes
Dgki	Astrocytes
Dhrs7b	Astrocytes
Dhx9	Astrocytes
Dlgap4	Astrocytes
Dmxl2	Astrocytes
Dnaja2	Astrocytes
Dnajb6	Astrocytes
Dnajc10	Astrocytes
Dnajc5	Astrocytes
Dnajc8	Astrocytes
Dock3	Astrocytes
Dok6	Astrocytes
Dolk	Astrocytes
Dpm2	Astrocytes
Dpyd	Astrocytes
Dpysl2	Astrocytes
Dtnb	Astrocytes
Dync1i2	Astrocytes
Dync1li2	Astrocytes
Dync2li1	Astrocytes
Dzip1l	Astrocytes
Eapp	Astrocytes
Ebna1bp2	Astrocytes
Eef1g	Astrocytes
Eif1ax	Astrocytes
Eif2b5	Astrocytes
Eif3a	Astrocytes
Eif3e	Astrocytes
Eif4a3	Astrocytes
Eif4b	Astrocytes
