SalVsCoc_CPP	SalVsCoc_NPAS4	SalVsSal	CocVsCoc
1500011B03Rik	-0.222173469900514	-0.125562461799696	0.0997071720438206	0.00309616394300238
1700037C18Rik	0.131465251705208	0.226380595250906	-0.0522621007590884	-0.147177444304786
3110021N24Rik	0.0795967508365945	0.226801519483883	0.0673597657882945	-0.0798450028589941
5530401A14Rik	0.120267612712785	0.233116662662526	-0.0785962614851513	-0.191445311434892
6330403K07Rik	-0.148109738913925	-0.390547411385462	-0.295374984432858	-0.0529373119613201
A830018L16Rik	0.217021041159145	0.0252498586943508	-0.240980241931592	-0.049209059466798
Acp1	-0.073535657975331	-0.0439144912469398	0.21344634868359	0.183825181955198
Acsl3	0.0401644420894698	-0.312157666491908	-0.420998672363603	-0.0686765637822253
Actb	-0.185711377110461	-0.358237717196247	-0.712540826134416	-0.540014486048629
Actg1	-0.174165908510862	-0.285523183394348	-0.502214082990743	-0.390856808107258
Actn2	-0.0910223426031929	0.0309703277048119	0.254482748482365	0.13249007817436
Acvr1c	-0.222799881937257	-0.00227897235672325	0.228745067337254	0.00822415775672036
Adam12	0.250108412016343	0.0622128457272162	-0.233991994125765	-0.0460964278366387
Adk	0.154318948303259	-0.0570189994487689	-0.202675400837545	0.0086625469144832
Aff3	-0.0910085870460069	0.117078774057444	0.217382230576722	0.00929486947327129
Ahi1	0.0164681108717022	-0.321627705791816	-0.226199789440319	0.111896027223199
Aldoa	-0.191493750568225	-0.253314605520045	-0.577571747699317	-0.515750892747497
Ano3	-0.200456582651129	-0.0898777485976816	0.223336927900251	0.112758093846804
Aplp1	-0.0765069712231634	-0.22221013625152	-0.336651580750564	-0.190948415722207
Arglu1	0.0445683103204928	-0.091901968812703	0.0767869629224123	0.213257242055608
Arhgap6	0.25661210242353	-0.0584751664254317	-0.20925206941195	0.105835199437011
Arl15	-0.108988425317603	0.00992251971079749	0.207354557952809	0.0884436129244088
Arl6ip1	-0.0255378869189703	-0.324857394410168	-0.555377787748498	-0.2560582802573
Atg16l2	0.0858976075905413	0.17430065070028	-0.143670296219444	-0.232073339329183
Atp1a1	0.134985311586933	-0.204041840775838	-0.392300199959284	-0.0532730475965136
Atp1a3	-0.129853181256397	-0.279456219892985	-0.172947617597384	-0.0233445789607964
Atp1b1	-0.0866915497543307	-0.372220502182489	-0.615592581490064	-0.330063629061905
Atp2a2	0.0291544318688526	-0.330130271694982	-0.441293120473335	-0.0820084169095006
Atp5b	-0.115304093429634	-0.350667523327225	-0.37415666828109	-0.138793238383499
Atp5d	-0.17262595106324	-0.00512876718595012	-0.0539767834107658	-0.221473967288055
Atp5g3	0.00815646565911879	-0.341327820119519	-0.579827065064982	-0.230342779286344
Atp5h	-0.127276109934763	-0.155928675314663	-0.206632174273905	-0.177979608894004
Atp5j	-0.0102259198621543	-0.234331679862498	-0.415470213393148	-0.191364453392804
Atp5o	0.138441253569312	0.223431032771383	-0.0560011055549705	-0.140990884757042
Atp6ap2	0.00945000293352666	-0.18523487521558	-0.543657719019515	-0.348972840870408
Atp6v0c	-0.10520359507753	-0.219814583400029	-0.558838012867234	-0.444227024544735
Atp6v1d	-0.0536053804463518	-0.152532364712424	-0.300009011434596	-0.201082027168524
Atp6v1e1	0.094177614381597	-0.351353252998655	-0.321468319267834	0.124062548112418
Atxn7l3b	-0.120239384896828	-0.324276675094119	-0.353563303870758	-0.149526013673467
Bag1	0.0818722222098046	-0.215983986729899	-0.167089412611931	0.130766796327772
Bex2	-0.317912772041306	-0.2880129974564	-0.245758898871272	-0.275658673456179
Bex3	-0.104154603623328	-0.205184227114424	-0.192675921693877	-0.0916462982027807
Bmyc	-0.126843992913496	-0.213569396884602	-0.081443477859669	0.0052819261114373
Brinp3	0.145383281485477	-0.178817062740809	-0.111057178939473	0.213143165286813
C1qtnf4	0.0988234592691153	-0.192873864652537	-0.262067068724843	0.0296302551968091
C2cd2l	-0.239418561895961	-0.0325745939729589	0.174390255047985	-0.0324537128750174
Cacna1h	-0.10945888177113	-0.0314457458459597	0.217823367528845	0.139810231603675
Calm1	-0.115284440910772	-0.386574838950121	-0.889998826343223	-0.618708428303874
Calm2	-0.21694086957348	-0.368236462295914	-0.180423371604639	-0.0291277788822053
Camk2a	0.218953977157145	-0.0602912680362531	-0.165921696221178	0.11332354897222
Camk2n1	-0.0756097369720484	-0.320111508568303	-0.115813189177103	0.128688582419152
Camkv	0.146806001053625	0.235007331508354	-0.0859383816633432	-0.174139712118072
Capza2	-0.101857559818082	-0.118648179208786	-0.241274519966125	-0.224483900575421
Car12	-0.208176651063072	0.0151712500629826	0.26575747483248	0.0424095737064252
Cartpt	0.156671723005126	0.247922534471171	-0.128439279065286	-0.219690090531331
Ccdc73	0.0988309608202623	0.203483852921656	-0.0296147855515341	-0.134267677652928
Ccsap	0.00382892786091993	-0.200127532612339	-0.105897706600724	0.098058753872535
Cct2	0.072957034291826	-0.131441470980149	-0.284891915624107	-0.0804934103521314
Cct5	0.109661698135259	-0.194314379205162	-0.257378041926462	0.0465980354139591
Cct7	0.107650304677193	-0.0838705310003284	-0.223202561082451	-0.0316817254049292
Cct8	0.0222573257114631	-0.0878178437901961	-0.205642424591143	-0.0955672550894838
Cdh18	0.0997321993706026	0.21666469009287	0.0709673973512022	-0.0459650933710654
Cdipt	-0.00773167608742396	-0.241043436330529	-0.294268761418912	-0.0609570011758073
Cdk5r1	0.0484672444810944	-0.141943636760987	-0.224365619457043	-0.0339547382149623
Celf3	-0.234923547056995	-0.0552732899967907	0.447828279610906	0.268178022550701
Chchd10	-0.0726010125482286	-0.102826098445435	-0.339271372360627	-0.309046286463421
Chchd2	-0.107629262730931	-0.158863406358424	-0.323600139281406	-0.272365995653914
Chga	-0.0152512398206394	0.0177320910160499	-0.182996219907642	-0.215979550744331
Chrm3	0.0928996101868238	-0.100179179513312	-0.201981042725937	-0.00890225302580117
Chsy3	0.237580451417883	-0.0724386850617758	-0.0895594007004141	0.220459735779245
Cisd1	0.0194089883749497	-0.10179983229251	-0.252880699961113	-0.131671879293653
Ckb	-0.149825211178917	-0.218665855179575	-0.350800724259144	-0.281960080258485
Clk4	0.204346537486873	0.206225935742068	-0.0799789869987917	-0.0818583852539874
Cltc	-0.0582487257806676	-0.108499234297114	-0.203381007057539	-0.153130498541092
Cmss1	-0.0145444011635725	-0.231017921649846	-0.327377178148071	-0.110903657661798
Cntn4	-0.0817022840851216	0.0955645659375688	0.415547909358001	0.238281059335311
Cntn5	-0.0824635242211489	0.153158178319955	0.351640120931895	0.116018418390792
Cntnap5c	0.111626843823468	-0.0937339154072335	-0.223596306871402	-0.0182355476407005
Cox5a	-0.0144182787054344	-0.260736035267696	-0.625313135942413	-0.378995379380151
Cox6c	-0.103071462896839	-0.17064342578729	-0.32921554965929	-0.261643586768839
Cox7c	-0.0947086756751505	-0.163463639224064	0.145880754131972	0.214635717680886
Cox8a	0.0433525993087761	-0.151839061610598	-0.327032110491129	-0.131840449571755
Cpne4	0.0817822000342765	-0.0923408946209631	-0.256833630888335	-0.0827105362330955
Cpne5	0.0201628680473753	-0.0775336790488987	-0.22752200340976	-0.129825456313486
Crocc	-0.134070873658932	0.0116436057351235	0.215497502726471	0.0697830233324155
Csgalnact1	0.204550006115783	0.130856262958631	-0.0644394903309942	0.00925425282615722
Cspg5	0.229325731342238	-0.167256275885709	-0.481622285331184	-0.0850402781032369
Ctnna3	0.333995922467193	0.482413471501298	-0.105594076014249	-0.254011625048354
Cyp46a1	-0.179944275719516	-0.0746477106946731	0.204940840684904	0.0996442756600613
Dad1	-0.0189524709150346	-0.170870703736111	-0.217251944478219	-0.0653337116571423
Dgki	-0.084739421836499	0.0907535350517201	0.281825135513531	0.106332178625312
Dhx36	-0.0669944854146782	-0.147361977568758	-0.222682544585693	-0.142315052431614
Dnajb11	0.168786043296237	-0.0992116693996395	-0.329545766537169	-0.0615480538412923
Dnajb6	-0.00331132840494519	0.0193950484292011	-0.180911432744071	-0.203617809578218
Dner	0.0362847993676055	0.0148770208256922	-0.217680853065625	-0.196273074523712
Dpm1	-0.0160539076011179	-0.125923260715177	0.10907339092948	0.218942744043539
Dusp14	-0.130059409007109	0.082338032566045	0.207924910660508	-0.00447253091264538
Dynll1	-0.384037761336625	-0.186076853871783	0.147159331042562	-0.0508015764222799
Dynll2	-0.200420299608852	-0.19748215490292	-0.0628161079989186	-0.0657542527048506
Eef1a1	-0.260284214188169	-0.300982773909686	-0.22633325549099	-0.185634695769473
Eef1a2	0.141312864476471	-0.196160960691148	-0.201837811650419	0.135636013517199
Egfem1	0.152780324014154	0.24888653151382	-0.0451631697324142	-0.14126937723208
Egfp	-0.240940697445387	0.187921957573937	-0.762037327139097	-1.19089998215842
Eif1	-0.260724146327842	-0.290559984251777	-0.66269398579199	-0.632858147868055
Eif1b	-0.0653110378362672	-0.212790758296659	-0.139706973166351	0.00777274729404048
Eif2s3y	-0.210760032205499	-0.075670870745969	0.0334740266135736	-0.101615134845956
Eif3c	-0.0336225557327933	-0.222727488820892	-0.299973404215513	-0.110868471127415
Eif3k	-0.0378704882070905	-0.270679029451813	-0.0230301491630545	0.209778392081668
Elk3	0.251498110648832	0.285220567233104	-0.0830368944092205	-0.116759350993492
Ell2	-0.050796667425724	0.0861798358638298	0.217777620412342	0.0808011171227884
Emc6	-0.209744732041597	0.0260047154381042	0.099595158063516	-0.136154289416185
Emc7	0.169130357519533	-0.0924998055893113	-0.387382952177557	-0.125752789068712
Enc1	0.0375922695942446	-0.178004586897653	-0.268736838402877	-0.0531399819109801
Epb41	0.00193155679773982	0.141662036420269	0.236851316128249	0.0971208365057201
Epyc	0.141800568974499	0.207506583154447	0.0211475653197579	-0.0445584488601896
Etl4	-0.00742923796464412	-0.042969997495391	0.184937384696144	0.220478144226891
Fam155a	0.0403865318753027	-0.0238946342510933	-0.287133498650888	-0.222852332524492
Fau	-0.0231720978993815	-0.151998902714032	-0.399755364182283	-0.270928559367632
Fgf10	0.161672749133165	0.0453498830658933	-0.231629001864742	-0.11530613579747
Fgfr2	0.118125208991721	0.231402505552462	0.00294144187699708	-0.110335854683743
Fig4	-0.0781156106054797	0.142016499420278	0.209948004523518	-0.01018410550224
Filip1l	0.140149774363098	0.25394298211803	-0.107425531904304	-0.221218739659236
Fkbp1a	0.045637660083975	-0.151506831806341	-0.326340076694551	-0.129195584804235
Frmd4b	-0.0504768561506952	-0.0101003364267582	0.202084504148027	0.16170798442409
Fth1	-0.036899911471721	-0.333183596154046	-0.773614097427458	-0.477330412745133
Gaa	0.288007949360333	-0.158558692156336	-0.421790054525351	0.024776586991318
Gad2	-0.0830358461223404	-0.0414194973004252	-0.181110539027038	-0.222726887848953
Galntl6	-0.0515428783003107	0.102220287487987	0.228040182404059	0.0742770166157611
Gapdh	-0.248850558531162	-0.393707489490518	-0.677487622970904	-0.532630692011547
Garem1	-0.134129121824006	0.0524017987898466	0.39259250292036	0.206061582306508
Gde1	0.110501742275155	-0.15500435192334	-0.551984788963115	-0.286478694764621
Ggact	0.213908832672549	0.238447045533484	-0.0918515250985292	-0.116389737959464
Ghitm	0.0177212179148165	-0.190537135834223	-0.357291024443991	-0.149032670694951
Gkap1	0.120707344025141	-0.0505016658293735	-0.229029602481584	-0.0578205926270688
Glp2r	0.308557392498799	0.336183396013551	-0.13292851376972	-0.160554517284472
Gm12353	0.122534426904045	0.222617372726314	-0.0891595112149887	-0.189242457037259
Gm47283	0.071978794588202	-0.374359444083125	0.140252961332314	0.586591200003641
Gnas	0.0833034853860115	0.253233937204436	-0.0691179464119527	-0.239048398230377
Got1	0.037049513757742	-0.20307561081921	-0.451015066333237	-0.210889941756285
Gpcpd1	-0.248411378858366	-0.109943621772809	0.213722389333921	0.0752546322483643
Gpm6b	-0.12399055762157	0.0170887862922258	0.24699763191164	0.105918287997844
Gpr27	0.00149308762653771	-0.14808584681615	-0.202752987522266	-0.0531740530795791
Gpr88	-0.131116116398444	-0.199020398480351	-0.370771436886346	-0.302867154804439
Gprasp1	0.0841316178620988	-0.0323361107434454	-0.217655617690011	-0.101187889084466
Gramd1b	0.207366130141776	-0.0118532155916224	-0.13225085014124	0.0869684955921581
Greb1l	0.153060279925047	-0.1012208967506	-0.358335063131655	-0.104053886456008
Grm1	-0.0284643706606214	0.0325377016686774	0.268929031606893	0.207926959277594
Gucy1a1	-0.00285537320948048	0.0121442008013406	-0.196415647862376	-0.211415221873197
H3f3b	-0.143258331665254	-0.226376730356533	-0.241993989293489	-0.15887559060221
Hacd4	0.0816328163026234	0.23522971929214	-0.017179470219559	-0.170776373209075
Hmgb1	-0.0258364054862602	-0.167713631249585	-0.200645503161671	-0.0587682773983466
Hnrnpa0	-0.0907245253389531	-0.219833268314488	-0.189506625326503	-0.0603978823509674
Hsp90aa1	-0.0608189944047114	-0.538839999530441	-0.808606920193466	-0.330585915067737
Hsp90ab1	-0.285414287047374	-0.439787116869329	-0.880945504856885	-0.72657267503493
Hsp90b1	-0.0278238209869667	-0.396655948084195	-0.456115526876832	-0.0872833997796036
Hspa5	-0.00110517347903974	-0.236572825641199	-0.33741349984031	-0.101945847678151
Hspa8	-0.0884307859044555	-0.448292470056986	-0.869084248909704	-0.509222564757174
Hspd1	-0.0476296675857226	-0.139450845152803	-0.285940149424201	-0.194118971857121
Htr4	0.164274916596566	-0.0935224895317421	-0.205462523428511	0.0523348826997967
Igsf8	-0.0502416072202044	-0.0406383834170357	-0.227505741399525	-0.237108965202693
Inhba	0.0986527246302213	0.227116579417772	-0.0228007041511431	-0.151264558938694
Inpp4b	0.097260318890223	-0.0402918128894409	-0.208791913341626	-0.0712397815619618
Itgbl1	0.295628171774117	0.330085488526285	-0.153208944779454	-0.187666261531622
Itm2b	-0.075466079704042	-0.241456584407709	-0.71984835839378	-0.553857853690113
Itm2c	-0.0687727249789921	-0.302054410015439	-0.445063476028729	-0.211781790992281
Itpr1	-0.130106850422251	0.0662122777174514	0.227715554450553	0.0313964263108506
Junb	-0.2215673100679	-0.0344457015779076	0.17561842771225	-0.0115031807777429
Jund	-0.223700167625371	-0.135565731799569	-0.155668437454987	-0.243802873280789
Kansl1l	0.206860530190888	0.285521738566391	-0.025633286154098	-0.1042944945296
Kbtbd11	0.0660366093515028	-0.0598917595911083	-0.299406792083131	-0.17347842314052
Kcna1	0.0417910939312147	0.218648041954674	-0.100943304092278	-0.277800252115737
Kcnh7	-0.0477165505795378	0.108250234956275	0.209489446411701	0.0535226608758888
Kcnk1	0.00227501686445131	-0.0544162064972263	-0.261157895532568	-0.20446667217089
Kdm5d	-0.205170533514333	-0.0238500911160096	0.0676894436089409	-0.113630998789383
Kif1a	-0.0199346455120553	-0.110726539276895	-0.341057929165706	-0.250266035400866
Kif5c	0.0540060463504013	-0.102777162532967	-0.337002006045243	-0.180218797161875
Kifap3	-0.017998646346622	-0.0114332062765605	-0.32385362871531	-0.330419068785372
Lamp1	0.0311738237879985	-0.112360603510023	-0.319053028018928	-0.175518600720906
Ldhb	-0.1495514993367	-0.202145485866138	-0.00270872538346589	0.0498852611459725
Ldlrad4	-0.0827103290237616	-0.0592360549837987	0.20692970043513	0.183455426395167
Lin7b	-0.123473731811146	-0.222093238576594	-0.0322257640665487	0.0663937426988988
Lingo2	0.0672636971773816	-0.809839289449891	-1.36861990920794	-0.491516922580671
Lrrc4	0.0834474508203462	0.282433157737039	-0.0218205503489739	-0.220806257265666
Lrrtm4	0.217857307776559	0.0177233054955757	-0.13638138815227	0.0637526141287132
Lrtm1	0.401392910525753	0.660180864340782	-0.228722893358299	-0.487510847173328
Lsamp	0.154589812173727	-0.0302885839122196	-0.215158589204747	-0.0302801931188004
Ly6h	-0.123613615109134	-0.275261663886971	-0.21805644095846	-0.0664083921806229
Lysmd4	0.304669988141981	0.379240645771885	-0.148533169544707	-0.223103827174611
Lzts3	-0.147021898816549	-0.206647322385345	0.141676323054706	0.201301746623502
Maged1	-0.215222493603935	-0.180062437425408	-0.0732000110610963	-0.108360067239623
Magee1	-0.00934565775706689	-0.11163646859899	-0.218819535921657	-0.116528725079734
Map6	0.210148288965539	0.0555533169918783	-0.104610235918786	0.0499847360548749
Mapk4	0.0112717673875411	0.0619816023509641	0.201039761849813	0.15032992688639
Marcks	-0.0656289074427167	-0.153332586891835	-0.242156933827083	-0.154453254377965
Mctp1	0.190968757669408	0.0662854713388352	-0.231412769046938	-0.106729482716365
Mdh1	-0.184109500441609	-0.201839323033371	-0.276634654639335	-0.258904832047573
Mif	0.00552837552656825	-0.151220719964947	-0.256499594198081	-0.0997504987065658
Morf4l1	-0.141364753795598	-0.167905828941613	-0.204868127379853	-0.178327052233837
Mrfap1	-0.154505624719713	-0.106701860857933	-0.168728048340535	-0.216531812202315
Mt1	0.0250448876836574	-0.155445045932728	-0.223048308125048	-0.0425583745086627
Muc15	0.130864132793683	0.219219342752452	-0.0421004227039816	-0.13045563266275
Ncdn	-0.0703744539332114	-0.208210410075023	-0.294541712532659	-0.156705756390847
Ndrg4	-0.120488027277107	-0.225375932808429	-0.0362385734083772	0.0686493321229449
Ndufa4	-0.0393188181365278	-0.152140857850737	-0.293440627136238	-0.180618587422029
Ndufa5	-0.157330412300412	-0.213673110862015	-0.156857296235431	-0.100514597673827
Ndufa6	-0.0134047920618626	-0.317237537813143	-0.00910747390070754	0.294725271850573
Ndufab1	0.159559488521372	-0.131736548947974	-0.246067097380308	0.0452289400890382
Ndufb10	-0.332418073948535	-0.131060049144813	0.0607997755971507	-0.140558249206571
Ndufc2	-0.00867225301918013	-0.20401849434658	-0.3843416727645	-0.1889954314371
Ndufs5	-0.0341442597305264	-0.1619507806536	-0.225184180227103	-0.0973776593040302
Nedd4	-0.0152187022228629	-0.0949856538748395	-0.239843033918085	-0.160076082266109
Nfe2l1	-0.248186941946198	-0.265557888108207	-0.0908069003391039	-0.0734359541770954
Nme1	-0.00538109966052961	-0.105750969242376	-0.24074292180465	-0.140373052222804
Nme7	0.161535790907432	-0.0192365865442228	-0.271711409306853	-0.0909390318551986
Nnat	0.0921600368335334	0.00810742132687281	-0.300053871170996	-0.216001255664335
Npas3	0.0404536331330867	0.109777979142939	-0.151260448302827	-0.220584794312679
Npm1	-0.0632965135822187	-0.086040130338956	-0.336073627853959	-0.313330011097222
Nrg1	-0.0675889307986592	0.060367417365665	0.273464227718645	0.14550787955432
Nsg1	-0.117660160618675	-0.351005781301651	-0.550588853673113	-0.317243232990137
Ntm	-0.264051341524465	0.188309315740261	0.469335855840853	0.0169751985761266
Ntng1	-0.0941535720034605	-0.00762396143636079	0.239217079434881	0.152687468867781
Oaz1	-0.174224954841783	-0.270128931118378	-0.0233342314944323	0.0725697447821624
Ogt	-0.0486454914025485	0.0709620106925197	0.245055781701111	0.125448279606043
Olfm3	0.29399653780109	0.00738121968606542	-0.147637128332363	0.138978189782662
Oprm1	0.0120115807537555	0.102874501821257	-0.156801313919916	-0.247664234987418
Pafah1b1	-0.0396985271650352	-0.132285628892492	-0.303466407588177	-0.210879305860721
Pbx3	-0.039755541982311	0.0479052626841332	0.292650234941135	0.204989430274691
Pcbp2	0.207075237969765	0.248194735291078	-0.0485940003410472	-0.0897134976623606
Pcdh15	0.180157095229469	-0.251710540752778	-0.419982000104489	0.0118856358777583
Pcdh17	-0.11842478977378	0.147295933840725	0.238199085863849	-0.027521637750656
