p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
0	1.99202424680183	0.829	0.154	0	Cluster_0	Penk
0	1.6604674769838	0.801	0.124	0	Cluster_0	Drd2
0	1.48293084149524	0.994	0.67	0	Cluster_0	Sgcz
0	1.16097618564753	0.916	0.477	0	Cluster_0	Htr2c
0	1.13850980099451	0.955	0.579	0	Cluster_0	Marchf1
0	1.08419070220069	0.51	0.082	0	Cluster_0	Adora2a
0	1.07536756014906	1	0.763	0	Cluster_0	Cntnap2
0	1.0184924842823	0.679	0.252	0	Cluster_0	Gm2164
0	1.01190711019285	0.981	0.625	0	Cluster_0	Ryr3
0	0.98189148188262	0.941	0.6	0	Cluster_0	Elmod1
0	0.978484536853315	0.999	0.722	0	Cluster_0	Kcnip4
0	0.953346303280018	0.968	0.644	0	Cluster_0	Foxp1
0	0.950884768032512	0.994	0.745	0	Cluster_0	Nrg1
0	0.922848475500967	0.983	0.676	0	Cluster_0	Pde7b
0	0.893250221558259	0.906	0.553	0	Cluster_0	Camk4
0	0.889627767296734	0.517	0.18	0	Cluster_0	Calb1
0	0.858739329166725	0.987	0.709	0	Cluster_0	Cacnb2
0	0.856533356127186	0.968	0.637	0	Cluster_0	Spock3
0	0.84951094097068	0.824	0.439	0	Cluster_0	Pde1c
0	0.823351188971809	0.886	0.535	0	Cluster_0	Cntn3
0	0.815459800401853	0.997	0.631	0	Cluster_0	Cacna2d3
0	0.811906460923288	0.974	0.548	0	Cluster_0	Rarb
0	0.804791159156743	0.891	0.479	0	Cluster_0	Adcy5
0	0.792124562833981	0.999	0.737	0	Cluster_0	Kcnq5
0	0.776967026364973	0.999	0.716	0	Cluster_0	Phactr1
0	0.76910506124557	0.535	0.206	0	Cluster_0	Gucy1a1
0	0.767680798949021	0.995	0.835	0	Cluster_0	Ppp3ca
0	0.764234036269678	0.978	0.642	0	Cluster_0	Caln1
0	0.759149787753954	0.948	0.577	0	Cluster_0	Cntnap5a
0	0.757458603365279	1	0.787	0	Cluster_0	Grm5
0	0.742826895851587	0.952	0.601	0	Cluster_0	Gnal
0	0.720011661810611	0.999	0.888	0	Cluster_0	Dgkb
0	0.714563077525118	0.744	0.373	0	Cluster_0	Hs3st4
0	0.706625140192876	0.972	0.693	0	Cluster_0	Galnt13
0	0.600889294726131	1	0.857	0	Cluster_0	Dlg2
1.49352941791773e-303	0.729277986450431	0.912	0.625	8.26922432818507e-299	Cluster_0	Prkcb
9.37274569584483e-302	0.801269077524368	0.88	0.508	5.18940810941841e-297	Cluster_0	Unc13c
6.46108607071592e-300	0.788167505304067	0.877	0.562	3.57730952477329e-295	Cluster_0	Cntn4
3.58347385050375e-299	0.443356889938539	0.195	0.03	1.98406196680841e-294	Cluster_0	Gpr52
1.80709610418657e-294	0.681222754507991	0.967	0.633	1.00053490000498e-289	Cluster_0	Kcnab1
2.1482647724223e-290	0.618623051984946	1	0.79	1.18942975654705e-285	Cluster_0	Rbfox1
1.5403454139565e-289	0.53035757706998	1	0.883	8.52843045345294e-285	Cluster_0	Fgf14
3.75074067017274e-283	0.725618489779448	0.803	0.456	2.07667258685454e-278	Cluster_0	Gng7
1.97592574402254e-274	0.652632993312424	0.977	0.722	1.09401080669296e-269	Cluster_0	Cacna1e
7.97435757363795e-273	0.719506239680261	0.802	0.488	4.41516255779613e-268	Cluster_0	Ptpn5
1.91911243349242e-271	0.758207633245528	0.638	0.295	1.06255498105175e-266	Cluster_0	Unc5d
2.23419741333435e-266	0.714452016940295	0.869	0.569	1.23700808184083e-261	Cluster_0	Itpr1
1.19819066491147e-265	0.691961737517442	0.983	0.724	6.63402225441536e-261	Cluster_0	Pde10a
3.81990650405874e-263	0.690865942688963	0.715	0.371	2.11496763410221e-258	Cluster_0	Pde1b
1.75594331989344e-260	0.607731792143625	1	0.753	9.72213137925401e-256	Cluster_0	Grm7
3.1949899974511e-260	0.685070264950911	0.819	0.502	1.76897011188875e-255	Cluster_0	Ablim2
6.84705234047798e-254	0.656017482865947	0.854	0.529	3.79100746935244e-249	Cluster_0	Plppr1
9.38067255010273e-253	0.70926265141036	0.734	0.396	5.19379697081538e-248	Cluster_0	Man1a
5.73450176579617e-243	0.679274852886687	0.82	0.501	3.17502159266837e-238	Cluster_0	Cdh8
6.55770986462242e-243	0.397976788006596	0.17	0.028	3.6308072207455e-238	Cluster_0	Gpr6
6.78061387247885e-241	0.700151495130934	0.691	0.355	3.75422248277536e-236	Cluster_0	Kctd8
2.06185129390817e-238	0.624476439536467	0.964	0.675	1.14158520589814e-233	Cluster_0	Alcam
2.59376093393278e-238	0.4549840489641	0.999	0.907	1.43608761629056e-233	Cluster_0	Adgrb3
4.62523269403751e-235	0.509090182863115	0.999	0.894	2.56085258570775e-230	Cluster_0	Nlgn1
1.61284526243015e-234	0.738818723587945	0.562	0.285	8.929840364497e-230	Cluster_0	Arpp19
6.65524540413045e-233	0.648561950692322	0.829	0.477	3.6848097229049e-228	Cluster_0	Rgs9
8.21085766767085e-233	0.537426033929247	0.965	0.658	4.54610556485932e-228	Cluster_0	Epha6
3.31655491423966e-232	0.444707754228944	0.999	0.814	1.83627695936707e-227	Cluster_0	Kcnd2
2.58776593233736e-231	0.634405652526457	0.447	0.185	1.43276836375722e-226	Cluster_0	Hpca
1.13514955890936e-229	0.597349700586034	0.968	0.694	6.28498256281344e-225	Cluster_0	Atp2b1
5.51120990097715e-229	0.79285717473948	0.585	0.29	3.05139158587402e-224	Cluster_0	Zfhx3
1.56002204165406e-225	0.586261462376454	0.808	0.461	8.63737403802603e-221	Cluster_0	Thsd7a
7.22715495148995e-225	0.510776381891054	0.999	0.794	4.00145888199144e-220	Cluster_0	Lrrc7
1.64366105796921e-221	0.632396344544709	0.719	0.406	9.10045817965813e-217	Cluster_0	Cpne5
8.97259582187678e-220	0.705710683134839	0.472	0.208	4.96785712869852e-215	Cluster_0	Mei4
1.78460790418461e-217	0.586524426854157	0.972	0.662	9.88083858309892e-213	Cluster_0	Kctd16
6.78847507604895e-217	0.496252824063061	0.999	0.837	3.75857499535602e-212	Cluster_0	Anks1b
1.85118930122177e-213	0.533027309774954	0.991	0.742	1.02494798040746e-208	Cluster_0	Dcc
4.99363231807397e-211	0.633195608869718	0.804	0.49	2.76482440554801e-206	Cluster_0	Nkain3
5.44360647763574e-209	0.487549835173265	1	0.889	3.01396159847258e-204	Cluster_0	Celf2
5.65078842520266e-209	0.589632356064334	0.845	0.56	3.12867202738196e-204	Cluster_0	Baiap2
9.48366787895382e-208	0.659225887903974	0.748	0.452	5.25082239454036e-203	Cluster_0	Kcnk2
4.84192280226542e-206	0.595903058446411	0.712	0.412	2.6808273979303e-201	Cluster_0	Arhgap10
5.89883999817086e-206	0.407521076331261	0.198	0.045	3.26601074178726e-201	Cluster_0	Oprd1
1.00147781083438e-204	0.627137380709499	0.68	0.371	5.54488219524671e-200	Cluster_0	Dach1
2.9126373953484e-204	0.61680715032281	0.913	0.634	1.61263994668255e-199	Cluster_0	Prkg1
4.21989760309579e-200	0.564741026610203	0.898	0.624	2.33643070590605e-195	Cluster_0	Osbpl8
5.11005688356832e-199	0.474342874260673	1	0.845	2.82928519472527e-194	Cluster_0	Csmd1
2.61570383709337e-198	0.602285252939194	0.68	0.389	1.44823674348349e-193	Cluster_0	Epb41
4.14854438669336e-198	0.626341087289263	0.688	0.404	2.29692457058051e-193	Cluster_0	Tmtc1
1.58881538732546e-197	0.659415512012248	0.649	0.378	8.79679415500489e-193	Cluster_0	Sgk1
1.67892588902022e-197	0.482554347094957	0.534	0.239	9.29570896973826e-193	Cluster_0	Grik3
4.08413443199506e-195	0.661830615128612	0.512	0.245	2.26126271096271e-190	Cluster_0	Mhrt
2.68905660519615e-194	0.536365295254607	0.954	0.714	1.48884997059895e-189	Cluster_0	Gpr158
1.64580854675049e-190	0.591670195494307	0.649	0.363	9.11234818079345e-186	Cluster_0	Adgrl2
1.51478735575725e-187	0.590665741469466	0.536	0.273	8.38692315262119e-183	Cluster_0	Akap5
7.30587004453742e-187	0.609338129909242	0.665	0.394	4.04504106755903e-182	Cluster_0	Gabra4
3.03292997744713e-186	0.523821563603702	0.937	0.631	1.67924234061316e-181	Cluster_0	Slit3
3.31962601981987e-184	0.597234821749056	0.731	0.458	1.83797733839367e-179	Cluster_0	Ppp1r2
6.55495723407763e-183	0.630100912541727	0.721	0.459	3.62928317179176e-178	Cluster_0	Grm1
6.84478717909545e-183	0.558340459835466	0.772	0.489	3.78975331744978e-178	Cluster_0	Rap1gap
1.97144045487987e-182	0.611178571384986	0.862	0.583	1.09152743665334e-177	Cluster_0	B230303A05Rik
1.47013757311247e-181	0.552743596483082	0.844	0.598	8.13971070105182e-177	Cluster_0	Cdr1os
2.36622590555063e-181	0.573232726716046	0.726	0.443	1.31010829712622e-176	Cluster_0	Lmo7
6.05490722845983e-180	0.523964295525981	0.871	0.604	3.35242048518135e-175	Cluster_0	Mpped2
9.15205417131018e-179	0.48293696982297	0.991	0.767	5.06721783302931e-174	Cluster_0	Erc2
