p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
0	2.4222890278165	0.777	0.076	0	Cluster_0	Penk
0	2.19006827463087	0.747	0.038	0	Cluster_0	Drd2
0	1.81231569443065	0.99	0.582	0	Cluster_0	Sgcz
0	1.47201946825629	0.491	0.023	0	Cluster_0	Adora2a
0	1.45168584932117	0.91	0.35	0	Cluster_0	Htr2c
0	1.26889393404358	0.585	0.161	0	Cluster_0	Gucy1a1
0	1.25248640770536	0.966	0.538	0	Cluster_0	Foxp1
0	1.20926245296693	0.727	0.289	0	Cluster_0	Kctd8
0	1.10441660353995	0.98	0.549	0	Cluster_0	Caln1
0	1.08058302126169	0.534	0.121	0	Cluster_0	Grik3
0	1.06127849106199	0.985	0.641	0	Cluster_0	Cacnb2
0	1.05663426445953	0.999	0.674	0	Cluster_0	Cntnap2
0	1.04797684815387	0.683	0.216	0	Cluster_0	Unc5d
0	1.02718855651787	0.689	0.28	0	Cluster_0	Hs3st4
0	1.02388404547924	0.975	0.554	0	Cluster_0	Ryr3
0	1.01749474161296	0.91	0.498	0	Cluster_0	Elmod1
0	0.985645347592202	0.781	0.363	0	Cluster_0	Pde1c
0	0.984321180512544	0.866	0.443	0	Cluster_0	Camk4
0	0.980795515548197	0.966	0.61	0	Cluster_0	Pde7b
0	0.978054576463157	0.973	0.523	0	Cluster_0	Rarb
0	0.967246708252395	0.816	0.399	0	Cluster_0	Gng7
0	0.96026111008562	1	0.642	0	Cluster_0	Phactr1
0	0.937078781330264	0.977	0.628	0	Cluster_0	Pde10a
0	0.930653290871031	0.929	0.5	0	Cluster_0	Slit3
0	0.930154499486915	0.998	0.653	0	Cluster_0	Kcnip4
0	0.92708507960659	0.997	0.594	0	Cluster_0	Cacna2d3
0	0.91882592606115	0.966	0.604	0	Cluster_0	Mgat4c
0	0.881061422143413	1	0.716	0	Cluster_0	Grm5
0	0.879265307172187	0.5	0.186	0	Cluster_0	Arpp19
0	0.868885855852814	0.952	0.624	0	Cluster_0	Spock3
0	0.8651681418796	0.765	0.403	0	Cluster_0	Zfp804a
0	0.859952561434666	0.999	0.704	0	Cluster_0	Grm7
0	0.858215225914672	0.88	0.489	0	Cluster_0	Unc13c
0	0.855906023968627	0.428	0.131	0	Cluster_0	Hpca
0	0.850624543822634	0.999	0.658	0	Cluster_0	Kcnq5
0	0.848378711775212	0.95	0.545	0	Cluster_0	Gnal
0	0.847166050913325	0.976	0.639	0	Cluster_0	Nrg1
0	0.844060400490632	0.532	0.241	0	Cluster_0	Slc24a4
0	0.841785248142642	0.73	0.358	0	Cluster_0	Cpne5
0	0.833259428372947	0.658	0.313	0	Cluster_0	Tmtc1
0	0.83191406072631	0.964	0.621	0	Cluster_0	Cacna1e
0	0.829701310768948	0.668	0.362	0	Cluster_0	Gprin3
0	0.828785317751374	0.808	0.422	0	Cluster_0	Rgs9
0	0.826323107790735	0.979	0.584	0	Cluster_0	Mctp1
0	0.822698127878585	0.687	0.311	0	Cluster_0	Pde1b
0	0.818916516677846	0.813	0.445	0	Cluster_0	Itpr1
0	0.816709399636483	0.772	0.438	0	Cluster_0	Cntn4
0	0.816054236767548	0.806	0.448	0	Cluster_0	Khdrbs2
0	0.813616570282059	0.963	0.594	0	Cluster_0	Kcnab1
