p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
0	3.00265543649321	0.924	0.474	0	Olig-1	Mal
0	2.99815294576512	0.93	0.523	0	Olig-1	Gpd1
0	2.77798785673303	0.987	0.705	0	Olig-1	Sept4
0	2.68503242084971	0.998	0.627	0	Olig-1	Plp1
0	2.63688626820486	1	0.59	0	Olig-1	Mbp
0	2.59670623185801	0.985	0.778	0	Olig-1	Ano4
0	2.59011995908614	0.915	0.576	0	Olig-1	Tspan2
0	2.55352636664731	0.988	0.506	0	Olig-1	Mog
0	2.4942893202348	0.953	0.515	0	Olig-1	Mag
0	2.44604447796617	0.931	0.586	0	Olig-1	Aspa
0	2.43080343868203	0.868	0.536	0	Olig-1	Ptgds
0	2.40215948417094	0.983	0.804	0	Olig-1	Pex5l
0	2.38522180767091	0.854	0.524	0	Olig-1	Lpar1
0	2.37355747979731	0.847	0.44	0	Olig-1	Opalin
0	2.37118030955062	0.924	0.516	0	Olig-1	Cldn11
0	2.36004005127363	0.918	0.563	0	Olig-1	AABR07003030.2
0	2.3295116708223	0.847	0.55	0	Olig-1	Creb5
0	2.31981001186288	0.905	0.638	0	Olig-1	Pak1
0	2.31448890008944	0.934	0.473	0	Olig-1	AABR07046961.1
0	2.30696691578051	0.902	0.568	0	Olig-1	Clmn
0	2.25470605719865	0.921	0.501	0	Olig-1	Plekhg3
0	2.25434810129171	0.93	0.618	0	Olig-1	Car2
0	2.24604429267145	0.954	0.505	0	Olig-1	Mobp
0	2.24317222299404	0.964	0.593	0	Olig-1	Tf
0	2.1834215263166	0.984	0.693	0	Olig-1	Edil3
0	2.04387625884438	0.854	0.545	0	Olig-1	Abca8a
0	2.03387840002506	0.891	0.579	0	Olig-1	St18
0	2.01196656630834	0.898	0.522	0	Olig-1	LOC361016
0	1.99774559985522	0.854	0.52	0	Olig-1	Plekhh1
0	1.99154904924117	0.89	0.588	0	Olig-1	Gab1
0	1.97594790103638	0.89	0.602	0	Olig-1	NEWGENE-1310139
0	1.97331907890412	0.982	0.698	0	Olig-1	Zeb2
0	1.96595526355346	0.874	0.507	0	Olig-1	Fa2h
0	1.94973722951046	0.795	0.496	0	Olig-1	Cryab
0	1.94923396887121	0.709	0.462	0	Olig-1	Mcam
0	1.89372926098684	0.78	0.426	0	Olig-1	LOC100302465
0	1.88811986870533	0.86	0.508	0	Olig-1	Ninj2
0	1.88685188923607	0.84	0.487	0	Olig-1	AABR07044900.1
0	1.8839419008893	0.825	0.527	0	Olig-1	Pde8a
0	1.87454950974792	0.906	0.696	0	Olig-1	Arap2
0	1.8528893973837	0.854	0.523	0	Olig-1	Ugt8
0	1.82803904017891	0.849	0.583	0	Olig-1	Rnf43
0	1.82455516054544	0.944	0.538	0	Olig-1	Apod
0	1.79165601681977	0.966	0.738	0	Olig-1	St6galnac3
0	1.78307256847853	0.807	0.482	0	Olig-1	Spata22
0	1.75337713307543	0.753	0.504	0	Olig-1	Hs3st1
0	1.74816887476278	0.858	0.737	0	Olig-1	Plekha1
0	1.73187227061972	0.75	0.506	0	Olig-1	Zfp536
0	1.73016265271312	0.836	0.599	0	Olig-1	Myo1d
0	1.72860306317288	0.801	0.485	0	Olig-1	Tnfrsf11a
0	1.72027479666772	0.841	0.593	0	Olig-1	Fgfr2
0	1.70931575956195	0.863	0.567	0	Olig-1	Enpp2
0	1.69760280157848	0.766	0.513	0	Olig-1	Ppp1r14a
0	1.67730544273868	0.778	0.551	0	Olig-1	Adgrg6
0	1.65748536580445	0.846	0.581	0	Olig-1	Slc25a13
0	1.65659956608587	0.757	0.368	0	Olig-1	Tmem98
0	1.60017280451775	0.91	0.65	0	Olig-1	Zbtb16
0	1.59392819652686	0.869	0.543	0	Olig-1	Hapln2
0	1.59376604267663	0.792	0.535	0	Olig-1	Cd9
0	1.57991194597648	0.687	0.373	0	Olig-1	Galnt6
0	1.44771105176883	0.949	0.584	0	Olig-1	Bcas1
0	1.43836158185639	0.778	0.571	0	Olig-1	Serinc5
0	1.31599525498452	0.711	0.426	0	Olig-1	Dock5
0	1.31025543314177	0.883	0.854	0	Olig-1	Nfasc
0	1.29153045058323	0.849	0.751	0	Olig-1	Epb41l4b
0	1.2095153779934	0.728	0.453	0	Olig-1	Sox10
0	1.07030817703844	0.663	0.348	0	Olig-1	Prr5l
0	0.917128851817804	0.912	0.692	0	Olig-1	Nfia
1.93597797353632e-296	1.40607860304147	0.832	0.691	3.87195594707265e-293	Olig-1	Sema3e
2.59158951097342e-285	1.40593905814842	0.674	0.414	5.18317902194685e-282	Olig-1	Ankub1
1.30043510677504e-283	1.2302259019968	0.645	0.376	2.60087021355008e-280	Olig-1	Efhd1
4.73134934771769e-283	1.44226511106418	0.689	0.473	9.46269869543538e-280	Olig-1	Clic4
8.96942781810706e-272	1.34925363303392	0.64	0.35	1.79388556362141e-268	Olig-1	Rpe65
2.49054810193381e-261	1.22613341126249	0.717	0.551	4.98109620386762e-258	Olig-1	Prkcq
5.99877326577382e-259	1.09296169938544	0.758	0.612	1.19975465315476e-255	Olig-1	Htra1
3.27806888705004e-246	0.890565000065393	0.668	0.409	6.55613777410008e-243	Olig-1	Cobll1
1.62609965640995e-243	1.56153543316572	0.626	0.405	3.25219931281989e-240	Olig-1	Dusp10
1.01517017720518e-239	1.44523660561535	0.687	0.505	2.03034035441036e-236	Olig-1	Kndc1
5.31008214384476e-237	1.24584393298993	0.759	0.601	1.06201642876895e-233	Olig-1	Unc5c
1.51940658511083e-221	1.07993934277283	0.628	0.391	3.03881317022167e-218	Olig-1	Rgs3
1.23139834141821e-212	1.32462492794072	0.648	0.472	2.46279668283641e-209	Olig-1	Hhip
1.61643610016503e-205	1.01309130068605	0.728	0.553	3.23287220033007e-202	Olig-1	Sh3d19
2.79163838087347e-194	1.48814823756094	0.624	0.405	5.58327676174694e-191	Olig-1	Cdh19
1.23796809423438e-193	1.31052610286767	0.617	0.373	2.47593618846877e-190	Olig-1	Insc
2.28009579574484e-192	0.610396781988796	0.895	0.866	4.56019159148967e-189	Olig-1	Elmo1
1.65508839213406e-187	0.651853383571862	0.713	0.51	3.31017678426811e-184	Olig-1	Sulf2
2.90568465171994e-186	0.873386743460205	0.766	0.652	5.81136930343989e-183	Olig-1	Ankrd44
1.35771528451432e-185	0.590280860255877	0.649	0.532	2.71543056902864e-182	Olig-1	Dusp1
2.00507696244526e-179	0.513191027112066	0.85	0.722	4.01015392489052e-176	Olig-1	Erbb4
5.29813672189789e-175	1.2740465459405	0.653	0.528	1.05962734437958e-171	Olig-1	RGD1563888
3.5283919376105e-173	1.07471085720461	0.689	0.533	7.056783875221e-170	Olig-1	Agmo
1.43131836447461e-172	1.03035917900294	0.644	0.486	2.86263672894922e-169	Olig-1	Atp10b
1.29077330109865e-154	1.34811500552482	0.625	0.462	2.58154660219729e-151	Olig-1	Plekhg1
4.61577695004231e-154	0.380397909216278	0.922	0.865	9.23155390008462e-151	Olig-1	Tcf4
1.23245781815485e-120	1.11827457945764	0.66	0.545	2.46491563630969e-117	Olig-1	Fign
4.28157134901771e-120	0.70329950910193	0.631	0.471	8.56314269803543e-117	Olig-1	Kank1
8.98991086224456e-115	0.585041096990995	0.577	0.443	1.79798217244891e-111	Olig-1	Fbxo32
1.21939176139814e-114	0.880328160995326	0.809	0.788	2.43878352279628e-111	Olig-1	Thrb
1.88574674982673e-98	0.513101349181882	0.514	0.331	3.77149349965345e-95	Olig-1	Adgrg2
2.52761880096507e-98	0.413710979971422	0.498	0.281	5.05523760193014e-95	Olig-1	Fam83d
9.54307905981783e-97	0.424517286117962	0.568	0.395	1.90861581196357e-93	Olig-1	Bmp4
1.19726255289711e-94	0.739939816223304	0.561	0.431	2.39452510579423e-91	Olig-1	Ccnjl
4.44253601689435e-94	0.873982147890698	0.703	0.605	8.88507203378869e-91	Olig-1	Zfp608
1.82931017818254e-93	0.809850142028544	0.563	0.445	3.65862035636508e-90	Olig-1	AABR07053870.1
2.61717590239718e-92	0.858756359753228	0.562	0.424	5.23435180479436e-89	Olig-1	AABR07043711.1
2.31908467092196e-87	0.717070489797785	0.761	0.731	4.63816934184392e-84	Olig-1	Ell2
1.66570252361727e-80	0.857647618762652	0.582	0.469	3.33140504723454e-77	Olig-1	Pls3
1.80419872214778e-77	0.92715765538481	0.667	0.615	3.60839744429556e-74	Olig-1	Eml1
8.95369012541801e-75	0.53450959950056	0.55	0.364	1.7907380250836e-71	Olig-1	Kcnj10
2.14308697535784e-68	1.11092206694787	0.703	0.729	4.28617395071567e-65	Olig-1	Sh3gl3
3.47472618105278e-65	0.572481409009066	0.623	0.525	6.94945236210557e-62	Olig-1	Tns3
4.49170070688251e-62	0.475857463503732	0.609	0.538	8.98340141376502e-59	Olig-1	Folh1
2.25818704445758e-57	0.415813694721558	0.486	0.339	4.51637408891516e-54	Olig-1	Cyp3a9
4.57192342740496e-54	0.893904644062913	0.537	0.443	9.14384685480992e-51	Olig-1	Cpm
4.26231157397354e-53	0.495951159688547	0.549	0.431	8.52462314794707e-50	Olig-1	Anln
5.60667316491587e-53	0.399240275459575	0.664	0.612	1.12133463298317e-49	Olig-1	Lhfpl6
