Gene	cluster
Mal	Olig-1
Gpd1	Olig-1
Sept4	Olig-1
Plp1	Olig-1
Mbp	Olig-1
Ano4	Olig-1
Tspan2	Olig-1
Mog	Olig-1
Mag	Olig-1
Aspa	Olig-1
Ptgds	Olig-1
Pex5l	Olig-1
Lpar1	Olig-1
Opalin	Olig-1
Cldn11	Olig-1
AABR07003030.2	Olig-1
Creb5	Olig-1
Pak1	Olig-1
AABR07046961.1	Olig-1
Clmn	Olig-1
Plekhg3	Olig-1
Car2	Olig-1
Mobp	Olig-1
Tf	Olig-1
Edil3	Olig-1
Abca8a	Olig-1
St18	Olig-1
LOC361016	Olig-1
Plekhh1	Olig-1
Gab1	Olig-1
NEWGENE-1310139	Olig-1
Zeb2	Olig-1
Fa2h	Olig-1
Cryab	Olig-1
Mcam	Olig-1
LOC100302465	Olig-1
Ninj2	Olig-1
AABR07044900.1	Olig-1
Pde8a	Olig-1
Arap2	Olig-1
Ugt8	Olig-1
Rnf43	Olig-1
Apod	Olig-1
St6galnac3	Olig-1
Spata22	Olig-1
Hs3st1	Olig-1
Plekha1	Olig-1
Zfp536	Olig-1
Myo1d	Olig-1
Tnfrsf11a	Olig-1
Fgfr2	Olig-1
Enpp2	Olig-1
Ppp1r14a	Olig-1
Adgrg6	Olig-1
Slc25a13	Olig-1
Tmem98	Olig-1
Zbtb16	Olig-1
Hapln2	Olig-1
Cd9	Olig-1
Galnt6	Olig-1
Bcas1	Olig-1
Serinc5	Olig-1
Dock5	Olig-1
Nfasc	Olig-1
Epb41l4b	Olig-1
Sox10	Olig-1
Prr5l	Olig-1
Nfia	Olig-1
Sema3e	Olig-1
Ankub1	Olig-1
Efhd1	Olig-1
Clic4	Olig-1
Rpe65	Olig-1
Prkcq	Olig-1
Htra1	Olig-1
Cobll1	Olig-1
Dusp10	Olig-1
Kndc1	Olig-1
Unc5c	Olig-1
Rgs3	Olig-1
Hhip	Olig-1
Sh3d19	Olig-1
Cdh19	Olig-1
Insc	Olig-1
Elmo1	Olig-1
Sulf2	Olig-1
Ankrd44	Olig-1
Dusp1	Olig-1
Erbb4	Olig-1
RGD1563888	Olig-1
Agmo	Olig-1
Atp10b	Olig-1
Plekhg1	Olig-1
Tcf4	Olig-1
Fign	Olig-1
Kank1	Olig-1
Fbxo32	Olig-1
Thrb	Olig-1
Adgrg2	Olig-1
Bmp4	Olig-1
Ccnjl	Olig-1
Zfp608	Olig-1
AABR07053870.1	Olig-1
AABR07043711.1	Olig-1
Ell2	Olig-1
Pls3	Olig-1
Eml1	Olig-1
Kcnj10	Olig-1
Sh3gl3	Olig-1
Tns3	Olig-1
Folh1	Olig-1
Cpm	Olig-1
Anln	Olig-1
Lhfpl6	Olig-1
Wls	Olig-1
Fam163a	Olig-1
Prex2	Olig-1
Prtg	Olig-1
Cnksr3	Olig-1
Parm1	Olig-1
P2rx7	Olig-1
Syde2	Olig-1
Sema6a	Olig-1
Sirt2	Olig-1
Ephb1	Olig-1
Plxnb3	Olig-1
Trim36	Olig-1
Mt-co3	Olig-1
Cdyl	Olig-1
Adamts20	Olig-1
Prima1	Olig-1
Sema4d	Olig-1
Gng12	Olig-1
Mt-cyb	Olig-1
Adgrv1	Olig-1
Mt-co1	Olig-1
Bmp1	Olig-1
AY172581.24	Olig-1
AABR07068728.1	Olig-1
Mt-co2	Olig-1
Adarb2	Olig-1
Reln	Drd1-MSN
Homer1	Drd1-MSN
Mctp1	Drd1-MSN
Ebf1	Drd1-MSN
Baiap2	Drd1-MSN
Kcnq5	Drd1-MSN
Pde10a	Drd1-MSN
Fstl4	Drd1-MSN
Tac1	Drd1-MSN
Arpp21	Drd1-MSN
Dgkb	Drd1-MSN
Grm5	Drd1-MSN
Cacna2d3	Drd1-MSN
Itpr1	Drd1-MSN
Camk4	Drd1-MSN
LOC304725	Drd1-MSN
Adcy5	Drd1-MSN
Robo2	Drd1-MSN
Zfp385b	Drd1-MSN
Kctd1	Drd1-MSN
Prkcb	Drd1-MSN
Cacna2d1	Drd1-MSN
Kcnab1	Drd1-MSN
Ano3	Drd1-MSN
Car12	Drd1-MSN
Smad3	Drd1-MSN
Pde7b	Drd1-MSN
Gnal	Drd1-MSN
Syndig1	Drd1-MSN
Nlgn1	Drd1-MSN
Atp2b1	Drd1-MSN
Cnksr2	Drd1-MSN
Elmod1	Drd1-MSN
Strip2	Drd1-MSN
Rgs9	Drd1-MSN
Bcr	Drd1-MSN
Neto1	Drd1-MSN
RGD1564053	Drd1-MSN
Plxna2	Drd1-MSN
Rarb	Drd1-MSN
Galnt18	Drd1-MSN
Cap2	Drd1-MSN
Actn1	Drd1-MSN
Grm7	Drd1-MSN
Prkcg	Drd1-MSN
Epha7	Drd1-MSN
Caln1	Drd1-MSN
Pde2a	Drd1-MSN
Slc35f3	Drd1-MSN
Tenm2	Drd1-MSN
Spred2	Drd1-MSN
Meis2	Drd1-MSN
Cacnb2	Drd1-MSN
Lmo7	Drd1-MSN
Me3	Drd1-MSN
Cacng3	Drd1-MSN
Cobl	Drd1-MSN
Ryr3	Drd1-MSN
Arl15	Drd1-MSN
Plppr1	Drd1-MSN
Ppp1r1b	Drd1-MSN
Epha4	Drd1-MSN
Nell2	Drd1-MSN
Slit3	Drd1-MSN
Rnf150	Drd1-MSN
AABR07060487.1	Drd1-MSN
Foxp1	Drd1-MSN
Kcnh1	Drd1-MSN
Lrrtm3	Drd1-MSN
Tenm4	Drd1-MSN
Hs6st2	Drd1-MSN
Zfyve28	Drd1-MSN
Dcc	Drd1-MSN
Pdzd2	Drd1-MSN
Zdbf2	Drd1-MSN
AABR07048878.1	Drd1-MSN
Pcsk2	Drd1-MSN
AABR07033882.1	Drd1-MSN
Cdh9	Drd1-MSN
Gabra4	Drd1-MSN
Prkch	Drd1-MSN
Rbfox1	Drd1-MSN
Dach1	Drd1-MSN
Klhl29	Drd1-MSN
Galnt13	Drd1-MSN
Gad2	Drd1-MSN
Cpne5	Drd1-MSN
Man1a1	Drd1-MSN
Snap25	Drd1-MSN
Ablim2	Drd1-MSN
Bcl11b	Drd1-MSN
Sh3rf2	Drd1-MSN
Ahi1	Drd1-MSN
Cdh8	Drd1-MSN
Fgf14	Drd1-MSN
Dgki	Drd1-MSN
Nexn	Drd1-MSN
Cers6	Drd1-MSN
Dgkh	Drd1-MSN
Ngef	Drd1-MSN
Gpr158	Drd1-MSN
Brinp1	Drd1-MSN
Npas2	Drd1-MSN
Lrfn5	Drd1-MSN
Nebl	Drd1-MSN
Trim9	Drd1-MSN
Adgrl2	Drd1-MSN
Grm1	Drd1-MSN
Fat3	Drd1-MSN
Slc7a14	Drd1-MSN
Gng7	Drd1-MSN
Sv2c	Drd1-MSN
Snca	Drd1-MSN
Scn3b	Drd1-MSN
Dpy19l3	Drd1-MSN
Mpp7	Drd1-MSN
Zdhhc2	Drd1-MSN
Tmtc1	Drd1-MSN
Mpp6	Drd1-MSN
Frmd6	Drd1-MSN
Atp6ap1l	Drd1-MSN
Foxp2	Drd1-MSN
Sntb2	Drd1-MSN
March4	Drd1-MSN
Runx1t1	Drd1-MSN
Eif2ak2	Drd1-MSN
Lrrc8c	Drd1-MSN
Unc13c	Drd1-MSN
Dync1i1	Drd1-MSN
Chsy3	Drd1-MSN
AABR07026957.1	Drd1-MSN
Dclk1	Drd1-MSN
Mtcl1	Drd1-MSN
Camkk2	Drd1-MSN
Ptprn	Drd1-MSN
Wfs1	Drd1-MSN
Pde1b	Drd1-MSN
Dlgap2	Drd1-MSN
Lrrk2	Drd1-MSN
Ldb2	Drd1-MSN
Vat1l	Drd1-MSN
Rit2	Drd1-MSN
Synpr	Drd1-MSN
Nrg2	Drd1-MSN
Slc24a4	Drd1-MSN
Fras1	Drd1-MSN
